plasmid	contigs
GP_Isolated_0	1:1
GP_Isolated_1	7:1
GP_Isolated_2	8:1
GP_Isolated_3	9:1
GP_Isolated_4	10:1
GP_Isolated_5	12:1
GP_Isolated_6	13:1
GP_Isolated_7	14:1
GP_Isolated_8	15:1
GP_Isolated_9	16:1
GP_Isolated_10	20:1
GP_Isolated_11	21:1
GP_1	22:1,116:1
GP_Isolated_12	25:1
GP_Isolated_13	27:1
GP_unb_3,GP_unb_1,GP_unb_4,GP_unb_5	172:1,31:1,201:1,207:1
GP_Isolated_14	33:1
GP_Isolated_15	37:1
GP_Isolated_16	43:1
GP_Isolated_17	52:1
GP_Isolated_18	60:1
GP_Isolated_19	61:1
GP_Isolated_20	63:1
GP_Isolated_21	64:1
GP_Isolated_22	69:1
GP_Isolated_23	72:1
GP_Isolated_24	77:1
GP_Isolated_25	86:1
GP_Isolated_26	92:1
GP_Isolated_27	93:1
GP_Isolated_28	99:1
GP_Isolated_29	105:1
GP_unb_2	109:1
GP_Isolated_30	110:1
GP_Isolated_31	112:1
GP_Isolated_32	114:1
GP_0	117:1,138:1,252:1
GP_Isolated_33	127:1
GP_Isolated_34	132:1
GP_Isolated_35	133:1
GP_Isolated_36	136:1
GP_Isolated_37	137:1
GP_Isolated_38	141:1
GP_Isolated_39	151:1
GP_Isolated_40	152:1
GP_Isolated_41	155:1
GP_Isolated_42	162:1
GP_Isolated_43	163:1
GP_Isolated_44	169:1
GP_Isolated_45	171:1
GP_Isolated_46	175:1
GP_Isolated_47	179:1
GP_Isolated_48	180:1
GP_Isolated_49	184:1
GP_Isolated_50	193:1
GP_Isolated_51	194:1
GP_Isolated_52	200:1
GP_Isolated_53	208:1
GP_Isolated_54	212:1
GP_unb_6	217:1
GP_Isolated_55	220:1
GP_Isolated_56	224:1
GP_Isolated_57	229:1
GP_Isolated_58	230:1
GP_Isolated_59	234:1
GP_2	235:1,249:1,250:1
GP_Isolated_60	236:1
