plasmid	contigs
PBF_P1	190:1,275:1,300:1,278:1,412:1,209:1,440:1,423:1,354:1,311:1,314:1,188:1,336:1,249:1,364:1,205:1,425:1,307:1,407:1,287:1,426:1,362:1,52:1,368:1,346:1,253:1,431:1,309:1,113:1,406:1,392:1,429:1,348:1,427:1,256:1,380:1,138:1,398:1,269:1,318:1,240:1,411:1,289:1,376:1,232:1,279:1,244:1,355:1,415:1,280:1,436:1,217:1,395:1,421:1,141:1,189:1,284:1,74:1,378:1,223:1,386:1,359:1,375:1,353:1,358:1,324:1,129:1,216:1,302:1,418:1,345:1,337:1,405:1,245:1,161:1,409:1,276:1,185:1,387:1,261:1,200:1,331:1,342:1,215:1,251:1,410:1,222:1,252:1,212:1,133:1,150:1,322:1,231:1,320:1,315:1,109:1,247:1,351:1,424:1,323:1,413:1,363:1,338:1,291:1,343:1,372:1,419:1,327:1,310:1,374:1,439:1,283:1,385:1,248:1,313:1,304:1,333:1,329:1,274:1,352:1,389:1
PBF_P2	190:1,275:1,278:1,412:1,209:1,423:1,332:1,354:1,311:1,314:1,188:1,336:1,364:1,249:1,205:1,425:1,191:1,407:1,287:1,426:1,362:1,430:1,52:1,368:1,346:1,431:1,253:1,309:1,348:1,427:1,256:1,138:1,380:1,318:1,411:1,289:1,376:1,232:1,279:1,171:1,355:1,244:1,415:1,395:1,217:1,436:1,421:1,141:1,189:1,284:1,74:1,223:1,378:1,386:1,359:1,375:1,353:1,324:1,129:1,216:1,302:1,418:1,345:1,337:1,405:1,161:1,409:1,387:1,200:1,331:1,342:1,215:1,251:1,410:1,133:1,322:1,231:1,320:1,315:1,109:1,247:1,351:1,424:1,323:1,233:1,117:1,413:1,363:1,338:1,291:1,343:1,372:1,419:1,374:1,439:1,385:1,248:1,313:1,304:1,329:1,274:1,352:1,389:1
PBF_P3	190:1,275:1,278:1,412:1,209:1,148:1,423:1,354:1,314:1,311:1,336:1,364:1,205:1,425:1,191:1,307:1,407:1,438:1,287:1,426:1,362:1,368:1,346:1,253:1,431:1,393:1,309:1,429:1,348:1,427:1,256:1,380:1,138:1,398:1,269:1,318:1,289:1,411:1,376:1,232:1,279:1,244:1,355:1,415:1,217:1,436:1,421:1,141:1,74:1,284:1,210:1,378:1,386:1,359:1,375:1,353:1,324:1,129:1,417:1,302:1,418:1,187:1,337:1,405:1,161:1,409:1,360:1,387:1,200:1,331:1,342:1,334:1,215:1,251:1,410:1,133:1,322:1,320:1,288:1,315:1,109:1,247:1,351:1,424:1,323:1,233:1,194:1,299:1,363:1,168:1,291:1,343:1,419:1,371:1,374:1,439:1,312:1,385:1,248:1,313:1,304:1,329:1,274:1,352:1,389:1
PBF_P4	190:1,219:1,275:1,278:1,412:1,209:1,268:1,423:1,354:1,311:1,314:1,336:1,364:1,205:1,425:1,191:1,407:1,287:1,426:1,362:1,52:1,346:1,431:1,253:1,309:1,429:1,348:1,427:1,256:1,380:1,138:1,318:1,411:1,289:1,264:1,376:1,232:1,279:1,355:1,415:1,217:1,436:1,421:1,141:1,74:1,284:1,378:1,386:1,359:1,375:1,353:1,324:1,129:1,302:1,418:1,337:1,405:1,161:1,409:1,387:1,200:1,331:1,342:1,251:1,133:1,322:1,231:1,320:1,107:1,315:1,109:1,247:1,351:1,424:1,323:1,233:1,194:1,363:1,177:1,291:1,343:1,372:1,419:1,374:1,439:1,385:1,248:1,313:1,304:1,329:1,274:1,352:1,389:1
PBF_P5	190:1,278:1,412:1,209:1,148:1,423:1,354:1,311:1,314:1,336:1,364:1,205:1,425:1,191:1,407:1,438:1,287:1,426:1,362:1,368:1,346:1,431:1,393:1,429:1,348:1,427:1,256:1,380:1,434:1,318:1,289:1,411:1,264:1,376:1,232:1,279:1,355:1,415:1,217:1,436:1,421:1,295:1,141:1,74:1,284:1,210:1,386:1,359:1,375:1,353:1,324:1,129:1,417:1,302:1,418:1,337:1,161:1,409:1,360:1,331:1,416:1,342:1,251:1,133:1,267:1,322:1,320:1,288:1,109:1,247:1,351:1,424:1,233:1,299:1,363:1,177:1,168:1,86:1,361:1,343:1,372:1,419:1,374:1,439:1,312:1,385:1,248:1,313:1,225:1,304:1,329:1,274:1,352:1,389:1
PBF_P6	190:1,278:1,412:1,209:1,423:1,354:1,311:1,314:1,364:1,336:1,205:1,425:1,191:1,407:1,382:1,287:1,426:1,362:1,52:1,368:1,253:1,431:1,309:1,429:1,348:1,427:1,256:1,326:1,380:1,434:1,318:1,365:1,411:1,289:1,376:1,232:1,279:1,355:1,415:1,217:1,395:1,436:1,421:1,141:1,74:1,284:1,378:1,386:1,359:1,375:1,353:1,324:1,129:1,302:1,418:1,337:1,405:1,161:1,409:1,276:1,387:1,95:1,342:1,133:1,322:1,320:1,109:1,247:1,351:1,238:1,424:1,323:1,233:1,413:1,363:1,291:1,343:1,372:1,419:1,374:1,439:1,248:1,313:1,304:1,329:1,274:1,352:1,389:1
PBF_P7	231:1,320:1,284:1,375:1,353:1,109:1,322:1,324:1,214:1,247:1,348:1,427:1,256:1,302:1,424:1,278:1,418:1,380:1,413:1,177:1,161:1,409:1,204:1,318:1,423:1,365:1,343:1,419:1,289:1,354:1,95:1,298:1,311:1,314:1,342:1,201:1,336:1,364:1,349:1,205:1,180:1,425:1,439:1,293:1,279:1,257:1,355:1,407:1,248:1,313:1,217:1,395:1,436:1,287:1,426:1,420:1,304:1,225:1,52:1,133:1,274:1,352:1,277:1,396:1
PBF_P8	231:1,309:1,408:1,375:1,406:1,109:1,247:1,253:1,129:1,193:1,278:1,418:1,323:1,187:1,398:1,413:1,269:1,405:1,177:1,161:1,318:1,365:1,291:1,387:1,156:1,343:1,289:1,419:1,416:1,327:1,270:1,310:1,250:1,439:1,293:1,355:1,304:1,295:1,133:1,277:1,378:1
PBF_P9	359:1,320:1,353:1,109:1,247:1,429:1,214:1,246:1,324:1,193:1,348:1,427:1,256:1,302:1,278:1,418:1,233:1,412:1,380:1,434:1,413:1,363:1,337:1,209:1,177:1,318:1,423:1,431:1,365:1,343:1,372:1,411:1,289:1,419:1,354:1,287:1,298:1,311:1,314:1,376:1,342:1,158:1,364:1,336:1,205:1,374:1,425:1,355:1,407:1,415:1,248:1,382:1,313:1,395:1,202:1,217:1,436:1,426:1,225:1,304:1,295:1,421:1,362:1,52:1,329:1,274:1,352:1,322:1,389:1
PBF_P10	219:1,393:1,359:1,353:1,109:1,247:1,429:1,246:1,193:1,238:1,256:1,424:1,302:1,278:1,418:1,412:1,187:1,398:1,363:1,337:1,209:1,269:1,177:1,125:1,276:1,148:1,318:1,423:1,156:1,343:1,372:1,289:1,259:1,411:1,419:1,354:1,314:1,376:1,311:1,342:1,364:1,250:1,425:1,279:1,312:1,355:1,415:1,313:1,217:1,431:1,258:1,436:1,426:1,287:1,304:1,295:1,362:1,225:1,421:1,329:1,274:1,352:1,322:1,389:1
