plasmid	contigs
GP_Isolated_0	Contig:102:34.8603:1
GP_Isolated_1	Contig:103:7.68737:1
GP_Isolated_2	Contig:106:24.345:1
GP_Isolated_3	Contig:107:7.1309:1
GP_Isolated_4	Contig:108:6.0233:1
GP_Isolated_5	Contig:109:11.878:1
GP_Isolated_6	Contig:115:30.5588:1
GP_Isolated_7	Contig:116:11.6826:1
GP_Isolated_8	Contig:117:10.4954:1
GP_Isolated_9	Contig:11:11.0417:1
GP_Isolated_10	Contig:123:17.0623:1
GP_unb_1	Contig:126:174.723:1
GP_Isolated_11	Contig:12:20.0765:1
GP_Isolated_12	Contig:131:11.5327:1
GP_Isolated_13	Contig:133:23.5675:1
GP_Isolated_14	Contig:134:29.9828:1
GP_0	Contig:13:39.3122:1,Contig:14:42.2727:1,Contig:252:43.4126:1,Contig:301:59.1014:1,Contig:321:41.6127:1,Contig:338:115.172:1,Contig:346:98.2851:1,Contig:68:43.8388:1,Contig:252:43.4126:5p:1:8:1,Contig:252:43.4126:5p:1:9:1
GP_Isolated_15	Contig:141:16.215:1
GP_Isolated_16	Contig:144:40.1773:1
GP_Isolated_17	Contig:145:8.39572:1
GP_Isolated_18	Contig:146:13.252:1
GP_Isolated_19	Contig:152:32.306:1
GP_Isolated_20	Contig:154:16.6254:1
GP_Isolated_21	Contig:156:38.6464:1
GP_Isolated_22	Contig:161:10.4153:1
GP_Isolated_23	Contig:162:15.8883:1
GP_Isolated_24	Contig:163:40.9477:1
GP_Isolated_25	Contig:164:36.7463:1
GP_Isolated_26	Contig:165:24.2552:1
GP_Isolated_27	Contig:167:11.0355:1
GP_Isolated_28	Contig:16:32.1479:1
GP_Isolated_29	Contig:172:11.413:1
GP_Isolated_30	Contig:173:9.30603:1
GP_Isolated_31	Contig:176:28.8532:1
GP_Isolated_32	Contig:177:26.2731:1
GP_Isolated_33	Contig:180:37.9434:1
GP_Isolated_34	Contig:181:7.94601:1
GP_Isolated_35	Contig:182:20.2953:1
GP_Isolated_36	Contig:184:32.6958:1
GP_Isolated_37	Contig:189:19.2779:1
GP_Isolated_38	Contig:18:25.0871:1
GP_Isolated_39	Contig:191:22.5692:1
GP_Isolated_40	Contig:192:21.4548:1
GP_Isolated_41	Contig:193:18.2001:1
GP_Isolated_42	Contig:194:34.5856:1
GP_Isolated_43	Contig:195:24.6723:1
GP_Isolated_44	Contig:196:42.67:1
GP_Isolated_45	Contig:198:28.5058:1
GP_1	Contig:19:68.059:1,Contig:279:33.1713:1,Contig:282:10.6844:1,Contig:461:17.0783:1,Contig:19:68.059:5p:1:3:1
GP_2	Contig:1:211.243:Circ:1
GP_Isolated_46	Contig:203:9.15113:1
GP_Isolated_47	Contig:207:28.8949:1
GP_Isolated_48	Contig:208:38.354:1
GP_Isolated_49	Contig:212:17.1266:1
GP_Isolated_50	Contig:214:39.0316:1
GP_Isolated_51	Contig:215:34.4139:1
GP_Isolated_52	Contig:216:28.415:1
GP_Isolated_53	Contig:219:24.0544:1
GP_Isolated_54	Contig:21:11.6088:1
GP_Isolated_55	Contig:220:5.88045:1
GP_Isolated_56	Contig:223:37.7112:1
GP_Isolated_57	Contig:227:17.031:1
GP_Isolated_58	Contig:228:39.4384:1
GP_Isolated_59	Contig:230:8.75:1
GP_Isolated_60	Contig:231:7.25795:1
GP_Isolated_61	Contig:232:28.7482:1
GP_Isolated_62	Contig:235:11.1296:1
GP_Isolated_63	Contig:236:36.6968:1
GP_Isolated_64	Contig:245:15.1252:1
GP_Isolated_65	Contig:248:12.3726:1
GP_Isolated_66	Contig:255:27.9653:1
GP_Isolated_67	Contig:256:27.4499:1
GP_Isolated_68	Contig:257:18.1632:1
GP_Isolated_69	Contig:258:39.1771:1
GP_Isolated_70	Contig:25:37.2743:1
GP_unb_2	Contig:260:24.6253:1
GP_Isolated_71	Contig:263:5.83478:1
GP_Isolated_72	Contig:265:47.1324:1
GP_Isolated_73	Contig:267:15.7101:1
GP_Isolated_74	Contig:26:22.1763:1
