plasmid	contigs	copy_number
PBF_P2,PBF_P1	Contig:372:177.549:1,Contig:442:415.37:1,Contig:600:200.666:1,Contig:419:204.155:1	4.3826855987372255
PBF_P4,PBF_P3,PBF_P15,PBF_P11,PBF_P26,PBF_P13,PBF_P28	Contig:453:185.329:1,Contig:251:63.6598:1,Contig:139:55.0254:1,Contig:457:97.3685:1,Contig:39:691.945:1,Contig:522:78.3474:1,Contig:460:111.534:1,Contig:14:40.7782:1,Contig:256:28.9257:1,Contig:183:638.859:1,Contig:7:35.6867:1,Contig:364:41.0324:5p:1:3:1,Contig:74:40.8323:1,Contig:483:78.7117:1,Contig:224:32.5382:1,Contig:224:32.5382:3p:1:10:1,Contig:554:35.2436:1,Contig:575:41.2776:1,Contig:33:27.0336:1,Contig:354:30.2659:1	0.1124707754388509
PBF_P30,PBF_P5	Contig:566:31.5049:1,Contig:593:42.1144:1,Contig:161:41.0767:1	0.7902549696864298
PBF_P17,PBF_P6	Contig:369:28.2278:1,Contig:502:38.1688:1,Contig:301:231.665:1,Contig:374:39.2253:1	0.7294078004251787
PBF_P7	Contig:623:45.1349:1	1.2078156706321808
PBF_P8	Contig:68:42.7403:1	1.1326157537521735
PBF_P9	Contig:73:41.4455:1	1.1300306287311284
PBF_P10	Contig:190:41.8865:1	1.1215963409205365
PBF_P12	Contig:580:40.7824:1	1.083659998843793
PBF_P14	Contig:46:46.667:1	1.2306208391211273
PBF_P16	Contig:120:36.4965:1	0.9779960090018198
PBF_P18	Contig:653:37.3314:1	0.9854127837733528
PBF_P19	Contig:479:34.6341:1	1.157910448079734
PBF_P20	Contig:10:44.0142:1	1.1545837768824907
PBF_P21	Contig:427:36.4909:1	0.9610279757331542
PBF_P22	Contig:383:47.6498:1	1.1449003331620553
PBF_P23	Contig:3:33.8669:1	0.8911660743144499
PBF_P27,PBF_P25,PBF_P24	Contig:348:41.1921:1,Contig:121:40.0159:1,Contig:361:98.103:1,Contig:656:39.977:1	0.2674067503903643
PBF_P29	Contig:285:30.1012:1	0.7474699161355081
PBF_P31	Contig:145:31.4836:1	0.796494727257191
PBF_P32	Contig:51:36.8214:1	1.0119277837566352
PBF_P33	Contig:404:39.0944:1	1.0405653792596277
PBF_P34	Contig:649:39.6171:1	1.0123394761898385
PBF_P35	Contig:536:41.4685:1	1.0992364162975297
PBF_P36	Contig:646:39.4077:1	1.0393407397082728
PBF_P37	Contig:299:31.2761:1	0.8170895900052202
PBF_P38	Contig:304:28.2372:1	0.7379091997004161
PBF_P39	Contig:421:35.7484:1	0.9301310724079612
PBF_P40	Contig:290:29.5415:1	0.998169867364134
PBF_P41	Contig:50:35.7087:1	0.9490615396098436
PBF_P42	Contig:513:29.9337:1	0.7751791141594029
PBF_P43	Contig:264:24.2778:1	0.6078537610124587
PBF_P44	Contig:611:31.2369:1	0.8160877963055787
PBF_P45	Contig:482:25.0478:1	0.6428046493255353
PBF_P46	Contig:564:30.4377:1	0.7334306523668893
PBF_P47	Contig:668:30.1858:1	0.774725543894414
PBF_P48	Contig:587:28.5722:1	0.763232549915945
PBF_P49	Contig:426:32.4032:1	0.8317809888392692
PBF_P50	Contig:540:27.0021:1	0.6772762970574921
PBF_P51	Contig:456:26.2008:1	0.691724604826045
PBF_P52	Contig:484:27.5261:1	0.7144630863827842
PBF_P53	Contig:155:27.3093:1	0.7202348953833502
PBF_P54	Contig:373:23.7236:1	0.597501453904912
PBF_P55	Contig:254:24.4709:1	0.6024316145146469
PBF_P56	Contig:515:29.4622:1	0.7508507791544468
PBF_P57	Contig:486:24.3931:1	0.6223289199875173
PBF_P58	Contig:595:27.615:1	0.7179648493545838
PBF_P59	Contig:18:26.0618:1	0.6663627664647321
PBF_P60	Contig:411:19.5652:1	0.45779540950986647
PBF_P61	Contig:267:19.5933:1	0.4965154749433304
