plasmid	contigs	copy_number
PBF_P2,PBF_P1	Contig:112:235.818:1,Contig:265:373.092:1,Contig:389:364.961:1	4.906738510813739
PBF_P3,PBF_P5	Contig:13:112.233:1,Contig:220:56.3459:1,Contig:550:99.1659:1	1.1265389641885122
PBF_P4	Contig:1:93.1918:Circ:1	1.8358813726424277
PBF_P6	Contig:156:16.8764:1	0.3450354134603885
PBF_P7	Contig:520:15.7847:1	0.34657723456096384
PBF_P8	Contig:54:15.3843:1	0.3674407010447144
PBF_P9	Contig:493:15.0364:1	0.3368829506383386
PBF_P10	Contig:76:13.0602:1	0.292255656191583
PBF_P11	Contig:330:20.1732:1	0.32131316736761883
PBF_P12	Contig:433:11.4307:1	0.26609596185153694
