plasmid	contigs
PBF_P1	Contig:1:645.892:Circ:1
PBF_P2	Contig:126:111.281:5p:1:22:1,Contig:32:113.396:1,Contig:126:111.281:5p:1:10:1,Contig:126:111.281:5p:1:24:1,Contig:197:123.175:1,Contig:126:111.281:5p:1:23:1,Contig:67:210.839:1,Contig:132:74.583:1,Contig:126:111.281:5p:1:18:1,Contig:126:111.281:1,Contig:126:111.281:5p:1:19:1
PBF_P3	Contig:126:111.281:5p:1:22:1,Contig:126:111.281:5p:1:12:1,Contig:126:111.281:5p:1:24:1,Contig:197:123.175:1,Contig:67:210.839:1,Contig:132:74.583:1,Contig:126:111.281:5p:1:11:1,Contig:126:111.281:1,Contig:126:111.281:5p:1:19:1
PBF_P4	Contig:91:187.658:1,Contig:146:124.223:5p:1:9:1
PBF_P5	Contig:132:74.583:1,Contig:126:111.281:5p:1:17:1
PBF_P6	Contig:254:180.781:1,Contig:146:124.223:5p:1:9:1
PBF_P7	Contig:86:114.385:1,Contig:258:95.442:3p:1:9:1,Contig:258:95.442:3p:1:7:1,Contig:178:162.905:1
PBF_P8	Contig:256:62.4651:1
PBF_P9	Contig:47:52.6951:1
PBF_P10	Contig:137:30.8174:1
PBF_P11	Contig:220:27.9614:1
PBF_P12	Contig:66:42.5654:1
