plasmid	contigs
PBF_P1	76:1
PBF_P2	151:1,108:1,117:1,98:1,63:1,140:1,65:1,162:1,129:1,122:1,163:1,28:1,128:1,66:1,132:1,135:1,119:1,96:1,123:1
PBF_P3	119:1,117:1,129:1,128:1,132:1,96:1,133:1,104:1
PBF_P4	122:1,151:1,129:1,161:1,128:1,63:1,102:1
PBF_P5	82:1
PBF_P6	122:1,98:1
PBF_P7	46:1
PBF_P8	62:1
PBF_P9	100:1
PBF_P10	54:1,133:1,132:1
PBF_P11	114:1,163:1,44:1,70:1,66:1,123:1
PBF_P12	69:1
PBF_P13	52:1
PBF_P14	28:1
PBF_P15	80:1
PBF_P16	25:1
PBF_P17	72:1
PBF_P18	86:1
PBF_P19	81:1
PBF_P20	84:1
PBF_P21	101:1
