plasmid	contigs
GP_1	7:1,21:1,23:1,28:1,37:1,44:1,46:1,48:1,50:1,51:1,53:1,54:1,57:1,59:1,61:1,63:1,64:1,65:1,68:1,69:1,70:1,72:1,73:1,75:1,76:1,82:1,84:1,85:1,87:1,88:1,89:1,91:1,96:1,100:1,104:1,105:1,108:1,114:1,121:1
GP_0	14:1
GP_unb_1	71:1
GP_unb_2	90:1
GP_unb_3	92:1
GP_unb_4	94:1
GP_unb_5	95:1
GP_unb_6	98:1
GP_unb_7	99:1
GP_unb_8	102:1
GP_unb_9	106:1
GP_unb_10	107:1
GP_unb_11	110:1
GP_unb_12	111:1
GP_unb_13	112:1
GP_unb_14	120:1
GP_unb_15	123:1
GP_unb_16	124:1
GP_unb_17	126:1
GP_unb_18	127:1
GP_unb_19	128:1
GP_unb_20	130:1
