plasmid	contigs
GP_unb_1	Contig:109:89.6287:1
GP_1	Contig:114:95.8988:1,Contig:137:57.0415:1,Contig:13:54.9394:1,Contig:140:79.0343:1,Contig:185:167.207:1,Contig:203:107.125:1,Contig:27:106.844:1,Contig:7:1509.57:1,Contig:88:79.8782:1,Contig:8:117.804:1,Contig:101:1381.9:5p:1:10:1,Contig:101:1381.9:5p:1:99:1,Contig:101:1381.9:5p:1:188:1,Contig:106:67.4695:3p:1:9:1,Contig:106:67.4695:3p:1:64:1,Contig:18:122.093:5p:1:3:1,Contig:203:107.125:3p:1:2:1
GP_2	Contig:115:104.069:1,Contig:127:87.1105:1,Contig:138:125.912:1,Contig:185:167.207:1,Contig:18:122.093:1,Contig:59:122.452:1,Contig:61:109.292:1,Contig:74:91.1587:1,Contig:94:86.0482:1,Contig:18:122.093:5p:1:3:1,Contig:18:122.093:5p:1:8:1
GP_0	Contig:117:996.318:1,Contig:183:394.985:1,Contig:195:1025.6:1,Contig:24:150.879:1,Contig:28:61.0294:1,Contig:31:98.325:1,Contig:32:82.3333:1,Contig:76:43.2548:1,Contig:7:1509.57:1,Contig:101:1381.9:5p:1:10:1,Contig:101:1381.9:5p:1:100:1,Contig:101:1381.9:5p:1:149:1,Contig:101:1381.9:5p:1:153:1,Contig:101:1381.9:5p:1:154:1,Contig:101:1381.9:5p:1:188:1,Contig:12:45.8914:5p:1:3:1,Contig:183:394.985:3p:1:1:1,Contig:183:394.985:3p:1:12:1,Contig:183:394.985:5p:1:11:1,Contig:24:150.879:3p:1:2:1,Contig:24:150.879:3p:1:7:1
GP_unb_2	Contig:11:98.2483:1
GP_3	Contig:124:85.5458:1,Contig:190:46.4253:1,Contig:55:124.661:1,Contig:89:60.7951:1,Contig:101:1381.9:5p:1:3:1,Contig:103:54.2508:3p:1:10:1,Contig:103:54.2508:3p:1:13:1,Contig:103:54.2508:5p:1:13:1,Contig:106:67.4695:3p:1:64:1,Contig:124:85.5458:5p:1:4:1
GP_unb_3	Contig:142:63.4872:1
GP_5	Contig:145:79.4038:1,Contig:155:47.1433:1,Contig:145:79.4038:5p:1:3:1
GP_6	Contig:1:772.587:Circ:1
GP_unb_4	Contig:206:104.33:1
GP_unb_5	Contig:212:68.6089:1
GP_7	Contig:2:1045.16:Circ:1
GP_unb_6	Contig:30:81.0642:1
GP_unb_7	Contig:39:93.7418:1
GP_unb_8	Contig:47:64.5093:1
GP_unb_9	Contig:48:134.734:1
GP_unb_10	Contig:50:98.8431:1
GP_unb_11	Contig:73:73.359:1
GP_4	Contig:80:195.394:1,Contig:101:1381.9:5p:1:8:1,Contig:101:1381.9:5p:1:206:1,Contig:198:50.7915:3p:1:2:1,Contig:198:50.7915:3p:1:3:1,Contig:198:50.7915:3p:1:4:1,Contig:198:50.7915:3p:1:6:1,Contig:198:50.7915:3p:1:8:1,Contig:198:50.7915:3p:1:16:1
GP_unb_12	Contig:98:102.754:1
GP_unb_13	Contig:101:1381.9:5p:1:61:1
GP_unb_14	Contig:101:1381.9:5p:1:85:1
GP_unb_15	Contig:101:1381.9:5p:1:132:1
GP_unb_16	Contig:101:1381.9:5p:1:143:1
GP_unb_17	Contig:101:1381.9:5p:1:144:1
GP_unb_18	Contig:101:1381.9:5p:1:159:1
GP_unb_19	Contig:101:1381.9:5p:1:165:1
GP_unb_20	Contig:101:1381.9:5p:1:202:1
GP_unb_21	Contig:101:1381.9:5p:1:209:1
GP_unb_22	Contig:103:54.2508:5p:1:6:1
GP_unb_23	Contig:103:54.2508:5p:1:14:1
GP_unb_24	Contig:103:54.2508:5p:1:15:1
GP_unb_25	Contig:106:67.4695:3p:1:80:1
GP_unb_26	Contig:118:49.8193:5p:1:8:1
GP_unb_27	Contig:118:49.8193:5p:1:10:1
GP_unb_28	Contig:119:56.773:3p:1:9:1
GP_unb_29	Contig:145:79.4038:5p:1:8:1
GP_unb_30	Contig:172:43.971:3p:1:4:1
GP_unb_31	Contig:172:43.971:3p:1:5:1
GP_unb_32	Contig:186:47.0291:3p:1:9:1
GP_unb_33	Contig:189:72.7896:3p:1:5:1
GP_unb_34	Contig:195:1025.6:5p:1:4:1
GP_unb_35	Contig:195:1025.6:5p:1:7:1
GP_unb_36	Contig:195:1025.6:5p:1:10:1
GP_unb_37	Contig:196:91.3521:5p:1:7:1
GP_unb_38	Contig:198:50.7915:3p:1:5:1
GP_unb_39	Contig:198:50.7915:3p:1:12:1
GP_unb_40	Contig:198:50.7915:3p:1:13:1
GP_unb_41	Contig:26:90.0968:5p:1:3:1
GP_unb_42	Contig:26:90.0968:5p:1:4:1
GP_unb_43	Contig:72:59.3739:5p:1:7:1
GP_unb_44	Contig:99:343.427:3p:1:1:1
GP_unb_45	Contig:99:343.427:3p:1:9:1
GP_unb_46	Contig:9:101.902:5p:1:5:1
GP_unb_47	Contig:9:101.902:5p:1:6:1
