plasmid	contigs
GP_0	44:1,48:1,56:1,57:1,63:1,67:1,68:1,80:1,82:1,92:1,100:1,109:1,122:1,132:1,136:1,141:1,152:1,156:1,163:1,188:1,190:1,217:1,220:1,229:1,249:1,252:1,255:1,267:1,279:1,286:1,338:1,343:1,353:1,355:1,356:1,368:1,383:1
GP_1	47:1,51:1,59:1,64:1,71:1,74:1,75:1,78:1,89:1,102:1,103:1,118:1,119:1,120:1,123:1,130:1,131:1,137:1,138:1,186:1,201:1,226:1,258:1,269:1,279:1,280:1,282:1,285:1,305:1,316:1,319:1,320:1,325:1,331:1,334:1,346:1,348:1,362:1
GP_unb_1	142:1
GP_unb_2	159:1
GP_unb_3	161:1
GP_unb_4	164:1
GP_unb_5	165:1
GP_unb_6	173:1
GP_unb_7	175:1
GP_unb_8	178:1
GP_unb_9	182:1
GP_unb_10	184:1
GP_unb_11	185:1
GP_unb_12	191:1
GP_unb_13	192:1
GP_unb_14	193:1
GP_unb_15	196:1
GP_unb_16	205:1
GP_unb_17	209:1
GP_unb_18	221:1
GP_unb_19	231:1
GP_unb_20	232:1
GP_unb_21	237:1
GP_unb_22	241:1
GP_unb_23	248:1
GP_unb_24	263:1
GP_unb_25	266:1
GP_unb_26	298:1
GP_unb_27	304:1
GP_unb_28	322:1
GP_unb_29	332:1
GP_unb_30	359:1
GP_unb_31	365:1
GP_unb_32	370:1
GP_unb_33	372:1
GP_unb_34	373:1
GP_unb_35	378:1
