plasmid	contigs
GP_0	Contig:100:226.305:1,Contig:102:134.49:1,Contig:14:202.317:1,Contig:151:1986.18:1,Contig:17:530.391:1,Contig:24:675.593:1,Contig:26:235.252:1,Contig:32:317.949:1,Contig:130:373.224:5p:1:30:1,Contig:151:1986.18:5p:1:21:1
GP_3	Contig:101:267.265:1,Contig:114:335.039:1,Contig:122:333.422:1,Contig:131:722.638:1,Contig:138:306.238:1,Contig:197:154.054:1,Contig:200:436.942:1,Contig:21:225.31:1,Contig:29:371.785:1,Contig:46:254.039:1,Contig:49:275.962:1,Contig:55:125.477:1,Contig:57:373.011:1,Contig:66:317.691:1,Contig:75:232.812:1,Contig:98:605.891:1,Contig:99:2616.38:1,Contig:106:512.989:3p:1:6:1,Contig:106:512.989:3p:1:7:1,Contig:106:512.989:3p:1:10:1,Contig:106:512.989:5p:1:26:1,Contig:106:512.989:5p:1:27:1,Contig:106:512.989:5p:1:30:1,Contig:106:512.989:5p:1:34:1,Contig:108:106.913:3p:1:7:1,Contig:108:106.913:3p:1:17:1,Contig:108:106.913:3p:1:163:1,Contig:108:106.913:3p:1:212:1,Contig:126:283.424:5p:1:12:1,Contig:130:373.224:5p:1:18:1,Contig:57:373.011:3p:1:4:1
GP_1	Contig:104:173.339:1,Contig:109:97.7485:1,Contig:115:126.584:1,Contig:118:85.0061:1,Contig:124:184.257:1,Contig:146:94.1166:1,Contig:151:1986.18:1,Contig:152:181.484:1,Contig:155:1613.38:1,Contig:178:293.716:1,Contig:185:1378.81:1,Contig:189:96.13:1,Contig:194:72.9658:1,Contig:1:60.5725:1,Contig:24:675.593:1,Contig:27:259.473:1,Contig:43:149.85:1,Contig:5:332.057:1,Contig:88:1156.67:1,Contig:90:623.095:1,Contig:91:107.983:1,Contig:97:226.751:1,Contig:99:2616.38:1,Contig:9:94.0877:1,Contig:106:512.989:3p:1:7:1,Contig:106:512.989:3p:1:10:1,Contig:106:512.989:5p:1:23:1,Contig:106:512.989:5p:1:46:1,Contig:108:106.913:3p:1:75:1,Contig:108:106.913:3p:1:79:1,Contig:108:106.913:3p:1:116:1,Contig:108:106.913:3p:1:118:1,Contig:108:106.913:3p:1:163:1,Contig:108:106.913:3p:1:164:1,Contig:151:1986.18:5p:1:21:1,Contig:177:457.509:5p:1:3:1
GP_2	Contig:107:115.36:1,Contig:112:200.814:1,Contig:121:272.85:1,Contig:126:283.424:1,Contig:133:120.687:1,Contig:155:1613.38:1,Contig:185:1378.81:1,Contig:195:351.894:1,Contig:196:365.196:1,Contig:4:315.986:1,Contig:69:200.874:1,Contig:87:196.957:1,Contig:88:1156.67:1,Contig:89:574.592:1,Contig:99:2616.38:1,Contig:106:512.989:3p:1:7:1,Contig:106:512.989:3p:1:10:1,Contig:106:512.989:5p:1:26:1,Contig:106:512.989:5p:1:39:1,Contig:106:512.989:5p:1:46:1,Contig:106:512.989:5p:1:51:1,Contig:106:512.989:5p:1:55:1,Contig:106:512.989:5p:1:69:1,Contig:106:512.989:5p:1:74:1,Contig:108:106.913:3p:1:116:1,Contig:108:106.913:3p:1:118:1,Contig:108:106.913:3p:1:164:1,Contig:122:333.422:5p:1:3:1,Contig:126:283.424:5p:1:5:1,Contig:126:283.424:5p:1:10:1,Contig:126:283.424:5p:1:15:1,Contig:130:373.224:5p:1:8:1,Contig:130:373.224:5p:1:10:1,Contig:60:281.166:5p:1:1:1
GP_4	Contig:11:117.038:1,Contig:125:279.961:1,Contig:164:204.726:1,Contig:185:1378.81:1,Contig:24:675.593:1,Contig:44:248.112:1,Contig:74:69.937:1,Contig:79:188.713:1,Contig:88:1156.67:1,Contig:99:2616.38:1,Contig:108:106.913:3p:1:81:1,Contig:108:106.913:3p:1:163:1,Contig:108:106.913:3p:1:164:1
GP_6	Contig:127:130.713:1,Contig:137:138:1,Contig:149:184.148:1,Contig:179:119.037:1,Contig:62:179.408:1,Contig:64:220.465:1,Contig:72:122.593:1,Contig:77:174.844:1,Contig:57:373.011:3p:1:5:1,Contig:64:220.465:3p:1:1:1
GP_unb_1	Contig:181:143.42:1
GP_5	Contig:185:1378.81:1,Contig:88:1156.67:1,Contig:108:106.913:3p:1:7:1,Contig:108:106.913:3p:1:38:1,Contig:108:106.913:3p:1:105:1,Contig:108:106.913:3p:1:239:1
GP_unb_2	Contig:73:152.594:1
GP_unb_3	Contig:82:230.835:1
GP_Isolated_0	Contig:93:50.1554:1
GP_unb_4	Contig:106:512.989:5p:1:22:1
GP_unb_5	Contig:106:512.989:5p:1:36:1
GP_unb_6	Contig:106:512.989:5p:1:41:1
GP_unb_7	Contig:106:512.989:5p:1:56:1
GP_unb_8	Contig:106:512.989:5p:1:57:1
GP_unb_9	Contig:106:512.989:5p:1:59:1
GP_unb_10	Contig:106:512.989:5p:1:72:1
GP_unb_11	Contig:108:106.913:3p:1:56:1
GP_unb_12	Contig:108:106.913:3p:1:84:1
GP_unb_13	Contig:108:106.913:3p:1:90:1
GP_unb_14	Contig:108:106.913:3p:1:93:1
GP_unb_15	Contig:108:106.913:3p:1:110:1
GP_unb_16	Contig:108:106.913:3p:1:151:1
GP_unb_17	Contig:108:106.913:3p:1:155:1
GP_unb_18	Contig:108:106.913:3p:1:255:1
GP_unb_19	Contig:108:106.913:3p:1:256:1
GP_unb_20	Contig:108:106.913:3p:1:257:1
GP_unb_21	Contig:130:373.224:5p:1:31:1
GP_unb_22	Contig:132:144.024:3p:1:14:1
GP_unb_23	Contig:177:457.509:5p:1:5:1
GP_unb_24	Contig:53:197.756:5p:1:6:1
GP_unb_25	Contig:57:373.011:3p:1:10:1
GP_unb_26	Contig:60:281.166:5p:1:3:1
GP_unb_27	Contig:60:281.166:5p:1:4:1
