plasmid	contigs
PBF_P1	Contig:13:283.895:5p:1:5:1,Contig:73:543.7:1,Contig:59:281.294:1,Contig:40:239.316:1,Contig:12:158.292:3p:1:15:1,Contig:45:198.531:1,Contig:95:36.6202:1,Contig:12:158.292:3p:1:38:1,Contig:63:53.2766:1,Contig:12:158.292:3p:1:28:1,Contig:12:158.292:3p:1:14:1,Contig:12:158.292:3p:1:30:1,Contig:34:32.5815:1,Contig:12:158.292:3p:1:29:1,Contig:93:264.337:1,Contig:13:283.895:5p:1:4:1,Contig:13:283.895:1,Contig:12:158.292:3p:1:26:1,Contig:12:158.292:3p:1:27:1,Contig:18:254.349:1
PBF_P2	Contig:1:1091.26:Circ:1
PBF_P3	Contig:29:695.883:1
PBF_P4	Contig:12:158.292:3p:1:27:1,Contig:73:543.7:1
PBF_P5	Contig:13:283.895:5p:1:4:1,Contig:13:283.895:1,Contig:12:158.292:3p:1:38:1,Contig:12:158.292:3p:1:15:1,Contig:12:158.292:3p:1:14:1,Contig:93:264.337:1,Contig:18:254.349:1
PBF_P6	Contig:78:208.245:1,Contig:65:346.045:5p:1:3:1,Contig:79:489.691:1,Contig:50:229.204:1,Contig:81:351.15:1,Contig:97:189.639:1,Contig:88:181.868:1,Contig:83:367.402:1,Contig:65:346.045:1,Contig:77:198.081:1,Contig:22:365.746:1
PBF_P7	Contig:12:158.292:3p:1:15:1,Contig:43:274.386:1
PBF_P8	Contig:45:198.531:1,Contig:13:283.895:5p:1:5:1,Contig:12:158.292:3p:1:38:1,Contig:63:53.2766:1,Contig:93:264.337:1,Contig:12:158.292:3p:1:27:1
PBF_P9	Contig:2:323.489:Circ:1
PBF_P10	Contig:12:158.292:3p:1:26:1,Contig:40:239.316:1
PBF_P11	Contig:45:198.531:1,Contig:12:158.292:3p:1:30:1,Contig:12:158.292:3p:1:27:1
PBF_P12	Contig:63:53.2766:1,Contig:13:283.895:5p:1:5:1
PBF_P13	Contig:13:283.895:5p:1:5:1,Contig:15:49.4757:1,Contig:13:283.895:1,Contig:12:158.292:3p:1:15:1
PBF_P14	Contig:16:185.456:1,Contig:84:130.419:1,Contig:92:143.894:3p:1:2:1,Contig:79:489.691:1,Contig:81:351.15:1,Contig:75:202.02:1,Contig:83:367.402:1,Contig:35:162.001:1,Contig:86:179.192:1,Contig:25:1252.6:1,Contig:35:162.001:5p:1:7:1,Contig:17:177.509:1,Contig:85:224.682:3p:1:4:1,Contig:5:130.735:3p:1:2:1,Contig:7:130.634:1,Contig:72:127.061:1,Contig:62:161.205:1,Contig:25:1252.6:3p:1:3:1,Contig:56:120.01:1,Contig:25:1252.6:5p:1:7:1,Contig:41:300.099:1,Contig:38:266.712:1,Contig:50:229.204:1,Contig:78:208.245:1,Contig:61:244.893:1,Contig:74:138.854:1,Contig:85:224.682:1,Contig:58:130.323:1
PBF_P15	Contig:35:162.001:5p:1:7:1,Contig:86:179.192:1
PBF_P16	Contig:20:27.5009:1,Contig:19:44.7314:1
PBF_P17	Contig:48:27.9709:1,Contig:68:41.711:1
PBF_P18	Contig:44:31.499:1
PBF_P19	Contig:3:46.912:Circ:1
PBF_P20	Contig:36:32.299:1
