plasmid	contigs
PBF_P1	57:1
PBF_P2	135:1,59:1,195:1,110:1,154:1,40:1,163:1,101:1,60:1,34:1,41:1,58:1,106:1,113:1,50:1,80:1,32:1,63:1,83:1,45:1,71:1,184:1,150:1,67:1,69:1,76:1,74:1,179:1,183:1,44:1,164:1,197:1,119:1,140:1,64:1,87:1,31:1,53:1,47:1,199:1,73:1
PBF_P3	138:1,59:1,70:1,65:1,182:1,40:1,116:1,101:1,166:1,163:1,60:1,34:1,158:1,68:1,41:1,58:1,113:1,50:1,80:1,94:1,32:1,63:1,143:1,186:1,45:1,52:1,184:1,150:1,67:1,112:1,54:1,194:1,125:1,74:1,179:1,136:1,183:1,49:1,164:1,119:1,160:1,64:1,55:1,87:1,31:1,53:1,47:1,98:1,199:1,73:1,131:1
PBF_P4	77:1,119:1,150:1,55:1,179:1
PBF_P5	62:1
PBF_P6	119:1,150:1,179:1,49:1
PBF_P7	169:1,195:1,65:1,182:1,154:1,40:1,163:1,101:1,34:1,41:1,58:1,106:1,128:1,50:1,32:1,63:1,52:1,150:1,76:1,183:1,179:1,119:1,64:1,87:1,47:1,73:1
PBF_P8	68:1
PBF_P9	169:1,65:1,182:1,154:1,40:1,163:1,101:1,34:1,41:1,106:1,128:1,32:1,63:1,52:1,150:1,76:1,194:1,183:1,179:1,119:1,64:1,87:1,47:1,73:1
PBF_P10	52:1,150:1,182:1,163:1,32:1
PBF_P11	63:1
PBF_P12	54:1
PBF_P13	25:1
PBF_P14	70:1
PBF_P15	41:1,150:1,47:1,101:1,73:1,34:1
PBF_P16	65:1
