plasmid	contigs
GP_0	Contig:13:352.463:1,Contig:18:223.647:1,Contig:19:213.735:1,Contig:33:228.755:1,Contig:8:350.845:1
GP_2	Contig:13:352.463:1,Contig:27:125.283:1,Contig:6:182.697:1,Contig:26:121.52:5p:1:3:1
GP_1	Contig:1:8416.87:Circ:1
GP_unb_1	Contig:11:211.06:5p:1:5:1
GP_unb_2	Contig:11:211.06:5p:1:6:1
GP_unb_3	Contig:11:211.06:5p:1:8:1
GP_unb_4	Contig:11:211.06:5p:1:22:1
GP_unb_5	Contig:14:222.711:3p:1:11:1
GP_unb_6	Contig:14:222.711:3p:1:17:1
GP_unb_7	Contig:30:1461.91:3p:1:4:1
GP_unb_8	Contig:30:1461.91:3p:1:5:1
GP_unb_9	Contig:30:1461.91:3p:1:6:1
GP_unb_10	Contig:31:186.44:3p:1:2:1
