SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_1	16:60380,17:52796,25:4750,30:1993,31:1898,34:1162,37:1092,38:964,39:964,42:638,46:530,59:314,71:258,72:247,75:238,79:223,89:171,91:162,100:143,102:139,110:127	5	-0.9263553854706559	5.834988251345028	0.5087171566130437	5	-1.4635293835982703	11.45792488109317	0.508717156613784		0	True	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_2	24:5408,44:577,105:131	5	-0.1878869093320655	0.3044910120198123	0.8945020997701872	0	0	0	0		1	False	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_3	33:1552	4	0.0	0.30406667915954966	41.778267085134004	0	0	0	0		1	False	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_unb_1	51:421	5	0.0	0.06456750654994914	1.1508900255634404	5	-0.5371739981276145	5.687504136298092	0.9424036206655728		0	False	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_unb_2	52:380	5	0.0	0.49743759768134965	0.99168073164491	0	0	0	0		1	False	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_unb_3	53:378	5	0.0	0.011840282289291681	1.9946877809572325	0	0	0	0		1	False	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_unb_4	55:347	4	0.0	0.4991045867355912	0.4935128955701773	5	-0.6505264879088044	6.1220412164837335	0.4935128955694381		0	False	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_unb_5	62:287	4	0.0	0.3712236912724962	0.6045483674844307	5	-0.599041156727024	5.4954026244943845	0.6045483674843126	108:130	0	False	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_unb_6	63:287	4	0.0	0.21615989553327686	1.0595776046422645	5	-0.6255981313890842	5.340338828755166	0.9424036206655728	108:130	0	False	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_unb_7	64:286	4	0.0	0.49341919217623975	1.0790612184535644	5	-0.5764598854425884	6.116355821924382	0.9424036206655728		0	False	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_unb_8	65:286	4	0.0	0.4974080465846986	0.5806539451970545	5	-0.5702140858887472	6.1203446763328415	0.5806539451969002		0	False	0
ecol-SAMN14503865	GP_0	15:75520,22:23406,23:5508,26:4690,28:4099,35:1159,36:1128,40:875,42:638,43:616,47:530,66:285,72:247,79:223,91:162,95:152,96:146,100:143,102:139,107:131	5	-0.5371739981276145	5.622936629748143	0.9424036206657762	GP_unb_9	70:261	4	0.0	0.4058377592680368	4.248108563635126	0	0	0	0		1	False	0
