plasmid	contigs	copy_number
PBF_P1,PBF_P10	Contig:204:75.1976:1,Contig:25:57.1284:1,Contig:47:55.8598:1,Contig:203:66.5003:1	0.6973588065829972
PBF_P3,PBF_P5,PBF_P6,PBF_P2	Contig:78:62.8582:1,Contig:6:51.5933:1,Contig:18:31.1801:1,Contig:117:67.5226:3p:1:6:1,Contig:117:67.5226:3p:1:9:1,Contig:63:59.2903:1	0.5238741853045212
PBF_P4	Contig:191:47.4919:1	0.8044432341299136
PBF_P7	Contig:49:40.1097:1	0.6471726475216503
PBF_P8	Contig:42:54.9377:1	0.9497047578970874
PBF_P9	Contig:207:45.6751:1	0.7298007664308651
PBF_P11	Contig:24:32.8384:1	0.5727128047990369
PBF_P12,PBF_P13	Contig:298:39.5052:1,Contig:64:47.7215:1	0.6275698165263748
PBF_P14	Contig:271:31.4438:1	0.5319660309200033
PBF_P15	Contig:72:33.624:1	0.5767319550684532
PBF_P16	Contig:8:49.1041:1	0.714944114529
PBF_P17	Contig:231:41.4782:1	0.6744751458838034
