plasmid	contigs
PBF_P1	59:1
PBF_P2	61:1
PBF_P3	58:1
PBF_P4	66:1,81:1,30:1,57:1,43:1,101:1,56:1,74:1,84:1,117:1,78:1,87:1,48:1,73:1,28:1,77:1,64:1,98:1,54:1,51:1
PBF_P5	51:1,78:1,56:1,117:1,74:1,64:1,28:1,73:1,81:1,30:1,43:1,54:1,101:1,98:1,87:1
PBF_P6	51:1,78:1,43:1,74:1,64:1,81:1,30:1,57:1,117:1,54:1,101:1,98:1,87:1
PBF_P7	48:1,51:1,74:1,64:1,101:1,81:1,57:1,43:1,54:1,78:1,98:1,87:1
PBF_P8	51:1,78:1,74:1,64:1,28:1,81:1,43:1,101:1,98:1,87:1
PBF_P9	48:1,51:1,74:1,64:1,101:1,81:1,43:1,78:1,98:1,87:1
PBF_P10	64:1,43:1,98:1,87:1
