plasmid	contigs	copy_number
PBF_P1	Contig:1:521.075:Circ:1	11.3523947556642
PBF_P21,PBF_P22,PBF_P9,PBF_P8,PBF_P2,PBF_P16,PBF_P15,PBF_P3,PBF_P14,PBF_P20,PBF_P10,PBF_P4,PBF_P19,PBF_P5,PBF_P6,PBF_P18,PBF_P25	Contig:218:29.0896:1,Contig:8:19.2127:1,Contig:181:31.1423:1,Contig:201:27.523:1,Contig:243:149.046:1,Contig:58:94.2742:1,Contig:209:173.322:1,Contig:93:21.0781:1,Contig:81:29.4978:1,Contig:171:54.4819:1,Contig:229:22.0695:1,Contig:11:76.7987:1,Contig:11:76.7987:5p:1:26:1,Contig:11:76.7987:5p:1:25:1,Contig:76:23.2721:1,Contig:41:22.172:1,Contig:121:47.62:1,Contig:155:19.8144:1,Contig:60:44.5586:1,Contig:89:28.8568:1,Contig:158:27.0212:5p:1:2:1,Contig:158:27.0212:1,Contig:158:27.0212:5p:1:8:1,Contig:219:32.9849:1,Contig:190:34.3207:1,Contig:186:18.825:1,Contig:156:22.7382:1,Contig:187:30.8448:1,Contig:228:23.6335:1,Contig:163:31.4844:3p:1:3:1,Contig:102:56.5884:1,Contig:206:27.8051:1,Contig:225:26.3678:1,Contig:230:25.8583:1,Contig:199:82.1119:1,Contig:220:53.1547:1,Contig:208:27.5615:1,Contig:98:29.6932:1	0.2414559227017889
PBF_P7	Contig:168:31.7128:1	0.6368816692644226
PBF_P11	Contig:252:32.2481:1	0.6377366020704857
PBF_P12	Contig:217:32.1287:1	0.6325362055006432
PBF_P13	Contig:99:31.0134:1,Contig:33:32.9588:1	0.6375231301038704
PBF_P17	Contig:250:33.8027:1	0.6670690999321333
PBF_P23	Contig:72:26.1777:1	0.516932053100339
PBF_P24	Contig:88:30.3925:1	0.6137058402601334
PBF_P26	Contig:142:24.4599:1	0.4422563956909087
PBF_P27	Contig:75:23.2262:1	0.4655193435576572
PBF_P28	Contig:54:25.0521:1	0.5101726787092833
