plasmid	contigs
PBF_P1	Contig:1:521.075:Circ:1
PBF_P2	Contig:2:241.62:Circ:1
PBF_P3	Contig:11:76.7987:5p:1:27:1,Contig:41:22.172:1,Contig:11:76.7987:5p:1:25:1,Contig:171:54.4819:1,Contig:163:31.4844:3p:1:3:1,Contig:18:19.7973:1,Contig:73:26.15:1,Contig:11:76.7987:5p:1:26:1,Contig:11:76.7987:5p:1:13:1,Contig:228:23.6335:1,Contig:229:22.0695:1,Contig:11:76.7987:1,Contig:199:82.1119:1,Contig:205:23.8857:1,Contig:157:21.2545:1
PBF_P4	Contig:67:74.7398:1,Contig:6:756.856:1
PBF_P5	Contig:11:76.7987:5p:1:27:1,Contig:11:76.7987:5p:1:25:1,Contig:171:54.4819:1,Contig:73:26.15:1,Contig:76:23.2721:1,Contig:11:76.7987:1,Contig:205:23.8857:1
PBF_P6	Contig:235:60.4016:1
PBF_P7	Contig:11:76.7987:5p:1:26:1,Contig:76:23.2721:1,Contig:11:76.7987:5p:1:25:1,Contig:55:21.3862:1
PBF_P8	Contig:186:18.825:1,Contig:156:22.7382:1
PBF_P9	Contig:190:34.3207:1
PBF_P10	Contig:142:24.4599:1
PBF_P11	Contig:93:21.0781:1
PBF_P12	Contig:38:18.741:1
PBF_P13	Contig:8:19.2127:1
