plasmid	contigs
PBF_P1	214:1,162:1,133:1,141:1,169:1,217:1,139:1,3:1,76:1,142:1,185:1,137:1,228:1,186:1,131:1,166:1,148:1,112:1,130:1,124:1,216:1,116:1,129:1,158:1,121:1,173:1,193:1,157:1,104:1,140:1,225:1,154:1,215:1,182:1,196:1,37:1,145:1,167:1,65:1,73:1,125:1,191:1,223:1,229:1,181:1,91:1,155:1,206:1,33:1,178:1,147:1,138:1,86:1,128:1,43:1,204:1,119:1,170:1,153:1,205:1,113:1,220:1,85:1,135:1,195:1,115:1,80:1,144:1,190:1,95:1,62:1,160:1,60:1,224:1,212:1,82:1,189:1,105:1,203:1
PBF_P2	109:1
PBF_P3	220:1,116:1,158:1,121:1,173:1,193:1,181:1,162:1,133:1,66:1,85:1,157:1,42:1,155:1,140:1,135:1,197:1,206:1,195:1,139:1,154:1,33:1,144:1,190:1,215:1,182:1,213:1,103:1,62:1,3:1,92:1,76:1,142:1,147:1,137:1,138:1,160:1,60:1,228:1,82:1,186:1,131:1,43:1,145:1,204:1,65:1,148:1,112:1,170:1,73:1,189:1,97:1,153:1,227:1,130:1,205:1,210:1,191:1,216:1,100:1
PBF_P4	158:1,229:1,133:1,42:1,155:1,209:1,144:1,190:1,215:1,76:1,82:1,43:1,131:1,204:1,65:1,189:1,98:1,130:1,117:1
PBF_P5	102:1
PBF_P6	230:1,27:1
PBF_P7	99:1
PBF_P8	197:1,142:1,227:1,97:1,82:1,131:1
PBF_P9	217:1,80:1,124:1,223:1
PBF_P10	204:1,42:1,129:1,158:1,65:1,189:1,229:1,110:1,144:1,133:1,190:1,215:1,131:1,202:1
PBF_P11	179:1,158:1,133:1,202:1,163:1,42:1,192:1,188:1,136:1,144:1,134:1,190:1,215:1,103:1,185:1,178:1,110:1,224:1,204:1,90:1,189:1,152:1,132:1
PBF_P12	66:1
PBF_P13	37:1,229:1
PBF_P14	204:1,229:1,71:1,110:1,144:1,190:1,215:1,202:1
PBF_P15	158:1,133:1,103:1
PBF_P16	104:1,125:1
PBF_P17	62:1
