plasmid	contigs
GT_4	Contig:100:128.521:1,Contig:111:134.513:1,Contig:117:86.1981:1,Contig:125:77.7783:1,Contig:35:106.887:1,Contig:80:86.9946:1,Contig:93:72.1406:1,Contig:111:134.513:5p:1:8:1,Contig:111:134.513:5p:1:10:1
GT_2	Contig:100:128.521:1,Contig:112:61.0398:1,Contig:113:62.4917:1,Contig:116:63.6293:1,Contig:129:66.8583:1,Contig:130:60.1401:1,Contig:27:73.1308:1,Contig:36:68.4575:1,Contig:40:80.1257:1,Contig:51:86.6863:1,Contig:61:54.1451:1,Contig:66:174.296:1,Contig:67:109.2:1,Contig:68:75.1648:1,Contig:75:58.7683:1,Contig:84:104.595:1,Contig:112:61.0398:5p:1:4:1,Contig:112:61.0398:5p:1:6:1,Contig:112:61.0398:5p:1:9:1,Contig:112:61.0398:5p:1:13:1,Contig:112:61.0398:5p:1:17:1,Contig:112:61.0398:5p:1:22:1
GT_6	Contig:105:340.55:1,Contig:115:387.749:1
GT_5	Contig:106:287.225:1,Contig:115:387.749:1
GT_8	Contig:1:339.87:Circ:1
GT_10	Contig:2:478.961:Circ:1
GT_9	Contig:3:405.392:Circ:1
GT_7	Contig:4:308.378:Circ:1
GT_12	Contig:5:1366.9:Circ:1
GT_11	Contig:6:1265.15:Circ:1
GT_3	Contig:72:42.7884:1,Contig:86:44.6584:1,Contig:94:41.8717:1,Contig:72:42.7884:3p:1:8:1,Contig:72:42.7884:3p:1:9:1,Contig:72:42.7884:3p:1:10:1,Contig:72:42.7884:3p:1:14:1,Contig:72:42.7884:3p:1:16:1,Contig:72:42.7884:3p:1:23:1,Contig:72:42.7884:3p:1:27:1,Contig:72:42.7884:3p:1:31:1
