plasmid	contigs
GP_unb_10,GP_0,GP_unb_19,GP_unb_4,GP_unb_7,GP_unb_5,GP_unb_26,GP_unb_9	128:1,26:1,39:1,43:1,50:1,58:1,59:1,61:1,63:1,66:1,68:1,73:1,75:1,86:1,90:1,137:1,144:1,146:1,147:1,166:1,177:1,178:1,181:1,193:1,213:1,173:1,104:1,112:1,108:1,212:1,127:1
GP_unb_21,GP_1,GP_unb_15	199:1,31:1,37:1,51:1,55:1,59:1,61:1,86:1,148:1,157:1,163:1,172:1,198:1,209:1,222:1,158:1
GP_unb_1	91:1
GP_unb_23,GP_unb_3,GP_unb_18,GP_unb_12,GP_unb_16,GP_unb_2,GP_unb_11	204:1,101:1,168:1,135:1,162:1,100:1,134:1
GP_unb_6,GP_unb_8	111:1,113:1
GP_unb_13	138:1
GP_unb_14	150:1
GP_unb_17	167:1
GP_unb_20	191:1
GP_unb_22	203:1
GP_unb_24	205:1
GP_unb_25	206:1
