SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN34360974	PBF_P1	Contig:1:323.91:Circ:5167	4	0.0	0.49995199999999995	7.6776513665650885	PBF_P2	Contig:13:74.9134:2752,Contig:23:161.864:2124,Contig:19:252.46:2532,Contig:83:69.4046:5262,Contig:36:165.337:449	4	-0.19799719777832245	0.89293629	1.336424974506263	0	0	0	0		1	False	0
ecol-SAMN34360974	PBF_P1	Contig:1:323.91:Circ:5167	4	0.0	0.49995199999999995	7.6776513665650885	PBF_P3	Contig:19:252.46:2532,Contig:21:65.5232:6686,Contig:36:165.337:449	4	-0.008635919799468206	0.59316099	1.2982405160503303	0	0	0	0		1	False	0
ecol-SAMN34360974	PBF_P1	Contig:1:323.91:Circ:5167	4	0.0	0.49995199999999995	7.6776513665650885	PBF_P4	Contig:23:161.864:2124,Contig:19:252.46:2532,Contig:47:49.0096:10522	4	-0.008635919799468206	0.574171	1.1683453099517236	0	0	0	0		1	False	0
ecol-SAMN34360974	PBF_P1	Contig:1:323.91:Circ:5167	4	0.0	0.49995199999999995	7.6776513665650885	PBF_P5	Contig:10:19.802:11145,Contig:89:42.5658:1610,Contig:93:19.6404:6676,Contig:10:19.802:5p:1:5:206	4	-0.1321949193352187	0.90678719	0.46039702619182643	0	0	0	0		1	False	0
ecol-SAMN34360974	PBF_P1	Contig:1:323.91:Circ:5167	4	0.0	0.49995199999999995	7.6776513665650885	PBF_P6	Contig:6:48.9648:21677	4	0.0	0.10003465	1.1151739308294017	0	0	0	0		1	False	0
ecol-SAMN34360974	PBF_P1	Contig:1:323.91:Circ:5167	4	0.0	0.49995199999999995	7.6776513665650885	PBF_P9	Contig:89:42.5658:1610,Contig:24:17.9616:3045,Contig:78:19.8725:2839	4	-0.0918600442959191	0.44234300000000004	0.3828369889413792	0	0	0	0		1	False	0
ecol-SAMN34360974	PBF_P1	Contig:1:323.91:Circ:5167	4	0.0	0.49995199999999995	7.6776513665650885	PBF_P10	Contig:91:14.6732:52418	4	0.0	0.3194226	0.3486821386647353	0	0	0	0		1	False	0
ecol-SAMN34360974	PBF_P1	Contig:1:323.91:Circ:5167	4	0.0	0.49995199999999995	7.6776513665650885	PBF_P11	Contig:10:19.802:5p:1:5:206,Contig:49:19.0033:2131,Contig:17:19.2189:9966,Contig:56:26.5931:6432,Contig:10:19.802:5p:1:9:614	5	-0.06654250181364907	1.0481306199999998	0.46502167357316904	0	0	0	0		1	False	0
ecol-SAMN34360974	PBF_P1	Contig:1:323.91:Circ:5167	4	0.0	0.49995199999999995	7.6776513665650885	PBF_P12	Contig:46:18.6827:8475	4	0.0	0.11876359999999997	0.4498564869479444	0	0	0	0		1	False	0
ecol-SAMN34360974	PBF_P1	Contig:1:323.91:Circ:5167	4	0.0	0.49995199999999995	7.6776513665650885	PBF_P13	Contig:11:19.0762:10224	4	0.0	0.08368450000000005	0.45630952677054515	0	0	0	0		1	False	0
