plasmid	contigs
GP_3	Contig:101:25.7581:1,Contig:109:29.4232:1,Contig:46:27.0836:1,Contig:57:12.251:1,Contig:71:25.1396:1
GP_Isolated_0	Contig:114:8.92732:1
GP_Isolated_1	Contig:128:8.6308:1
GP_unb_1	Contig:132:12.6643:1
GP_1	Contig:135:54.4556:1,Contig:27:12.6976:1,Contig:95:12.2663:1,Contig:27:12.6976:3p:1:5:1
GP_Isolated_2	Contig:140:11.5609:1
GP_unb_2	Contig:18:12.036:1
GP_0	Contig:1:3115.14:Circ:1
GP_Isolated_3	Contig:24:8.99475:1
GP_unb_3	Contig:32:13.01:1
GP_Isolated_4	Contig:33:18.9659:1
GP_2	Contig:43:25.6287:1,Contig:59:18.4772:1
GP_Isolated_5	Contig:61:10.4814:1
GP_4	Contig:63:85.627:1,Contig:93:81.3916:1
GP_Isolated_6	Contig:64:8.90416:1
GP_Isolated_7	Contig:65:12.783:1
GP_Isolated_8	Contig:67:14.2021:1
GP_Isolated_9	Contig:73:10.4901:1
GP_Isolated_10	Contig:74:8.95116:1
GP_Isolated_11	Contig:84:9.16662:1
GP_Isolated_12	Contig:88:8.87475:1
