plasmid	contigs
PBF_P1	Contig:93:81.3916:1
PBF_P2	Contig:59:18.4772:1,Contig:98:21.3239:1,Contig:43:25.6287:1
PBF_P3	Contig:109:29.4232:1,Contig:46:27.0836:1,Contig:101:25.7581:1
PBF_P4	Contig:113:24.0477:1,Contig:57:12.251:1
PBF_P5	Contig:67:14.2021:1
PBF_P6	Contig:27:12.6976:1
PBF_P7	Contig:33:18.9659:1
PBF_P8	Contig:32:13.01:1
PBF_P9	Contig:44:14.4029:1
PBF_P10	Contig:114:8.92732:1
PBF_P11	Contig:140:11.5609:1
PBF_P12	Contig:90:16.3386:1
PBF_P13	Contig:132:12.6643:1
PBF_P14	Contig:128:8.6308:1
PBF_P15	Contig:65:12.783:1
PBF_P16	Contig:73:10.4901:1
PBF_P17	Contig:84:9.16662:1
PBF_P18	Contig:24:8.99475:1
