plasmid	contigs
GP_0	12:1,24:1,29:1,32:1,35:1,36:1,37:1,38:1,41:1,42:1,43:1,52:1,54:1,57:1,58:1,60:1,61:1,76:1,79:1,82:1,89:1,94:1,96:1,97:1,98:1,100:1,104:1,105:1,107:1,108:1,109:1,110:1,112:1,119:1,121:1,122:1,126:1,133:1,134:1,150:1,152:1,153:1,162:1,167:1,168:1,187:1,195:1,204:1,206:1,208:1,211:1,218:1,221:1,222:1,234:1,236:1,249:1,258:1,268:1,275:1,279:1,280:1,293:1,296:1,298:1,299:1,302:1,306:1,318:1,329:1,335:1,339:1,340:1,342:1,349:1,351:1,353:1
GP_3	40:1
GP_1	49:1,63:1,72:1,73:1,77:1,85:1,86:1,87:1,88:1,91:1,99:1,101:1,102:1,103:1,113:1,114:1,116:1,120:1,123:1,124:1,127:1,131:1,136:1,139:1,140:1,142:1,160:1,267:1
GP_4	50:1
GP_2	65:1,66:1,67:1,84:1,90:1,115:1,117:1,118:1,128:1,129:1,132:1,135:1,144:1,145:1,216:1,225:1,277:1,282:1,295:1
GP_unb_1	92:1
GP_unb_2	111:1
GP_unb_3	147:1
GP_unb_4	148:1
GP_unb_5	154:1
GP_unb_6	157:1
GP_unb_7	158:1
GP_unb_8	159:1
GP_unb_9	163:1
GP_unb_10	164:1
GP_unb_11	165:1
GP_unb_12	166:1
GP_unb_13	169:1
GP_unb_14	170:1
GP_unb_15	171:1
GP_unb_16	172:1
GP_unb_17	174:1
GP_unb_18	175:1
GP_unb_19	176:1
GP_unb_20	178:1
GP_unb_21	179:1
GP_unb_22	180:1
GP_unb_23	181:1
GP_unb_24	182:1
GP_unb_25	183:1
GP_unb_26	185:1
GP_unb_27	186:1
GP_unb_28	188:1
GP_unb_29	190:1
GP_unb_30	193:1
GP_unb_31	196:1
GP_unb_32	197:1
GP_unb_33	201:1
GP_unb_34	202:1
GP_unb_35	203:1
GP_unb_36	205:1
GP_unb_37	209:1
GP_unb_38	210:1
GP_unb_39	212:1
GP_unb_40	213:1
GP_unb_41	214:1
GP_unb_42	215:1
GP_unb_43	217:1
GP_unb_44	219:1
GP_unb_45	220:1
GP_unb_46	223:1
GP_unb_47	224:1
GP_unb_48	228:1
GP_unb_49	229:1
GP_unb_50	230:1
GP_unb_51	231:1
GP_unb_52	232:1
GP_unb_53	233:1
GP_unb_54	235:1
GP_unb_55	237:1
GP_unb_56	238:1
GP_unb_57	239:1
GP_unb_58	240:1
GP_unb_59	242:1
GP_unb_60	246:1
GP_unb_61	251:1
GP_unb_62	252:1
GP_unb_63	253:1
GP_unb_64	254:1
GP_unb_65	255:1
GP_unb_66	256:1
GP_unb_67	259:1
GP_unb_68	264:1
GP_unb_69	265:1
GP_unb_70	273:1
GP_unb_71	274:1
GP_unb_72	283:1
GP_unb_73	284:1
GP_unb_74	285:1
GP_unb_75	288:1
GP_unb_76	289:1
GP_unb_77	291:1
GP_unb_78	292:1
GP_unb_79	294:1
GP_unb_80	303:1
GP_unb_81	304:1
GP_unb_82	305:1
GP_unb_83	307:1
GP_unb_84	309:1
GP_unb_85	311:1
GP_unb_86	312:1
GP_unb_87	313:1
GP_unb_88	315:1
GP_unb_89	316:1
GP_unb_90	317:1
GP_unb_91	320:1
GP_unb_92	321:1
GP_unb_93	322:1
GP_unb_94	323:1
GP_unb_95	324:1
GP_unb_96	325:1
GP_unb_97	331:1
GP_unb_98	332:1
GP_unb_99	333:1
GP_unb_100	334:1
GP_unb_101	336:1
GP_unb_102	337:1
GP_unb_103	341:1
GP_unb_104	346:1
GP_unb_105	347:1
GP_unb_106	352:1
