plasmid	contigs
GP_3	28:1,40:1,42:1,43:1,55:1,57:1,65:1,77:1,93:1,97:1,103:1,111:1,122:1,129:1,214:1,227:1,239:1,251:1,274:1,276:1,288:1,302:1,312:1,352:1,361:1,381:1,409:1,450:1,458:1
GP_2	44:1,46:1,53:1,73:1,88:1,113:1,119:1,121:1,135:1,146:1,226:1,245:1,318:1,367:1,392:1,406:1,407:1,467:1,468:1
GP_0	49:1,82:1,92:1,100:1,101:1,114:1,118:1,122:1,133:1,151:1,173:1,189:1,209:1,216:1,217:1,221:1,297:1,302:1,308:1,314:1,325:1,336:1,370:1,381:1,385:1,395:1,397:1,400:1,413:1,416:1,424:1,425:1,428:1,444:1,472:1
GP_7	51:1,54:1,76:1,84:1,94:1
GP_1	56:1,62:1,109:1,127:1,130:1,143:1,235:1,238:1,261:1,345:1,350:1,355:1,434:1,438:1,456:1,458:1,470:1
GP_unb_1	58:1
GP_4	78:1,124:1,132:1,166:1,176:1,283:1
GP_8	79:1,85:1,244:1
GP_5	86:1,91:1,137:1,198:1,305:1,416:1,442:1,477:1
GP_6	102:1,116:1,164:1,400:1
GP_unb_2	142:1
GP_unb_3	149:1
GP_unb_4	150:1
GP_unb_5	152:1
GP_unb_6	153:1
GP_unb_7	154:1
GP_unb_8	161:1
GP_unb_9	163:1
GP_unb_10	165:1
GP_unb_11	167:1
GP_unb_12	169:1
GP_unb_13	170:1
GP_unb_14	171:1
GP_unb_15	177:1
GP_unb_16	178:1
GP_unb_17	180:1
GP_unb_18	182:1
GP_unb_19	184:1
GP_unb_20	186:1
GP_unb_21	188:1
GP_unb_22	190:1
GP_unb_23	192:1
GP_unb_24	193:1
GP_unb_25	194:1
GP_unb_26	196:1
GP_unb_27	200:1
GP_unb_28	202:1
GP_unb_29	203:1
GP_unb_30	205:1
GP_unb_31	206:1
GP_unb_32	207:1
GP_unb_33	211:1
GP_unb_34	215:1
GP_unb_35	219:1
GP_unb_36	220:1
GP_unb_37	225:1
GP_unb_38	230:1
GP_unb_39	231:1
GP_unb_40	232:1
GP_unb_41	233:1
GP_unb_42	234:1
GP_unb_43	242:1
GP_unb_44	246:1
GP_unb_45	250:1
GP_unb_46	252:1
GP_unb_47	254:1
GP_unb_48	259:1
GP_unb_49	267:1
GP_unb_50	268:1
GP_unb_51	269:1
GP_unb_52	273:1
GP_unb_53	278:1
GP_unb_54	284:1
GP_unb_55	292:1
GP_unb_56	294:1
GP_unb_57	304:1
GP_unb_58	306:1
GP_unb_59	307:1
GP_unb_60	311:1
GP_unb_61	315:1
GP_unb_62	330:1
GP_unb_63	347:1
GP_unb_64	354:1
GP_unb_65	357:1
GP_unb_66	363:1
GP_unb_67	373:1
GP_unb_68	390:1
GP_unb_69	393:1
GP_unb_70	398:1
GP_unb_71	402:1
GP_unb_72	410:1
GP_unb_73	417:1
GP_unb_74	420:1
GP_unb_75	429:1
GP_unb_76	443:1
GP_unb_77	452:1
GP_unb_78	455:1
GP_unb_79	461:1
GP_unb_80	462:1
GP_unb_81	465:1
