plasmid	contigs
GP_0	Contig:10:64.54:1,Contig:12:250.658:1,Contig:16:129.889:1,Contig:18:97.5441:1,Contig:19:41.5006:1,Contig:1:61.8765:1,Contig:20:59.0195:1,Contig:23:55.3786:1,Contig:24:53.4465:1,Contig:25:133.378:1,Contig:28:51.4731:1,Contig:31:182.534:1,Contig:33:167.385:1,Contig:34:50.5481:1,Contig:36:56.5881:1,Contig:37:47.3237:1,Contig:39:61.1178:1,Contig:3:44.0443:1,Contig:40:93.5506:1,Contig:42:56.9652:1,Contig:44:153.878:1,Contig:47:50.5334:1,Contig:4:55.0858:1,Contig:50:65.2595:1,Contig:52:72.6085:1,Contig:53:62.8899:1,Contig:55:73.5178:1,Contig:56:64.7069:1,Contig:57:206.32:1,Contig:58:65.9501:1,Contig:60:55.9253:1,Contig:61:58.0012:1,Contig:73:45.9616:1,Contig:74:60.6774:1,Contig:75:47.9503:1,Contig:78:53.7316:1,Contig:7:75.1965:1,Contig:81:54.086:1,Contig:87:56.1307:1,Contig:88:113.768:1,Contig:8:51.058:1,Contig:90:696.743:1,Contig:92:49.5871:1,Contig:94:104.658:1,Contig:95:206.545:1,Contig:97:41.1244:1,Contig:9:52.5636:1,Contig:14:45.5256:5p:1:3:1,Contig:25:133.378:3p:1:4:1,Contig:25:133.378:3p:1:7:1,Contig:25:133.378:3p:1:16:1,Contig:25:133.378:3p:1:22:1,Contig:25:133.378:3p:1:24:1,Contig:33:167.385:3p:1:9:1,Contig:3:44.0443:3p:1:30:1,Contig:3:44.0443:3p:1:32:1,Contig:45:47.7681:3p:1:3:1,Contig:55:73.5178:5p:1:3:1,Contig:55:73.5178:5p:1:8:1,Contig:55:73.5178:5p:1:10:1,Contig:65:84.5381:5p:1:1:1,Contig:77:45.3762:5p:1:1:1,Contig:78:53.7316:5p:1:2:1
GP_1	Contig:11:110.869:1,Contig:31:182.534:1,Contig:51:54.4348:1,Contig:76:54.672:1
GP_unb_1	Contig:15:45.3193:3p:1:15:1
GP_unb_2	Contig:15:45.3193:3p:1:17:1
GP_unb_3	Contig:25:133.378:3p:1:17:1
GP_unb_4	Contig:3:44.0443:3p:1:33:1
GP_unb_5	Contig:3:44.0443:3p:1:34:1
GP_unb_6	Contig:3:44.0443:3p:1:45:1
GP_unb_7	Contig:63:301.853:3p:1:4:1
GP_unb_8	Contig:89:86.7391:3p:1:3:1
GP_unb_9	Contig:89:86.7391:3p:1:4:1
