plasmid	contigs
GP_1	49:1,57:1,69:1,73:1,82:1,85:1,98:1,104:1,105:1,106:1,107:1,108:1,114:1,116:1,117:1,119:1,126:1,127:1,138:1,139:1,142:1,143:1,145:1,147:1,148:1,151:1,156:1,157:1,158:1,161:1,162:1,164:1,165:1,166:1,167:1,170:1,171:1,173:1,176:1,178:1,183:1,186:1,187:1,196:1,200:1,203:1,204:1,210:1,212:1,215:1,221:1,225:1,233:1,234:1,236:1,239:1,245:1,247:1,252:1,256:1,263:1,267:1,272:1,273:1
GP_0	101:1
GP_unb_1	109:1
GP_2	130:1
GP_unb_2	177:1
GP_unb_3	194:1
GP_unb_4	199:1
GP_unb_5	208:1
GP_unb_6	209:1
GP_unb_7	213:1
GP_unb_8	214:1
GP_unb_9	216:1
GP_unb_10	218:1
GP_unb_11	231:1
GP_unb_12	232:1
GP_unb_13	238:1
GP_unb_14	243:1
GP_unb_15	244:1
GP_unb_16	248:1
GP_unb_17	253:1
GP_unb_18	254:1
GP_unb_19	261:1
GP_unb_20	262:1
GP_unb_21	266:1
GP_unb_22	269:1
GP_unb_23	270:1
GP_unb_24	274:1
