plasmid	contigs
PBF_P1	Contig:13:192.777:1,Contig:11:129.468:5p:1:6:1,Contig:95:689.561:1,Contig:29:484.586:1,Contig:30:563.176:1,Contig:1:349.74:1,Contig:14:130.685:1,Contig:100:124.203:3p:1:10:1,Contig:20:1345.78:1,Contig:11:129.468:1,Contig:15:195.914:1,Contig:100:124.203:3p:1:2:1,Contig:48:769.588:1,Contig:59:163.78:1,Contig:11:129.468:3p:1:18:1,Contig:69:192.771:1,Contig:9:325.666:1,Contig:104:351.768:3p:1:5:1,Contig:10:198.139:1,Contig:32:353.868:1,Contig:104:351.768:3p:1:67:1,Contig:35:709.376:1,Contig:28:546.765:1,Contig:104:351.768:3p:1:81:1,Contig:77:497.06:1,Contig:104:351.768:1,Contig:17:343.475:1,Contig:62:871.996:1,Contig:11:129.468:5p:1:12:1,Contig:80:5202.66:1,Contig:103:175.974:1,Contig:27:197.618:1,Contig:104:351.768:3p:1:13:1,Contig:104:351.768:3p:1:19:1,Contig:101:467.59:1,Contig:104:351.768:3p:1:61:1,Contig:100:124.203:3p:1:11:1,Contig:40:242.898:1,Contig:16:213.584:1,Contig:16:213.584:5p:1:12:1,Contig:53:219.259:1,Contig:104:351.768:3p:1:60:1,Contig:11:129.468:3p:1:16:1,Contig:16:213.584:5p:1:11:1,Contig:63:518.223:1,Contig:88:318.556:1,Contig:100:124.203:1,Contig:4:328.977:1,Contig:104:351.768:3p:1:9:1
PBF_P2	Contig:11:129.468:5p:1:6:1,Contig:95:689.561:1,Contig:29:484.586:1,Contig:30:563.176:1,Contig:1:349.74:1,Contig:20:1345.78:1,Contig:11:129.468:1,Contig:100:124.203:3p:1:2:1,Contig:48:769.588:1,Contig:59:163.78:1,Contig:11:129.468:3p:1:18:1,Contig:91:146.153:1,Contig:54:139.203:1,Contig:9:325.666:1,Contig:104:351.768:3p:1:5:1,Contig:21:2182.32:1,Contig:32:353.868:1,Contig:104:351.768:3p:1:67:1,Contig:35:709.376:1,Contig:28:546.765:1,Contig:104:351.768:3p:1:81:1,Contig:77:497.06:1,Contig:104:351.768:1,Contig:17:343.475:1,Contig:99:137.072:1,Contig:89:2132.53:5p:1:4:1,Contig:62:871.996:1,Contig:11:129.468:5p:1:12:1,Contig:80:5202.66:1,Contig:27:197.618:1,Contig:103:175.974:1,Contig:104:351.768:3p:1:13:1,Contig:104:351.768:3p:1:19:1,Contig:104:351.768:3p:1:42:1,Contig:101:467.59:1,Contig:104:351.768:3p:1:61:1,Contig:40:242.898:1,Contig:53:219.259:1,Contig:16:213.584:1,Contig:16:213.584:5p:1:12:1,Contig:55:336.819:1,Contig:51:157.798:1,Contig:104:351.768:3p:1:54:1,Contig:104:351.768:3p:1:60:1,Contig:11:129.468:3p:1:16:1,Contig:16:213.584:5p:1:11:1,Contig:89:2132.53:1,Contig:63:518.223:1,Contig:4:328.977:1,Contig:100:124.203:1,Contig:104:351.768:3p:1:9:1,Contig:104:351.768:3p:1:14:1
PBF_P3	Contig:13:192.777:1,Contig:95:689.561:1,Contig:11:129.468:5p:1:6:1,Contig:20:1345.78:1,Contig:48:769.588:1,Contig:11:129.468:3p:1:18:1,Contig:54:139.203:1,Contig:104:351.768:3p:1:5:1,Contig:21:2182.32:1,Contig:32:353.868:1,Contig:104:351.768:3p:1:67:1,Contig:35:709.376:1,Contig:28:546.765:1,Contig:104:351.768:3p:1:81:1,Contig:77:497.06:1,Contig:104:351.768:1,Contig:17:343.475:1,Contig:89:2132.53:5p:1:4:1,Contig:62:871.996:1,Contig:11:129.468:5p:1:12:1,Contig:80:5202.66:1,Contig:104:351.768:3p:1:13:1,Contig:104:351.768:3p:1:42:1,Contig:101:467.59:1,Contig:104:351.768:3p:1:61:1,Contig:40:242.898:1,Contig:16:213.584:1,Contig:53:219.259:1,Contig:16:213.584:5p:1:12:1,Contig:55:336.819:1,Contig:63:518.223:1,Contig:16:213.584:5p:1:11:1,Contig:11:129.468:3p:1:16:1,Contig:89:2132.53:1,Contig:4:328.977:1,Contig:104:351.768:3p:1:9:1,Contig:60:121.736:1
PBF_P4	Contig:95:689.561:1,Contig:3:153.168:1,Contig:20:1345.78:1,Contig:48:769.588:1,Contig:11:129.468:3p:1:18:1,Contig:9:325.666:1,Contig:32:353.868:1,Contig:104:351.768:3p:1:67:1,Contig:35:709.376:1,Contig:28:546.765:1,Contig:104:351.768:3p:1:81:1,Contig:77:497.06:1,Contig:62:871.996:1,Contig:11:129.468:5p:1:12:1,Contig:80:5202.66:1,Contig:40:242.898:1,Contig:53:219.259:1,Contig:16:213.584:5p:1:12:1,Contig:63:518.223:1,Contig:11:129.468:3p:1:16:1,Contig:16:213.584:5p:1:11:1,Contig:104:351.768:3p:1:60:1
PBF_P5	Contig:95:689.561:1,Contig:1:349.74:1,Contig:48:769.588:1,Contig:91:146.153:1,Contig:9:325.666:1,Contig:32:353.868:1,Contig:104:351.768:3p:1:67:1,Contig:35:709.376:1,Contig:28:546.765:1,Contig:77:497.06:1,Contig:62:871.996:1,Contig:11:129.468:5p:1:12:1,Contig:80:5202.66:1,Contig:5:166.661:1,Contig:40:242.898:1,Contig:16:213.584:5p:1:12:1,Contig:63:518.223:1,Contig:16:213.584:5p:1:11:1,Contig:104:351.768:3p:1:60:1
PBF_P6	Contig:9:325.666:1,Contig:16:213.584:5p:1:12:1,Contig:95:689.561:1,Contig:62:871.996:1,Contig:11:129.468:5p:1:12:1,Contig:80:5202.66:1,Contig:1:349.74:1,Contig:63:518.223:1,Contig:16:213.584:5p:1:11:1,Contig:104:351.768:3p:1:60:1,Contig:32:353.868:1,Contig:5:166.661:1,Contig:104:351.768:3p:1:67:1,Contig:35:709.376:1,Contig:28:546.765:1,Contig:91:146.153:1
PBF_P7	Contig:32:353.868:1,Contig:16:213.584:5p:1:12:1
PBF_P8	Contig:16:213.584:5p:1:12:1,Contig:95:689.561:1,Contig:11:129.468:5p:1:6:1,Contig:62:871.996:1,Contig:11:129.468:5p:1:12:1,Contig:80:5202.66:1,Contig:1:349.74:1,Contig:63:518.223:1,Contig:16:213.584:5p:1:11:1,Contig:5:166.661:1,Contig:35:709.376:1,Contig:69:192.771:1,Contig:91:146.153:1
PBF_P9	Contig:95:689.561:1,Contig:11:129.468:5p:1:6:1,Contig:62:871.996:1,Contig:11:129.468:5p:1:12:1,Contig:80:5202.66:1,Contig:63:518.223:1,Contig:16:213.584:5p:1:11:1,Contig:104:351.768:3p:1:60:1,Contig:106:263.272:1,Contig:104:351.768:3p:1:67:1,Contig:35:709.376:1
PBF_P10	Contig:55:336.819:1,Contig:104:351.768:3p:1:5:1,Contig:89:2132.53:5p:1:4:1,Contig:21:2182.32:1,Contig:3:153.168:1,Contig:104:351.768:3p:1:13:1,Contig:89:2132.53:1,Contig:20:1345.78:1,Contig:11:129.468:3p:1:16:1,Contig:104:351.768:3p:1:9:1,Contig:11:129.468:3p:1:18:1,Contig:37:122.612:1,Contig:104:351.768:1
PBF_P11	Contig:16:213.584:5p:1:12:1,Contig:95:689.561:1,Contig:80:5202.66:1,Contig:63:518.223:1,Contig:16:213.584:5p:1:11:1,Contig:106:263.272:1,Contig:35:709.376:1
PBF_P12	Contig:13:192.777:1,Contig:1:349.74:1,Contig:5:166.661:1
PBF_P13	Contig:15:195.914:1
PBF_P14	Contig:93:200.92:1
PBF_P15	Contig:69:192.771:1
