plasmid	contigs
GP_0	23:1,32:1,33:1,38:1,43:1,53:1,54:1,60:1,61:1,62:1,65:1,67:1,70:1,79:1,82:1,85:1,86:1,87:1,89:1,90:1,93:1,94:1,95:1,97:1,99:1,102:1,103:1,104:1,105:1,116:1,122:1,123:1,129:1,130:1,133:1,134:1,139:1
GP_1	46:1,59:1,64:1,72:1,84:1,91:1,105:1,123:1
GP_2	75:1,88:1,92:1,135:1
GP_unb_1	100:1
GP_unb_2	101:1
GP_unb_3	107:1
GP_unb_4	108:1
GP_unb_5	109:1
GP_unb_6	110:1
GP_unb_7	111:1
GP_unb_8	112:1
GP_unb_9	113:1
GP_unb_10	114:1
GP_unb_11	115:1
GP_unb_12	117:1
GP_unb_13	119:1
GP_unb_14	120:1
GP_unb_15	121:1
GP_unb_16	124:1
GP_unb_17	127:1
GP_unb_18	131:1
GP_unb_19	136:1
GP_unb_20	140:1
GP_unb_21	141:1
GP_unb_22	142:1
