plasmid	contigs
PBF_P1	110:1,52:1
PBF_P2	78:1,132:1,123:1,53:1,102:1,64:1,148:1,118:1,32:1,56:1,66:1,62:1,107:1,87:1,19:1,114:1,109:1,134:1,59:1,93:1,60:1,117:1,98:1,104:1,92:1,164:1,96:1,167:1,116:1,158:1,163:1,63:1,84:1,140:1,42:1,152:1,90:1,97:1,94:1,153:1,160:1,108:1,125:1,143:1,71:1,159:1,149:1,151:1,67:1,105:1,91:1,85:1,51:1,122:1,82:1,161:1,137:1,168:1,145:1,157:1,106:1,146:1,55:1,139:1,147:1,133:1,79:1,88:1,110:1,150:1,29:1,121:1
PBF_P3	78:1,123:1,148:1,64:1,32:1,118:1,79:1,66:1,62:1,130:1,107:1,87:1,127:1,36:1,109:1,59:1,93:1,60:1,117:1,98:1,104:1,69:1,96:1,92:1,164:1,167:1,116:1,95:1,156:1,163:1,158:1,84:1,140:1,152:1,131:1,97:1,94:1,124:1,38:1,125:1,27:1,108:1,70:1,143:1,160:1,159:1,149:1,57:1,67:1,85:1,105:1,91:1,51:1,82:1,137:1,161:1,168:1,157:1,58:1,106:1,146:1,55:1,139:1,147:1,46:1,133:1,63:1,88:1,110:1,115:1,29:1,121:1
PBF_P4	58:1
PBF_P5	110:1,67:1
PBF_P6	78:1,123:1,148:1,64:1,118:1,66:1,28:1,107:1,81:1,83:1,36:1,114:1,59:1,110:1,69:1,96:1,92:1,68:1,95:1,163:1,63:1,84:1,140:1,131:1,143:1,91:1,82:1,157:1,55:1,106:1,146:1,147:1,139:1,46:1,133:1,168:1,88:1,158:1,117:1
PBF_P7	123:1,148:1,64:1,118:1,28:1,130:1,107:1,81:1,87:1,83:1,36:1,69:1,96:1,92:1,158:1,163:1,156:1,84:1,140:1,131:1,70:1,143:1,91:1,82:1,168:1,157:1,106:1,146:1,147:1,139:1,46:1,133:1,63:1,88:1,110:1,117:1,86:1
PBF_P8	123:1,54:1,118:1,158:1
PBF_P9	123:1,148:1,64:1,118:1,130:1,81:1,87:1,83:1,92:1,96:1,156:1,163:1,158:1,84:1,70:1,91:1,82:1,157:1,106:1,146:1,147:1,139:1,46:1,133:1,63:1,88:1,110:1,117:1,86:1
PBF_P10	123:1,148:1,64:1,118:1,130:1,92:1,96:1,95:1,156:1,91:1,157:1,106:1,147:1,139:1,133:1,158:1,117:1
PBF_P11	64:1,106:1
