SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_1	83:6848,121:2354,144:1309,166:674,170:623	4	0.0	0.9548000000000002	4.75312987418212	4	-0.1975984616598871	9.625800000000009	0.8056327199938096		0	True	0
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_2	87:6174	4	0.0	0.22619999999999996	17.83533843644451	0	0	0	0		1	False	0
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_unb_1	164:704	4	0.0	0.08599999999999997	2.7146022505179332	4	-0.1975984616598871	8.757000000000009	0.8056327199938096		0	False	0
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_unb_2	182:500	4	0.0	0.07820000000000005	2.0041439374825334	4	-0.1975984616598871	8.580200000000008	0.8056327199938096	204:329,268:110,269:110	0	False	0
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_unb_3	185:492	4	0.0	0.009800000000000031	1.0233794004424686	4	-0.19848445808350593	8.665800000000008	0.8056327199938096	110:3589,204:329,227:212,264:115,268:110,269:110	0	False	0
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_unb_4	186:492	4	0.0	0.006000000000000005	0.8072735013176731	4	-0.19848445808350593	8.662000000000008	0.8056327199938096	110:3589,204:329,227:212,264:115,268:110,269:110	0	False	0
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_unb_5	187:480	3	0.0	0.10619999999999996	4.548782150358307	4	-0.2011889057714492	8.777200000000008	0.8056327199938096		0	False	0
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_unb_6	188:479	3	0.0	0.06820000000000004	0.8574377768479983	4	-0.19979394651180055	8.739200000000007	0.8056327199938096		0	False	0
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_unb_7	192:453	4	0.0	0.020000000000000018	0.8660371072188758	4	-0.1975984616598871	8.577600000000007	0.8056327199938096	220:235,269:110	0	False	0
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_unb_8	193:453	4	0.0	0.01959999999999995	0.9423220760057723	4	-0.1975984616598871	8.690600000000009	0.8056327199938096		0	False	0
efae-SAMN36766196	GP_0	39:25262,52:17109,59:14401,62:13908,65:13351,66:13313,67:12659,72:11472,76:9705,85:6404,86:6385,89:6069,90:5881,91:5455,97:5124,100:4523,102:4379,104:4178,105:4168,106:3958,107:3933,108:3932,111:3431,113:3290,115:2495,116:2470,117:2461,120:2382,123:2106,125:1714,131:1572,134:1514,135:1512,136:1502,137:1500,138:1477,139:1466,141:1419,143:1390,144:1309,145:1248,146:1203,148:1099,149:1074,151:1040,153:978,154:948,155:890,156:852,159:780,163:715,165:695,168:665,169:623,173:602,174:565,175:548,176:534,179:523,180:515,181:502,183:498,190:458,194:446,195:445,201:351,203:334,208:286,210:283,223:231,224:231,225:229,232:206,237:188,242:170,246:155,250:146,255:129,260:123,261:120,263:117,265:115,270:110	4	-0.1975984616598871	8.671000000000008	0.8056327199942658	GP_unb_9	199:384	2	0.0	0.010399999999999965	0.9913046253751945	4	-0.2091751849573457	8.681400000000009	0.8056327199938096		0	False	0
