plasmid	contigs
GP_0	15:1,17:1,23:1,24:1,25:1,26:1,27:1,28:1,29:1,30:1,32:1,36:1,38:1,39:1,40:1,42:1,43:1,44:1,45:1,46:1,51:1,52:1,58:1,59:1,61:1,70:1,72:1,79:1,90:1
GP_1	31:1,67:1
GP_2	35:1
GP_3	37:1
GP_unb_1	47:1
GP_unb_2	49:1
GP_unb_3	53:1
GP_unb_4	62:1
GP_unb_5	63:1
GP_unb_6	68:1
GP_unb_7	69:1
GP_unb_8	73:1
GP_unb_9	75:1
GP_unb_10	77:1
GP_unb_11	78:1
GP_unb_12	81:1
GP_unb_13	86:1
GP_unb_14	87:1
GP_unb_15	88:1
GP_unb_16	89:1
GP_unb_17	91:1
GP_unb_18	92:1
GP_unb_19	93:1
GP_unb_20	94:1
GP_unb_21	95:1
