plasmid	contigs
PBF_P1	Contig:71:112.097:1,Contig:59:295.895:1,Contig:30:100.892:1,Contig:50:404.854:1,Contig:146:164.82:1,Contig:147:118.916:1,Contig:116:593.367:5p:1:40:1,Contig:120:389.793:1,Contig:5:302.684:1,Contig:143:205.208:1,Contig:116:593.367:5p:1:53:1,Contig:97:522.802:1,Contig:118:143.013:1,Contig:134:219.416:1,Contig:74:137.627:1,Contig:70:146.654:1,Contig:141:1725.47:1,Contig:88:229.426:1,Contig:32:213.455:1,Contig:122:106.455:1,Contig:116:593.367:5p:1:59:1,Contig:116:593.367:5p:1:60:1,Contig:153:906.664:1,Contig:101:414.354:5p:1:6:1,Contig:80:537.323:1,Contig:78:353.447:1,Contig:153:906.664:3p:1:13:1,Contig:17:536.51:1,Contig:101:414.354:3p:1:6:1,Contig:76:151.205:1,Contig:52:303.782:1,Contig:33:110.409:1,Contig:45:440.634:1,Contig:15:106.587:1,Contig:8:316.316:1,Contig:3:463.865:1,Contig:101:414.354:3p:1:5:1,Contig:150:190.912:1,Contig:56:112.043:1,Contig:105:122.196:1
PBF_P2	Contig:5:302.684:1
PBF_P3	Contig:154:291.092:1,Contig:52:303.782:1,Contig:8:316.316:1,Contig:116:593.367:1,Contig:141:1725.47:1
PBF_P4	Contig:88:229.426:1,Contig:72:228.754:1,Contig:141:1725.47:1
PBF_P5	Contig:14:158.035:1,Contig:32:213.455:1
PBF_P6	Contig:121:107.342:1,Contig:153:906.664:3p:1:15:1,Contig:59:295.895:1,Contig:66:135.013:1,Contig:153:906.664:3p:1:14:1,Contig:153:906.664:1,Contig:80:537.323:1,Contig:141:1725.47:1
PBF_P7	Contig:155:111.335:1,Contig:153:906.664:1
PBF_P8	Contig:139:102.974:1
PBF_P9	Contig:17:536.51:1,Contig:150:190.912:1
PBF_P10	Contig:84:110.918:1
PBF_P11	Contig:106:134.133:1
PBF_P12	Contig:65:107.45:1
PBF_P13	Contig:131:111.939:1
PBF_P14	Contig:152:97.6457:1
