SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMN22024790	PBF_P1	Contig:30:163.199:26919	4	0.0	0.46830828545276204	1.4563213009711344	PBF_P2	Contig:52:104.001:5465	4	0.0	0.35155310798618	0.9195440006023485	5	-0.20143247391850036	-0.7015157376073731	0.7912913976742857	Contig:10:102.716:11378,Contig:17:114.153:87067,Contig:29:264.497:1229,Contig:38:96.6901:661,Contig:43:596.288:1194,Contig:4:125.528:131785,Contig:19:120.927:5p:1:6:169	0	False	0
kpne-SAMN22024790	PBF_P1	Contig:30:163.199:26919	4	0.0	0.46830828545276204	1.4563213009711344	PBF_P3	Contig:40:70.6126:3720,Contig:19:120.927:5p:1:10:817,Contig:9:102.052:2410,Contig:32:64.8632:35510	4	-0.0394601457180353	0.9305358548281579	0.48652313237774386	4	-0.0394601457180353	1.39884414028092	0.4865231323783519		0	False	0
kpne-SAMN22024790	PBF_P1	Contig:30:163.199:26919	4	0.0	0.46830828545276204	1.4563213009711344	PBF_P4	Contig:13:64.8739:65592,Contig:43:596.288:1194,Contig:37:99.1138:3069,Contig:13:64.8739:5p:1:8:719,Contig:20:60.0937:57515	5	-0.1402055065084554	0.661184360277988	0.5374339740364222	5	-0.41682740998013595	0.5048238362764808	0.06828303566908289	Contig:10:102.716:11378,Contig:17:114.153:87067,Contig:29:264.497:1229,Contig:32:64.8632:35510,Contig:4:125.528:131785,Contig:9:102.052:2410,Contig:19:120.927:5p:1:6:169,Contig:19:120.927:5p:1:10:817	0	False	0
kpne-SAMN22024790	PBF_P1	Contig:30:163.199:26919	4	0.0	0.46830828545276204	1.4563213009711344	PBF_P5	Contig:1:101.476:Circ:2928	4	0.0	0.09656307513930196	0.7465911119359304	5	-0.3075275128801779	-1.4512318475301582	0.7465911119415978	Contig:10:102.716:11378,Contig:15:99.6469:186419,Contig:17:114.153:87067,Contig:29:264.497:1229,Contig:43:596.288:1194,Contig:4:125.528:131785,Contig:13:64.8739:5p:1:8:719,Contig:19:120.927:5p:1:6:169	0	False	0
kpne-SAMN22024790	PBF_P1	Contig:30:163.199:26919	4	0.0	0.46830828545276204	1.4563213009711344	PBF_P6	Contig:2:61.7191:14457	4	0.0	0.151991900172317	0.5571536536795776	0	0	0	0		1	False	0
kpne-SAMN22024790	PBF_P2	Contig:52:104.001:5465	4	0.0	0.35155310798618	0.9195440006023485	PBF_P3	Contig:40:70.6126:3720,Contig:19:120.927:5p:1:10:817,Contig:9:102.052:2410,Contig:32:64.8632:35510	4	-0.0394601457180353	0.9305358548281579	0.48652313237774386	5	-0.3846575051155842	-0.23928816823197718	0.4865231323783519	Contig:10:102.716:11378,Contig:17:114.153:87067,Contig:29:264.497:1229,Contig:38:96.6901:661,Contig:43:596.288:1194,Contig:4:125.528:131785,Contig:19:120.927:5p:1:6:169	0	False	0
kpne-SAMN22024790	PBF_P2	Contig:52:104.001:5465	4	0.0	0.35155310798618	0.9195440006023485	PBF_P4	Contig:13:64.8739:65592,Contig:43:596.288:1194,Contig:37:99.1138:3069,Contig:13:64.8739:5p:1:8:719,Contig:20:60.0937:57515	5	-0.1402055065084554	0.661184360277988	0.5374339740364222	5	-0.1659954181078547	1.0127374682641679	0.5374339740355936	Contig:38:96.6901:661	0	False	0
kpne-SAMN22024790	PBF_P2	Contig:52:104.001:5465	4	0.0	0.35155310798618	0.9195440006023485	PBF_P5	Contig:1:101.476:Circ:2928	4	0.0	0.09656307513930196	0.7465911119359304	5	-0.1576748621604761	-0.35118431609275913	0.7465911119415978	Contig:15:99.6469:186419,Contig:38:96.6901:661,Contig:43:596.288:1194,Contig:13:64.8739:5p:1:8:719	0	False	0
kpne-SAMN22024790	PBF_P2	Contig:52:104.001:5465	4	0.0	0.35155310798618	0.9195440006023485	PBF_P6	Contig:2:61.7191:14457	4	0.0	0.151991900172317	0.5571536536795776	0	0	0	0		1	False	0
kpne-SAMN22024790	PBF_P3	Contig:40:70.6126:3720,Contig:19:120.927:5p:1:10:817,Contig:9:102.052:2410,Contig:32:64.8632:35510	4	-0.0394601457180353	0.9305358548281579	0.48652313237774386	PBF_P4	Contig:13:64.8739:65592,Contig:43:596.288:1194,Contig:37:99.1138:3069,Contig:13:64.8739:5p:1:8:719,Contig:20:60.0937:57515	5	-0.1402055065084554	0.661184360277988	0.5374339740364222	5	-0.4990731000246403	0.37491750620216474	0.4865231323783519	Contig:10:102.716:11378,Contig:17:114.153:87067,Contig:29:264.497:1229,Contig:4:125.528:131785,Contig:19:120.927:5p:1:6:169	0	False	0
kpne-SAMN22024790	PBF_P3	Contig:40:70.6126:3720,Contig:19:120.927:5p:1:10:817,Contig:9:102.052:2410,Contig:32:64.8632:35510	4	-0.0394601457180353	0.9305358548281579	0.48652313237774386	PBF_P5	Contig:1:101.476:Circ:2928	4	0.0	0.09656307513930196	0.7465911119359304	5	-0.4907525440772617	-0.9890042781547623	0.4865231323783519	Contig:10:102.716:11378,Contig:15:99.6469:186419,Contig:17:114.153:87067,Contig:29:264.497:1229,Contig:43:596.288:1194,Contig:4:125.528:131785,Contig:13:64.8739:5p:1:8:719,Contig:19:120.927:5p:1:6:169	0	False	0
kpne-SAMN22024790	PBF_P3	Contig:40:70.6126:3720,Contig:19:120.927:5p:1:10:817,Contig:9:102.052:2410,Contig:32:64.8632:35510	4	-0.0394601457180353	0.9305358548281579	0.48652313237774386	PBF_P6	Contig:2:61.7191:14457	4	0.0	0.151991900172317	0.5571536536795776	0	0	0	0		1	False	0
kpne-SAMN22024790	PBF_P4	Contig:13:64.8739:65592,Contig:43:596.288:1194,Contig:37:99.1138:3069,Contig:13:64.8739:5p:1:8:719,Contig:20:60.0937:57515	5	-0.1402055065084554	0.661184360277988	0.5374339740364222	PBF_P5	Contig:1:101.476:Circ:2928	4	0.0	0.09656307513930196	0.7465911119359304	5	-0.27209045706953217	0.26302135834138285	0.5374339740355936	Contig:15:99.6469:186419	0	False	0
kpne-SAMN22024790	PBF_P4	Contig:13:64.8739:65592,Contig:43:596.288:1194,Contig:37:99.1138:3069,Contig:13:64.8739:5p:1:8:719,Contig:20:60.0937:57515	5	-0.1402055065084554	0.661184360277988	0.5374339740364222	PBF_P6	Contig:2:61.7191:14457	4	0.0	0.151991900172317	0.5571536536795776	0	0	0	0		1	False	0
kpne-SAMN22024790	PBF_P5	Contig:1:101.476:Circ:2928	4	0.0	0.09656307513930196	0.7465911119359304	PBF_P6	Contig:2:61.7191:14457	4	0.0	0.151991900172317	0.5571536536795776	0	0	0	0		1	False	0
