plasmid	contigs
GP_0	Contig:12:98.5836:1,Contig:17:87.8251:1,Contig:19:127.618:1,Contig:23:125.99:1,Contig:25:133.845:1,Contig:2:76.6775:1,Contig:30:134.992:1,Contig:34:648.521:1,Contig:38:102.957:1,Contig:40:80.5816:1,Contig:53:133.551:1,Contig:57:128.711:1,Contig:61:102.853:1,Contig:64:357.382:1,Contig:66:86.6136:1,Contig:6:408.746:1,Contig:71:538.387:1,Contig:7:422.617:1,Contig:8:344.529:1,Contig:9:90.7464:1,Contig:10:85.3206:3p:1:7:1,Contig:10:85.3206:3p:1:16:1,Contig:10:85.3206:3p:1:22:1,Contig:10:85.3206:5p:1:8:1,Contig:17:87.8251:5p:1:8:1,Contig:17:87.8251:5p:1:12:1,Contig:2:76.6775:5p:1:5:1,Contig:2:76.6775:5p:1:10:1,Contig:30:134.992:5p:1:7:1
GP_1	Contig:1:904.591:Circ:1
GP_2	Contig:3:1920.48:Circ:1
GP_3	Contig:4:1111.19:Circ:1
GP_unb_1	Contig:50:994.349:1
GP_unb_2	Contig:56:135.953:1
GP_unb_3	Contig:10:85.3206:3p:1:18:1
GP_unb_4	Contig:17:87.8251:5p:1:11:1
GP_unb_5	Contig:20:158.786:5p:1:7:1
GP_unb_6	Contig:50:994.349:3p:1:8:1
