plasmid	contigs
GP_0	Contig:100:39.8567:1,Contig:104:96.3892:1,Contig:105:36.4676:1,Contig:108:46.7269:1,Contig:117:86.7165:1,Contig:118:38.2411:1,Contig:20:47.2698:1,Contig:30:546.148:1,Contig:32:40.1888:1,Contig:35:31.229:1,Contig:36:50.1758:1,Contig:3:48.7868:1,Contig:40:88.0573:1,Contig:44:244.817:1,Contig:4:48.14:1,Contig:51:96.454:1,Contig:55:32.3007:1,Contig:5:40.1904:1,Contig:62:62.9078:1,Contig:64:76.3876:1,Contig:74:45.1319:1,Contig:75:104.264:1,Contig:79:87.7549:1,Contig:7:36.2005:1,Contig:82:51.7545:1,Contig:83:65.577:1,Contig:84:34.8911:1,Contig:85:34.7451:1,Contig:92:49.9775:1,Contig:93:51.8489:1,Contig:97:90.0458:1,Contig:100:39.8567:3p:1:3:1,Contig:101:31.6512:3p:1:120:1,Contig:101:31.6512:3p:1:136:1,Contig:101:31.6512:3p:1:162:1,Contig:101:31.6512:3p:1:257:1,Contig:30:546.148:5p:1:26:1,Contig:77:34.2811:5p:1:2:1
GP_1	Contig:1:141.939:Circ:1
GP_2	Contig:2:40.7319:Circ:1
GP_Isolated_0	Contig:45:38.0709:1
GP_unb_1	Contig:46:22.2357:1
GP_unb_2	Contig:50:18.0791:1
GP_unb_3	Contig:90:47.6794:1
GP_unb_4	Contig:101:31.6512:3p:1:21:1
GP_unb_5	Contig:101:31.6512:3p:1:23:1
GP_unb_6	Contig:101:31.6512:3p:1:24:1
GP_unb_7	Contig:101:31.6512:3p:1:47:1
GP_unb_8	Contig:101:31.6512:3p:1:49:1
GP_unb_9	Contig:101:31.6512:3p:1:50:1
GP_unb_10	Contig:101:31.6512:3p:1:74:1
GP_unb_11	Contig:101:31.6512:3p:1:76:1
GP_unb_12	Contig:101:31.6512:3p:1:77:1
GP_unb_13	Contig:101:31.6512:3p:1:100:1
GP_unb_14	Contig:101:31.6512:3p:1:102:1
GP_unb_15	Contig:101:31.6512:3p:1:103:1
GP_unb_16	Contig:101:31.6512:3p:1:131:1
GP_unb_17	Contig:101:31.6512:3p:1:133:1
GP_unb_18	Contig:101:31.6512:3p:1:134:1
GP_unb_19	Contig:101:31.6512:3p:1:157:1
GP_unb_20	Contig:101:31.6512:3p:1:159:1
GP_unb_21	Contig:101:31.6512:3p:1:160:1
GP_unb_22	Contig:101:31.6512:3p:1:183:1
GP_unb_23	Contig:101:31.6512:3p:1:185:1
GP_unb_24	Contig:101:31.6512:3p:1:186:1
GP_unb_25	Contig:101:31.6512:3p:1:209:1
GP_unb_26	Contig:101:31.6512:3p:1:211:1
GP_unb_27	Contig:101:31.6512:3p:1:212:1
GP_unb_28	Contig:101:31.6512:3p:1:235:1
GP_unb_29	Contig:101:31.6512:3p:1:237:1
GP_unb_30	Contig:101:31.6512:3p:1:238:1
GP_unb_31	Contig:101:31.6512:3p:1:278:1
GP_unb_32	Contig:101:31.6512:3p:1:280:1
GP_unb_33	Contig:101:31.6512:3p:1:281:1
GP_unb_34	Contig:110:42.8642:5p:1:8:1
GP_unb_35	Contig:110:42.8642:5p:1:11:1
GP_unb_36	Contig:110:42.8642:5p:1:12:1
GP_unb_37	Contig:111:44.0553:5p:1:5:1
GP_unb_38	Contig:113:107.741:3p:1:8:1
GP_unb_39	Contig:51:96.454:3p:1:5:1
GP_unb_40	Contig:51:96.454:3p:1:8:1
GP_unb_41	Contig:96:205.841:3p:1:3:1
GP_unb_42	Contig:96:205.841:3p:1:4:1
