plasmid	contigs
GP_0	15:1,17:1,19:1,20:1,22:1,29:1,31:1,33:1,35:1,36:1,37:1,38:1,41:1,42:1,43:1,44:1,47:1,50:1,54:1,55:1,56:1,57:1,58:1,59:1,63:1,71:1,72:1,77:1,86:1,101:1,102:1,110:1
GP_1	39:1
GP_2	51:1,61:1,62:1,69:1,70:1,98:1,99:1,109:1,112:1,113:1
GP_3	64:1,114:1
GP_unb_1	66:1
GP_unb_2	68:1
GP_unb_3	74:1
GP_unb_4	75:1
GP_unb_5	76:1
GP_unb_6	78:1
GP_unb_7	80:1
GP_unb_8	81:1
GP_unb_9	82:1
GP_unb_10	83:1
GP_unb_11	84:1
GP_unb_12	85:1
GP_unb_13	87:1
GP_unb_14	91:1
GP_unb_15	93:1
GP_unb_16	94:1
GP_unb_17	95:1
GP_unb_18	111:1
