plasmid	contigs
PBF_P1	59:1,121:1
PBF_P2	70:1
PBF_P3	65:1
PBF_P4	100:1,110:1,67:1,50:1,60:1,78:1,107:1,43:1,61:1,68:1,72:1,92:1,90:1,101:1,80:1,74:1,116:1,112:1,63:1,73:1,83:1,75:1,105:1,47:1
PBF_P5	100:1,110:1,115:1,50:1,47:1,60:1,78:1,107:1,43:1,61:1,68:1,90:1,58:1,80:1,74:1,112:1,63:1,73:1,83:1,75:1,105:1,84:1
PBF_P6	50:1,47:1,60:1,78:1,107:1,61:1,43:1,68:1,90:1,80:1,116:1,112:1,63:1,73:1,75:1,105:1,84:1
PBF_P7	90:1,63:1,78:1,68:1,69:1,83:1,47:1,116:1,75:1,60:1,121:1,105:1,104:1,112:1,43:1
PBF_P8	61:1
PBF_P9	47:1
PBF_P10	63:1
PBF_P11	58:1
