SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_1	38:41655,43:33709,73:6242,88:1303,90:1057	4	-0.14941911273103647	0.39024784852163596	0.9812460219492154	5	-0.3712850104806552	1.8891455030801145	0.9812460219491186	21:95563,37:41915,103:326,107:295	0	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_2	75:5949,115:192	4	-0.007848737153108382	0.453047371171456	10.42670055489297	5	-0.2759454197355654	2.9313811268083514	1.3481895462882676		0	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_3	79:3623,80:3445,82:2452,102:335,120:152,128:114	4	-0.1280560194116774	0.8058463848451379	12.631516433071093	0	0	0	0		1	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_4	94:570	5	0.0	0.0	28.206802013094723	0	0	0	0		1	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_1	97:460	5	0.0	0.0	0.7126609851198178	0	0	0	0		1	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_2	99:387	5	0.0	0.0	32.017733986495465	0	0	0	0		1	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_3	105:304	4	0.0	0.0	9.049729905476418	5	-0.46481649429079197	-0.35448853329846597	0.9224949634353834	12:147478,21:95563,37:41915,45:31654,63:10590,83:1915,88:1303,90:1057,98:387,103:326,107:295	0	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_4	106:296	4	0.0	0.0	4.1882954381539435	5	-0.3035438561856697	0.6007057027338256	1.0023423218935932	19:99275,37:41915,85:1335,87:1311,103:326,107:295,116:191,126:130	0	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_5	108:278	4	0.0	0.0	2.393897779780191	5	-0.2614874436133797	1.5181707987701856	1.0023423218935932	37:41915,54:26037,103:326,107:295,117:182	0	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_6	109:278	5	0.0	0.0	14.891578975192287	0	0	0	0		1	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_7	110:277	5	0.0	0.0	0.7876418195855638	0	0	0	0		1	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_8	111:273	5	0.0	0.0	11.49954259295483	5	-0.21655316826006818	1.9935741768499073	1.0023423218935932	37:41915,103:326,107:295	0	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_9	112:268	5	0.0	0.0	0.8824081083970543	0	0	0	0		1	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_10	119:155	4	0.0	0.0	2.3649301900221364	5	-0.1883145732824877	2.4783337556368954	1.3481895462882676		0	False	0
kpne-SAMN37529176	GP_0	28:68395,65:8844,67:8154,68:7958,71:7134,74:6136,91:820,93:592,96:474	5	-0.10408740668520061	2.4783337556368954	1.3481895462878366	GP_unb_11	121:151	4	0.0	0.0	1.3756030808013604	5	-0.273687649784927	1.4971759779572988	1.0023423218935932	19:99275,37:41915,103:326,107:295,126:130	0	False	0
