plasmid	contigs	copy_number
PBF_P1,PBF_P2,PBF_P6	Contig:11:85.0658:3p:1:97:1,Contig:11:85.0658:3p:1:34:1,Contig:40:92.5534:1,Contig:29:68.6443:1,Contig:88:113.738:1,Contig:11:85.0658:3p:1:29:1,Contig:36:145.052:1,Contig:11:85.0658:3p:1:102:1,Contig:11:85.0658:3p:1:26:1,Contig:11:85.0658:3p:1:33:1,Contig:18:222.553:1,Contig:10:97.4402:1,Contig:11:85.0658:3p:1:36:1,Contig:11:85.0658:3p:1:50:1,Contig:11:85.0658:3p:1:104:1,Contig:11:85.0658:3p:1:77:1,Contig:11:85.0658:1,Contig:11:85.0658:3p:1:89:1,Contig:41:140.379:1,Contig:70:124.245:1,Contig:11:85.0658:3p:1:12:1,Contig:11:85.0658:3p:1:14:1,Contig:11:85.0658:3p:1:94:1,Contig:11:85.0658:3p:1:91:1	0.0
PBF_P3	Contig:1:560.345:Circ:1	5.404431712992297
PBF_P4	Contig:8:581.265:1	4.548677079245185
PBF_P5	Contig:4:509.18:Circ:1	4.190841633842327
PBF_P7	Contig:2:387.968:Circ:1	2.8711813481658335
PBF_P8	Contig:5:398.428:Circ:1	2.393963590702637
PBF_P9	Contig:11:85.0658:3p:1:12:1,Contig:11:85.0658:3p:1:77:1,Contig:11:85.0658:3p:1:26:1,Contig:31:72.7243:1	0.7345372146407939
PBF_P10	Contig:11:85.0658:3p:1:12:1,Contig:83:105.836:1,Contig:11:85.0658:3p:1:26:1	1.0482038951589583
PBF_P11	Contig:79:90.0148:1	1.0806085249217334
PBF_P12	Contig:26:74.5815:1	0.7193463190191592
