SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN15743069	MOB_novel_17f928041b146714af3c5cbb239b5b2f	Contig:100:14.853:2963,Contig:142:18.104:1464,Contig:153:38.9755:18317,Contig:163:69.7759:1453,Contig:177:44.9174:5p:1:6:1175,Contig:197:20.8687:2437,Contig:35:18.4877:8055,Contig:36:762.343:1159,Contig:73:152.801:1197,Contig:91:42.056:1847	4	-0.23407678155346692	3.09832523380466	0.3611469576485935	MOB_novel_4355b0c330475e0d709446bb644b0fc8	Contig:112:20.2421:4051,Contig:147:24.5155:3126,Contig:209:15.2178:2490,Contig:41:19.8314:5068	4	-0.0282011755880634	1.4373494484793619	0.37295969040372395	4	-0.4361211683062637	8.993022299383808	0.36114695764990756	Contig:117:158.113:477,Contig:155:34.7009:821,Contig:194:1535.81:595,Contig:43:24.2877:679,Contig:62:32.3113:2564,Contig:111:11.6307:5p:1:3:297,Contig:111:11.6307:5p:1:61:163,Contig:111:11.6307:5p:1:64:102,Contig:111:11.6307:5p:1:65:163,Contig:112:20.2421:3p:1:5:240,Contig:112:20.2421:3p:1:6:212,Contig:112:20.2421:3p:1:7:239,Contig:112:20.2421:3p:1:8:239,Contig:112:20.2421:3p:1:19:132,Contig:112:20.2421:3p:1:26:194,Contig:112:20.2421:3p:1:28:732	0	False	0
ecol-SAMN15743069	MOB_novel_17f928041b146714af3c5cbb239b5b2f	Contig:100:14.853:2963,Contig:142:18.104:1464,Contig:153:38.9755:18317,Contig:163:69.7759:1453,Contig:177:44.9174:5p:1:6:1175,Contig:197:20.8687:2437,Contig:35:18.4877:8055,Contig:36:762.343:1159,Contig:73:152.801:1197,Contig:91:42.056:1847	4	-0.23407678155346692	3.09832523380466	0.3611469576485935	MOB_AB233	Contig:145:14.6665:3914,Contig:182:16.7203:5633,Contig:206:16.2442:5229,Contig:223:17.4099:3893,Contig:229:17.7798:1414	4	0.0	1.222632558977677	0.3954211726707884	4	-0.5361644299977437	6.9145952526358805	0.27171880742207577	Contig:117:158.113:477,Contig:148:34.8102:647,Contig:155:34.7009:821,Contig:194:1535.81:595,Contig:219:126.71:643,Contig:112:20.2421:3p:1:5:240,Contig:112:20.2421:3p:1:6:212,Contig:112:20.2421:3p:1:7:239,Contig:112:20.2421:3p:1:8:239,Contig:112:20.2421:3p:1:19:132,Contig:112:20.2421:3p:1:26:194,Contig:112:20.2421:3p:1:28:732,Contig:142:18.104:5p:1:5:540	0	False	0
ecol-SAMN15743069	MOB_novel_17f928041b146714af3c5cbb239b5b2f	Contig:100:14.853:2963,Contig:142:18.104:1464,Contig:153:38.9755:18317,Contig:163:69.7759:1453,Contig:177:44.9174:5p:1:6:1175,Contig:197:20.8687:2437,Contig:35:18.4877:8055,Contig:36:762.343:1159,Contig:73:152.801:1197,Contig:91:42.056:1847	4	-0.23407678155346692	3.09832523380466	0.3611469576485935	MOB_AA747	Contig:168:42.557:19724,Contig:181:36.1011:1088,Contig:202:37.2839:4254,Contig:59:37.9895:14190,Contig:82:43.1739:71642	4	0.0	1.2679722818783454	0.7894857035369323	4	-0.3922790645818939	7.359758744660682	0.27171880742207577	Contig:117:158.113:477,Contig:219:126.71:643,Contig:21:29.6619:24828,Contig:112:20.2421:3p:1:5:240,Contig:112:20.2421:3p:1:6:212,Contig:112:20.2421:3p:1:7:239,Contig:112:20.2421:3p:1:8:239,Contig:112:20.2421:3p:1:19:132,Contig:112:20.2421:3p:1:26:194,Contig:112:20.2421:3p:1:28:732,Contig:142:18.104:5p:1:5:540,Contig:177:44.9174:5p:1:11:141	0	False	0
ecol-SAMN15743069	MOB_novel_17f928041b146714af3c5cbb239b5b2f	Contig:100:14.853:2963,Contig:142:18.104:1464,Contig:153:38.9755:18317,Contig:163:69.7759:1453,Contig:177:44.9174:5p:1:6:1175,Contig:197:20.8687:2437,Contig:35:18.4877:8055,Contig:36:762.343:1159,Contig:73:152.801:1197,Contig:91:42.056:1847	4	-0.23407678155346692	3.09832523380466	0.3611469576485935	MOB_AA979	Contig:26:414.062:6068,Contig:27:382.322:5455	4	0.0	0.9126064679768455	7.948110137456579	0	0	0	0		1	False	0
ecol-SAMN15743069	MOB_novel_4355b0c330475e0d709446bb644b0fc8	Contig:112:20.2421:4051,Contig:147:24.5155:3126,Contig:209:15.2178:2490,Contig:41:19.8314:5068	4	-0.0282011755880634	1.4373494484793619	0.37295969040372395	MOB_AB233	Contig:145:14.6665:3914,Contig:182:16.7203:5633,Contig:206:16.2442:5229,Contig:223:17.4099:3893,Contig:229:17.7798:1414	4	0.0	1.222632558977677	0.3954211726707884	4	-0.46963808652522887	8.257743421198963	0.3729596904031496	Contig:113:44.1038:11909,Contig:117:158.113:477,Contig:176:25.2299:1388,Contig:194:1535.81:595,Contig:30:90.6337:679,Contig:36:762.343:1159,Contig:58:42.1226:67023,Contig:62:32.3113:2564,Contig:73:152.801:1197,Contig:111:11.6307:5p:1:3:297,Contig:111:11.6307:5p:1:61:163,Contig:111:11.6307:5p:1:64:102,Contig:111:11.6307:5p:1:65:163,Contig:112:20.2421:3p:1:5:240,Contig:112:20.2421:3p:1:6:212,Contig:112:20.2421:3p:1:7:239,Contig:112:20.2421:3p:1:8:239,Contig:112:20.2421:3p:1:18:276,Contig:112:20.2421:3p:1:19:132,Contig:112:20.2421:3p:1:26:194,Contig:112:20.2421:3p:1:28:732,Contig:176:25.2299:3p:1:2:141,Contig:176:25.2299:3p:1:6:439	0	False	0
ecol-SAMN15743069	MOB_novel_4355b0c330475e0d709446bb644b0fc8	Contig:112:20.2421:4051,Contig:147:24.5155:3126,Contig:209:15.2178:2490,Contig:41:19.8314:5068	4	-0.0282011755880634	1.4373494484793619	0.37295969040372395	MOB_AA747	Contig:168:42.557:19724,Contig:181:36.1011:1088,Contig:202:37.2839:4254,Contig:59:37.9895:14190,Contig:82:43.1739:71642	4	0.0	1.2679722818783454	0.7894857035369323	4	-0.3226635310267249	8.004999120208801	0.15837791958438174	Contig:117:158.113:477,Contig:153:38.9755:18317,Contig:194:1535.81:595,Contig:20:31.2359:1514,Contig:35:18.4877:8055,Contig:36:762.343:1159,Contig:58:42.1226:67023,Contig:62:32.3113:2564,Contig:64:41.2587:14509,Contig:73:152.801:1197,Contig:111:11.6307:5p:1:3:297,Contig:111:11.6307:5p:1:61:163,Contig:111:11.6307:5p:1:64:102,Contig:111:11.6307:5p:1:65:163,Contig:112:20.2421:3p:1:5:240,Contig:112:20.2421:3p:1:6:212,Contig:112:20.2421:3p:1:7:239,Contig:112:20.2421:3p:1:8:239,Contig:112:20.2421:3p:1:19:132,Contig:112:20.2421:3p:1:26:194,Contig:112:20.2421:3p:1:28:732	0	False	0
ecol-SAMN15743069	MOB_novel_4355b0c330475e0d709446bb644b0fc8	Contig:112:20.2421:4051,Contig:147:24.5155:3126,Contig:209:15.2178:2490,Contig:41:19.8314:5068	4	-0.0282011755880634	1.4373494484793619	0.37295969040372395	MOB_AA979	Contig:26:414.062:6068,Contig:27:382.322:5455	4	0.0	0.9126064679768455	7.948110137456579	0	0	0	0		1	False	0
ecol-SAMN15743069	MOB_AB233	Contig:145:14.6665:3914,Contig:182:16.7203:5633,Contig:206:16.2442:5229,Contig:223:17.4099:3893,Contig:229:17.7798:1414	4	0.0	1.222632558977677	0.3954211726707884	MOB_AA747	Contig:168:42.557:19724,Contig:181:36.1011:1088,Contig:202:37.2839:4254,Contig:59:37.9895:14190,Contig:82:43.1739:71642	4	0.0	1.2679722818783454	0.7894857035369323	4	-0.422334612177393	8.07000225009904	0.39542117267046706	Contig:113:44.1038:11909,Contig:117:158.113:477,Contig:176:25.2299:1388,Contig:194:1535.81:595,Contig:21:29.6619:24828,Contig:30:90.6337:679,Contig:36:762.343:1159,Contig:58:42.1226:67023,Contig:62:32.3113:2564,Contig:73:152.801:1197,Contig:111:11.6307:5p:1:3:297,Contig:111:11.6307:5p:1:61:163,Contig:111:11.6307:5p:1:64:102,Contig:111:11.6307:5p:1:65:163,Contig:112:20.2421:3p:1:5:240,Contig:112:20.2421:3p:1:6:212,Contig:112:20.2421:3p:1:8:239,Contig:112:20.2421:3p:1:18:276,Contig:112:20.2421:3p:1:26:194,Contig:176:25.2299:3p:1:2:141,Contig:176:25.2299:3p:1:6:439,Contig:177:44.9174:5p:1:6:1175,Contig:177:44.9174:5p:1:11:141	0	False	0
ecol-SAMN15743069	MOB_AB233	Contig:145:14.6665:3914,Contig:182:16.7203:5633,Contig:206:16.2442:5229,Contig:223:17.4099:3893,Contig:229:17.7798:1414	4	0.0	1.222632558977677	0.3954211726707884	MOB_AA979	Contig:26:414.062:6068,Contig:27:382.322:5455	4	0.0	0.9126064679768455	7.948110137456579	0	0	0	0		1	False	0
ecol-SAMN15743069	MOB_AA747	Contig:168:42.557:19724,Contig:181:36.1011:1088,Contig:202:37.2839:4254,Contig:59:37.9895:14190,Contig:82:43.1739:71642	4	0.0	1.2679722818783454	0.7894857035369323	MOB_AA979	Contig:26:414.062:6068,Contig:27:382.322:5455	4	0.0	0.9126064679768455	7.948110137456579	0	0	0	0		1	False	0
