SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMEA3357016	GP_0	15:64863,16:53000,19:17724,38:562,48:360,87:128	4	-0.07675449287416952	2.26518118	1.0246393678204546	GP_1	22:4269	4	0.0	0.49997234	9.760759951928712	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_0	15:64863,16:53000,19:17724,38:562,48:360,87:128	4	-0.07675449287416952	2.26518118	1.0246393678204546	GP_unb_1	43:486	4	0.0	0.4674891	8.460473306857878	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_0	15:64863,16:53000,19:17724,38:562,48:360,87:128	4	-0.07675449287416952	2.26518118	1.0246393678204546	GP_unb_2	45:477	4	0.0	0.26538910000000004	8.48941285634658	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_0	15:64863,16:53000,19:17724,38:562,48:360,87:128	4	-0.07675449287416952	2.26518118	1.0246393678204546	GP_unb_3	47:371	5	0.0	0.4774691	8.414472976127906	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_0	15:64863,16:53000,19:17724,38:562,48:360,87:128	4	-0.07675449287416952	2.26518118	1.0246393678204546	GP_unb_4	51:252	5	0.0	0.46825856	8.965201372458333	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_0	15:64863,16:53000,19:17724,38:562,48:360,87:128	4	-0.07675449287416952	2.26518118	1.0246393678204546	GP_unb_5	52:252	5	0.0	0.4189176	8.79443411349195	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_0	15:64863,16:53000,19:17724,38:562,48:360,87:128	4	-0.07675449287416952	2.26518118	1.0246393678204546	GP_unb_6	55:238	4	0.0	0.4225512	8.589385845489364	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_0	15:64863,16:53000,19:17724,38:562,48:360,87:128	4	-0.07675449287416952	2.26518118	1.0246393678204546	GP_unb_7	82:143	5	0.0	0.45084875999999996	1.8875203298609766	4	-0.32717684711299294	2.71602994	1.0246393678207824		0	False	0
kpne-SAMEA3357016	GP_1	22:4269	4	0.0	0.49997234	9.760759951928712	GP_unb_1	43:486	4	0.0	0.4674891	8.460473306857878	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_1	22:4269	4	0.0	0.49997234	9.760759951928712	GP_unb_2	45:477	4	0.0	0.26538910000000004	8.48941285634658	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_1	22:4269	4	0.0	0.49997234	9.760759951928712	GP_unb_3	47:371	5	0.0	0.4774691	8.414472976127906	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_1	22:4269	4	0.0	0.49997234	9.760759951928712	GP_unb_4	51:252	5	0.0	0.46825856	8.965201372458333	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_1	22:4269	4	0.0	0.49997234	9.760759951928712	GP_unb_5	52:252	5	0.0	0.4189176	8.79443411349195	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_1	22:4269	4	0.0	0.49997234	9.760759951928712	GP_unb_6	55:238	4	0.0	0.4225512	8.589385845489364	0	0	0	0		1	False	0
kpne-SAMEA3357016	GP_1	22:4269	4	0.0	0.49997234	9.760759951928712	GP_unb_7	82:143	5	0.0	0.45084875999999996	1.8875203298609766	0	0	0	0		1	False	0
