plasmid	contigs
GP_1	Contig:101:64.2147:1,Contig:103:50.7635:1,Contig:10:63.2991:1,Contig:111:61.6667:1,Contig:113:620.386:1,Contig:115:575.957:1,Contig:116:499.197:1,Contig:117:128.673:1,Contig:118:608.972:1,Contig:124:63.0043:1,Contig:129:81.2234:1,Contig:134:57.7053:1,Contig:138:60.3621:1,Contig:141:140.856:1,Contig:143:160.64:1,Contig:147:601.633:1,Contig:151:113.876:1,Contig:160:61.0248:1,Contig:166:111.358:1,Contig:171:58.6073:1,Contig:175:94.3336:1,Contig:181:136.963:1,Contig:184:115.611:1,Contig:194:55.1417:1,Contig:200:57.5487:1,Contig:20:181.985:1,Contig:30:60.1375:1,Contig:35:353.4:1,Contig:43:135.205:1,Contig:45:57.9753:1,Contig:65:78.6092:1,Contig:69:53.6177:1,Contig:74:59.184:1,Contig:76:114.571:1,Contig:78:57.6151:1,Contig:7:232.174:1,Contig:82:68.1296:1,Contig:83:53.6664:1,Contig:84:57.5701:1,Contig:85:113.625:1,Contig:87:1393.48:1,Contig:93:62.5936:1,Contig:94:108.397:1,Contig:95:59.8876:1,Contig:98:50.1726:1,Contig:9:111.359:1,Contig:103:50.7635:3p:1:2:1,Contig:103:50.7635:3p:1:13:1,Contig:107:58.0194:3p:1:196:1,Contig:107:58.0194:3p:1:225:1,Contig:110:500.714:3p:1:11:1,Contig:110:500.714:3p:1:12:1,Contig:110:500.714:3p:1:27:1,Contig:110:500.714:3p:1:42:1,Contig:110:500.714:3p:1:68:1,Contig:129:81.2234:3p:1:7:1,Contig:156:132.312:3p:1:9:1,Contig:166:111.358:5p:1:4:1,Contig:175:94.3336:3p:1:3:1,Contig:205:56.9615:5p:1:11:1,Contig:70:105.808:3p:1:3:1,Contig:95:59.8876:3p:1:6:1
GP_0	Contig:102:162.212:1,Contig:104:91.6373:1,Contig:11:508.852:1,Contig:127:120.818:1,Contig:155:69.1415:1,Contig:167:498.976:1,Contig:178:103.923:1,Contig:35:353.4:1,Contig:52:203.904:1,Contig:54:55.5943:1,Contig:55:160.237:1,Contig:60:272.015:1,Contig:77:59.7241:1,Contig:96:118.393:1,Contig:107:58.0194:3p:1:60:1,Contig:107:58.0194:3p:1:64:1,Contig:107:58.0194:3p:1:67:1,Contig:110:500.714:3p:1:72:1,Contig:55:160.237:3p:1:5:1
GP_2	Contig:106:240.388:1,Contig:110:500.714:1,Contig:113:620.386:1,Contig:115:575.957:1,Contig:11:508.852:1,Contig:148:366.003:1,Contig:165:401.315:1,Contig:27:581.781:1,Contig:41:385.057:1,Contig:48:391.066:1,Contig:53:353.154:1,Contig:62:446.46:1,Contig:87:1393.48:1,Contig:107:58.0194:3p:1:27:1,Contig:107:58.0194:3p:1:47:1,Contig:107:58.0194:3p:1:71:1,Contig:107:58.0194:3p:1:207:1,Contig:107:58.0194:3p:1:211:1,Contig:107:58.0194:3p:1:214:1,Contig:107:58.0194:3p:1:227:1,Contig:107:58.0194:3p:1:229:1,Contig:110:500.714:3p:1:11:1,Contig:110:500.714:3p:1:68:1,Contig:49:60.6026:5p:1:6:1,Contig:53:353.154:5p:1:3:1,Contig:53:353.154:5p:1:4:1
GP_Isolated_0	Contig:197:79.7816:1
GP_3	Contig:1:2926.16:Circ:1
GP_4	Contig:2:1945.63:Circ:1
GP_unb_1	Contig:51:70.1426:1
GP_unb_2	Contig:107:58.0194:3p:1:38:1
GP_unb_3	Contig:107:58.0194:3p:1:152:1
GP_unb_4	Contig:107:58.0194:3p:1:155:1
GP_unb_5	Contig:107:58.0194:3p:1:156:1
GP_unb_6	Contig:107:58.0194:3p:1:216:1
GP_unb_7	Contig:114:132.677:3p:1:12:1
GP_unb_8	Contig:117:128.673:5p:1:17:1
GP_unb_9	Contig:121:70.005:5p:1:9:1
GP_unb_10	Contig:131:85.0745:5p:1:6:1
GP_unb_11	Contig:156:132.312:3p:1:10:1
GP_unb_12	Contig:167:498.976:5p:1:2:1
GP_unb_13	Contig:167:498.976:5p:1:4:1
GP_unb_14	Contig:182:75.5426:3p:1:2:1
GP_unb_15	Contig:193:237.635:5p:1:2:1
GP_unb_16	Contig:193:237.635:5p:1:4:1
GP_unb_17	Contig:205:56.9615:5p:1:10:1
GP_unb_18	Contig:34:66.0657:5p:1:10:1
GP_unb_19	Contig:55:160.237:3p:1:3:1
GP_unb_20	Contig:8:82.4569:3p:1:3:1
GP_unb_21	Contig:8:82.4569:3p:1:4:1
