SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_1	44:4938	4	0.0	0.014191263740924054	5.539288236591847	0	0	0	0		1	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_2	47:3674	4	0.0	0.35607532452188595	1.875753806256035	0	0	0	0		1	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_3	48:3258	4	0.0	0.33709938195643896	4.082949106144261	0	0	0	0		1	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_4	50:2892	3	0.0	0.11418503598576102	2.0018944027226255	0	0	0	0		1	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_unb_1	60:935	5	0.0	0.0	1.546812220094296	4	-1.393762775074792	2.2207106153138048	0.326820250154924	11:196634,15:99189,55:1298,65:565,68:407,84:147,87:130	0	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_unb_2	72:269	5	0.0	0.0	2.609534321728332	4	-1.3099342198410011	3.246232519308151	0.326820250154924	27:30817,70:377	0	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_unb_3	73:239	5	0.0	0.0	1.7353144986917342	5	-1.4598410377627797	2.591137364493415	0.326820250154924	5:304234,11:196634,63:638,87:130	0	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_unb_4	74:236	5	0.0	0.0	1.0827600533228845	4	-0.9095584712238237	3.58975014955283	0.326820250154924		0	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_unb_5	78:212	5	0.0	0.0	3.1479883926069383	5	-1.524153830809832	2.6206421620459857	0.326820250154924	32:21451,33:21442,66:553,67:474	0	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_unb_6	79:210	4	0.0	0.0	3.4095120546284425	4	-0.7843191944232575	3.58975014955283	0.326820250154924		0	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_unb_7	80:202	4	0.0	0.0	0.8534168044667056	4	-1.2552668249692474	2.2207106153138048	0.326820250154924	11:196634,15:99189,55:1298,68:407,87:130	0	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_unb_8	82:152	5	0.0	0.0	2.6084326254196295	0	0	0	0		1	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_unb_9	86:136	5	0.0	0.0	0.8977362788112591	4	-0.8738163902328105	3.58975014955283	0.326820250154924		0	False	0
kpne-SAMEA3357260	GP_0	26:32686,30:24244,34:20518,37:15589,38:14677,39:13107,40:11313,42:5838,51:1758,52:1661,53:1660,56:1227,57:1096,59:941,61:817,64:633,71:344,75:224,76:214,77:213,83:152,85:142,89:125,90:124,92:119,93:116,94:113	4	-0.7843191944232575	3.58975014955283	0.3268202501551034	GP_unb_10	88:125	4	0.0	0.0	0.7909601445955413	4	-1.09715009948618	3.0904460512464067	0.326820250154924	11:196634,87:130	0	False	0
