SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMEA8550523	PBF_P1	67:1178,90:285,26:49816,57:1495,66:1199,101:178,64:1292,60:1343,98:196,69:1073,34:24501,89:290,109:140,22:84498,71:826,47:3622,65:1221,31:33724,48:3516,76:563,46:3875,85:324,38:20945,39:19868,52:1892,87:304,42:9028,55:1557,73:759,29:35636,83:365,56:1502,62:1334	5	-1.2650470103448097	12.35384639733716	0.6119396987980592	PBF_P2	67:1178,90:285,79:455,53:1890,57:1495,66:1199,101:178,60:1343,69:1073,34:24501,45:4216,89:290,71:826,22:84498,47:3622,65:1221,31:33724,48:3516,76:563,86:304,91:248,85:324,39:19868,52:1892,93:232,18:107879,42:9028,55:1557,73:759,56:1502,41:13425	5	-1.1097188482584683	9.718922578620344	0.6807336311989697	5	-2.3747658586032783	22.0727689759575	0.6119396987978689		0	True	0
kpne-SAMEA8550523	PBF_P1	67:1178,90:285,26:49816,57:1495,66:1199,101:178,64:1292,60:1343,98:196,69:1073,34:24501,89:290,109:140,22:84498,71:826,47:3622,65:1221,31:33724,48:3516,76:563,46:3875,85:324,38:20945,39:19868,52:1892,87:304,42:9028,55:1557,73:759,29:35636,83:365,56:1502,62:1334	5	-1.2650470103448097	12.35384639733716	0.6119396987980592	PBF_P3	67:1178,90:285,112:131,66:1199,72:768,101:178,60:1343,50:2365,40:16474,24:55386,69:1073,22:84498,71:826,111:133,107:152,65:1221,47:3622,31:33724,4:343898,76:563,48:3516,85:324,52:1892,18:107879,73:759,56:1502,41:13425,62:1334	5	-0.8516397198303802	6.838187623962422	0.7071295463726756	5	-2.11668673017519	19.19203402129958	0.6119396987978689		0	True	0
kpne-SAMEA8550523	PBF_P1	67:1178,90:285,26:49816,57:1495,66:1199,101:178,64:1292,60:1343,98:196,69:1073,34:24501,89:290,109:140,22:84498,71:826,47:3622,65:1221,31:33724,48:3516,76:563,46:3875,85:324,38:20945,39:19868,52:1892,87:304,42:9028,55:1557,73:759,29:35636,83:365,56:1502,62:1334	5	-1.2650470103448097	12.35384639733716	0.6119396987980592	PBF_P4	49:3056	4	0.0	0.44797291842687936	5.1954402700131626	0	0	0	0		1	False	0
kpne-SAMEA8550523	PBF_P1	67:1178,90:285,26:49816,57:1495,66:1199,101:178,64:1292,60:1343,98:196,69:1073,34:24501,89:290,109:140,22:84498,71:826,47:3622,65:1221,31:33724,48:3516,76:563,46:3875,85:324,38:20945,39:19868,52:1892,87:304,42:9028,55:1557,73:759,29:35636,83:365,56:1502,62:1334	5	-1.2650470103448097	12.35384639733716	0.6119396987980592	PBF_P5	91:248,52:1892,93:232,79:455,73:759,53:1890,66:1199,41:13425,45:4216,86:304	5	-0.14248247648602877	2.3484731380298687	0.7071295463726756	5	-1.4075294868308386	14.702319535367028	0.6119396987978689		0	True	0
kpne-SAMEA8550523	PBF_P1	67:1178,90:285,26:49816,57:1495,66:1199,101:178,64:1292,60:1343,98:196,69:1073,34:24501,89:290,109:140,22:84498,71:826,47:3622,65:1221,31:33724,48:3516,76:563,46:3875,85:324,38:20945,39:19868,52:1892,87:304,42:9028,55:1557,73:759,29:35636,83:365,56:1502,62:1334	5	-1.2650470103448097	12.35384639733716	0.6119396987980592	PBF_P6	91:248,93:232,79:455,53:1890,66:1199,41:13425,45:4216,86:304	5	-0.06263444041824837	1.4271407056413916	0.7071295463726756	5	-1.327681450763058	13.780987102978552	0.6119396987978689		0	True	0
kpne-SAMEA8550523	PBF_P2	67:1178,90:285,79:455,53:1890,57:1495,66:1199,101:178,60:1343,69:1073,34:24501,45:4216,89:290,71:826,22:84498,47:3622,65:1221,31:33724,48:3516,76:563,86:304,91:248,85:324,39:19868,52:1892,93:232,18:107879,42:9028,55:1557,73:759,56:1502,41:13425	5	-1.1097188482584683	9.718922578620344	0.6807336311989697	PBF_P3	67:1178,90:285,112:131,66:1199,72:768,101:178,60:1343,50:2365,40:16474,24:55386,69:1073,22:84498,71:826,111:133,107:152,65:1221,47:3622,31:33724,4:343898,76:563,48:3516,85:324,52:1892,18:107879,73:759,56:1502,41:13425,62:1334	5	-0.8516397198303802	6.838187623962422	0.7071295463726756	5	-2.0467849468130677	17.706772121109097	0.1673225866707071	26:49816,83:365,87:304	0	True	0
kpne-SAMEA8550523	PBF_P2	67:1178,90:285,79:455,53:1890,57:1495,66:1199,101:178,60:1343,69:1073,34:24501,45:4216,89:290,71:826,22:84498,47:3622,65:1221,31:33724,48:3516,76:563,86:304,91:248,85:324,39:19868,52:1892,93:232,18:107879,42:9028,55:1557,73:759,56:1502,41:13425	5	-1.1097188482584683	9.718922578620344	0.6807336311989697	PBF_P4	49:3056	4	0.0	0.44797291842687936	5.1954402700131626	0	0	0	0		1	False	0
kpne-SAMEA8550523	PBF_P2	67:1178,90:285,79:455,53:1890,57:1495,66:1199,101:178,60:1343,69:1073,34:24501,45:4216,89:290,71:826,22:84498,47:3622,65:1221,31:33724,48:3516,76:563,86:304,91:248,85:324,39:19868,52:1892,93:232,18:107879,42:9028,55:1557,73:759,56:1502,41:13425	5	0	0	0	PBF_P5	91:248,52:1892,93:232,79:455,73:759,53:1890,66:1199,41:13425,45:4216,86:304	5	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMEA8550523	PBF_P2	67:1178,90:285,79:455,53:1890,57:1495,66:1199,101:178,60:1343,69:1073,34:24501,45:4216,89:290,71:826,22:84498,47:3622,65:1221,31:33724,48:3516,76:563,86:304,91:248,85:324,39:19868,52:1892,93:232,18:107879,42:9028,55:1557,73:759,56:1502,41:13425	5	0	0	0	PBF_P6	91:248,93:232,79:455,53:1890,66:1199,41:13425,45:4216,86:304	5	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMEA8550523	PBF_P3	67:1178,90:285,112:131,66:1199,72:768,101:178,60:1343,50:2365,40:16474,24:55386,69:1073,22:84498,71:826,111:133,107:152,65:1221,47:3622,31:33724,4:343898,76:563,48:3516,85:324,52:1892,18:107879,73:759,56:1502,41:13425,62:1334	5	-0.8516397198303802	6.838187623962422	0.7071295463726756	PBF_P4	49:3056	4	0.0	0.44797291842687936	5.1954402700131626	0	0	0	0		1	False	0
