SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMN29499314	PBF_P1	Contig:12:44.6232:3p:1:6:518,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:8:636,Contig:2:108.778:445,Contig:12:44.6232:3p:1:15:518,Contig:19:47.1781:5p:1:6:102,Contig:12:44.6232:3p:1:13:251,Contig:13:52.6891:556,Contig:54:47.1757:22988,Contig:12:44.6232:4658,Contig:12:44.6232:3p:1:14:386,Contig:46:50.6651:8192,Contig:21:51.9071:13805	4	-0.29592492059935643	2.9075515700000003	0.7259950359718421	PBF_P2	Contig:7:39.5213:149395,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:15:518,Contig:2:108.778:445,Contig:19:47.1781:5p:1:6:102,Contig:54:47.1757:22988,Contig:12:44.6232:3p:1:10:251,Contig:12:44.6232:3p:1:16:385,Contig:21:51.9071:13805	5	-0.22036292812526856	1.8242572000000004	0.6740049235632417	4	-0.5430135606349892	4.783666370000001	0.6740049235631886	Contig:15:144.351:820	0	True	0
kpne-SAMN29499314	PBF_P1	Contig:12:44.6232:3p:1:6:518,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:8:636,Contig:2:108.778:445,Contig:12:44.6232:3p:1:15:518,Contig:19:47.1781:5p:1:6:102,Contig:12:44.6232:3p:1:13:251,Contig:13:52.6891:556,Contig:54:47.1757:22988,Contig:12:44.6232:4658,Contig:12:44.6232:3p:1:14:386,Contig:46:50.6651:8192,Contig:21:51.9071:13805	4	-0.29592492059935643	2.9075515700000003	0.7259950359718421	PBF_P3	Contig:44:44.6951:7377,Contig:7:39.5213:149395,Contig:19:47.1781:5p:1:6:102	4	0.0	1.0112895	0.6740049235632417	4	-0.29592492059935643	3.91884107	0.6740049235631886		0	True	0
kpne-SAMN29499314	PBF_P1	Contig:12:44.6232:3p:1:6:518,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:8:636,Contig:2:108.778:445,Contig:12:44.6232:3p:1:15:518,Contig:19:47.1781:5p:1:6:102,Contig:12:44.6232:3p:1:13:251,Contig:13:52.6891:556,Contig:54:47.1757:22988,Contig:12:44.6232:4658,Contig:12:44.6232:3p:1:14:386,Contig:46:50.6651:8192,Contig:21:51.9071:13805	4	-0.29592492059935643	2.9075515700000003	0.7259950359718421	PBF_P4	Contig:19:47.1781:5p:1:10:350,Contig:34:47.5528:58396	5	-0.020357242617932286	0.62999737	0.7967799148297743	0	0	0	0		1	False	0
kpne-SAMN29499314	PBF_P1	Contig:12:44.6232:3p:1:6:518,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:8:636,Contig:2:108.778:445,Contig:12:44.6232:3p:1:15:518,Contig:19:47.1781:5p:1:6:102,Contig:12:44.6232:3p:1:13:251,Contig:13:52.6891:556,Contig:54:47.1757:22988,Contig:12:44.6232:4658,Contig:12:44.6232:3p:1:14:386,Contig:46:50.6651:8192,Contig:21:51.9071:13805	4	-0.29592492059935643	2.9075515700000003	0.7259950359718421	PBF_P5	Contig:39:39.6904:41505	4	0.0	0.3668692	0.6905080832750896	0	0	0	0		1	False	0
kpne-SAMN29499314	PBF_P1	Contig:12:44.6232:3p:1:6:518,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:8:636,Contig:2:108.778:445,Contig:12:44.6232:3p:1:15:518,Contig:19:47.1781:5p:1:6:102,Contig:12:44.6232:3p:1:13:251,Contig:13:52.6891:556,Contig:54:47.1757:22988,Contig:12:44.6232:4658,Contig:12:44.6232:3p:1:14:386,Contig:46:50.6651:8192,Contig:21:51.9071:13805	4	-0.29592492059935643	2.9075515700000003	0.7259950359718421	PBF_P6	Contig:6:45.2643:13491	4	0.0	0.29823259999999996	0.710434317643339	4	-0.29592492059935643	3.2057841700000003	0.7104343176433758		0	False	0
kpne-SAMN29499314	PBF_P1	Contig:12:44.6232:3p:1:6:518,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:8:636,Contig:2:108.778:445,Contig:12:44.6232:3p:1:15:518,Contig:19:47.1781:5p:1:6:102,Contig:12:44.6232:3p:1:13:251,Contig:13:52.6891:556,Contig:54:47.1757:22988,Contig:12:44.6232:4658,Contig:12:44.6232:3p:1:14:386,Contig:46:50.6651:8192,Contig:21:51.9071:13805	4	-0.29592492059935643	2.9075515700000003	0.7259950359718421	PBF_P7	Contig:37:37.8467:11022	4	0.0	0.24962589999999996	0.6514891491125717	0	0	0	0		1	False	0
kpne-SAMN29499314	PBF_P2	Contig:7:39.5213:149395,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:15:518,Contig:2:108.778:445,Contig:19:47.1781:5p:1:6:102,Contig:54:47.1757:22988,Contig:12:44.6232:3p:1:10:251,Contig:12:44.6232:3p:1:16:385,Contig:21:51.9071:13805	5	-0.22036292812526856	1.8242572000000004	0.6740049235632417	PBF_P3	Contig:44:44.6951:7377,Contig:7:39.5213:149395,Contig:19:47.1781:5p:1:6:102	4	0.0	1.0112895	0.6740049235632417	4	-0.24708864003563277	2.8355467	0.6740049235686456		0	True	0
kpne-SAMN29499314	PBF_P2	Contig:7:39.5213:149395,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:15:518,Contig:2:108.778:445,Contig:19:47.1781:5p:1:6:102,Contig:54:47.1757:22988,Contig:12:44.6232:3p:1:10:251,Contig:12:44.6232:3p:1:16:385,Contig:21:51.9071:13805	5	-0.22036292812526856	1.8242572000000004	0.6740049235632417	PBF_P4	Contig:19:47.1781:5p:1:10:350,Contig:34:47.5528:58396	5	-0.020357242617932286	0.62999737	0.7967799148297743	0	0	0	0		1	False	0
kpne-SAMN29499314	PBF_P2	Contig:7:39.5213:149395,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:15:518,Contig:2:108.778:445,Contig:19:47.1781:5p:1:6:102,Contig:54:47.1757:22988,Contig:12:44.6232:3p:1:10:251,Contig:12:44.6232:3p:1:16:385,Contig:21:51.9071:13805	5	-0.22036292812526856	1.8242572000000004	0.6740049235632417	PBF_P5	Contig:39:39.6904:41505	4	0.0	0.3668692	0.6905080832750896	0	0	0	0		1	False	0
kpne-SAMN29499314	PBF_P2	Contig:7:39.5213:149395,Contig:63:45.2055:54313,Contig:12:44.6232:3p:1:15:518,Contig:2:108.778:445,Contig:19:47.1781:5p:1:6:102,Contig:54:47.1757:22988,Contig:12:44.6232:3p:1:10:251,Contig:12:44.6232:3p:1:16:385,Contig:21:51.9071:13805	5	-0.22036292812526856	1.8242572000000004	0.6740049235632417	PBF_P6	Contig:6:45.2643:13491	4	0.0	0.29823259999999996	0.710434317643339	4	-0.24708864003563277	2.1224898000000003	0.6740049235631886		0	False	0
