SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN15488609	PBF_P1	Contig:65:590.957:4157	4	0.0	0.399375477679102	3.6932627659762316	PBF_P2	Contig:81:446.478:17078,Contig:26:942.515:983	4	0.0	0.19000912776868595	3.483869588225059	4	-0.038483425143334804	-0.17969678561107538	2.73618676298247	Contig:72:471.484:7085,Contig:87:400.54:2595,Contig:20:447.252:3p:1:11:353,Contig:87:400.54:3p:1:2:200,Contig:87:400.54:3p:1:3:171	0	False	0
ecol-SAMN15488609	PBF_P1	Contig:65:590.957:4157	4	0.0	0.399375477679102	3.6932627659762316	PBF_P3	Contig:20:447.252:11403	4	0.0	0.17779615025114803	3.3176380719000806	4	-0.053836537223128256	0.205864238827431	3.317638071899637	Contig:20:447.252:3p:1:3:1011	0	False	0
ecol-SAMN15488609	PBF_P1	Contig:65:590.957:4157	4	0.0	0.399375477679102	3.6932627659762316	PBF_P4	Contig:97:373.906:82834	4	0.0	0.35797761361891	2.8653579548860164	0	0	0	0		1	False	0
ecol-SAMN15488609	PBF_P1	Contig:65:590.957:4157	4	0.0	0.399375477679102	3.6932627659762316	PBF_P5	Contig:10:92.8997:9718	4	0.0	0.10815733698735297	0.7339232147603121	0	0	0	0		1	False	0
ecol-SAMN15488609	PBF_P2	Contig:81:446.478:17078,Contig:26:942.515:983	4	0.0	0.19000912776868595	3.483869588225059	PBF_P3	Contig:20:447.252:11403	4	0.0	0.17779615025114803	3.3176380719000806	4	0.0	0.367805278019834	3.317638071899637		0	False	0
ecol-SAMN15488609	PBF_P2	Contig:81:446.478:17078,Contig:26:942.515:983	4	0.0	0.19000912776868595	3.483869588225059	PBF_P4	Contig:97:373.906:82834	4	0.0	0.35797761361891	2.8653579548860164	0	0	0	0		1	False	0
ecol-SAMN15488609	PBF_P2	Contig:81:446.478:17078,Contig:26:942.515:983	4	0.0	0.19000912776868595	3.483869588225059	PBF_P5	Contig:10:92.8997:9718	4	0.0	0.10815733698735297	0.7339232147603121	0	0	0	0		1	False	0
ecol-SAMN15488609	PBF_P3	Contig:20:447.252:11403	4	0.0	0.17779615025114803	3.3176380719000806	PBF_P4	Contig:97:373.906:82834	4	0.0	0.35797761361891	2.8653579548860164	0	0	0	0		1	False	0
ecol-SAMN15488609	PBF_P3	Contig:20:447.252:11403	4	0.0	0.17779615025114803	3.3176380719000806	PBF_P5	Contig:10:92.8997:9718	4	0.0	0.10815733698735297	0.7339232147603121	0	0	0	0		1	False	0
ecol-SAMN15488609	PBF_P4	Contig:97:373.906:82834	4	0.0	0.35797761361891	2.8653579548860164	PBF_P5	Contig:10:92.8997:9718	4	0.0	0.10815733698735297	0.7339232147603121	0	0	0	0		1	False	0
