SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMD00515065	PBF_P1	88:2437,143:301,171:128,142:301,103:1181,68:6753,80:3411,50:22066,163:153,161:157,107:1122,53:18521,86:2514,126:498,73:4763,106:1153,117:749,170:134,156:167,148:205,180:102,129:479,137:355,82:3004,98:1451,109:1067,93:1797	5	-1.031343912836321	10.03263756	5.291073571805139	PBF_P2	88:2437,143:301,171:128,142:301,140:337,103:1181,81:3115,50:22066,112:937,134:405,167:143,116:849,163:153,161:157,97:1476,53:18521,86:2514,126:498,83:2852,73:4763,106:1153,117:749,156:167,170:134,149:200,61:11504,62:9338,94:1732,148:205,180:102,129:479,111:985,137:355,133:425,162:155,98:1451,164:148,109:1067,93:1797,77:3796	5	-1.2269276769149005	12.699139100000002	0.664311112606701	5	-2.2582715897512218	22.99076152	0.6643111126086296	175:113	0	True	0
ecol-SAMD00515065	PBF_P1	88:2437,143:301,171:128,142:301,103:1181,68:6753,80:3411,50:22066,163:153,161:157,107:1122,53:18521,86:2514,126:498,73:4763,106:1153,117:749,170:134,156:167,148:205,180:102,129:479,137:355,82:3004,98:1451,109:1067,93:1797	5	-1.031343912836321	10.03263756	5.291073571805139	PBF_P3	143:301,171:128,84:2732,142:301,95:1630,112:937,116:849,163:153,161:157,53:18521,86:2514,126:498,83:2852,170:134,156:167,61:11504,62:9338,148:205,180:102,129:479,111:985,137:355,98:1451,93:1797,77:3796,91:1866	5	-0.7250518426407373	7.450896709999999	0.664311112606701	5	-1.7563957554770584	18.348490719999997	0.6643111126068106	94:1732,134:405	0	True	0
ecol-SAMD00515065	PBF_P1	88:2437,143:301,171:128,142:301,103:1181,68:6753,80:3411,50:22066,163:153,161:157,107:1122,53:18521,86:2514,126:498,73:4763,106:1153,117:749,170:134,156:167,148:205,180:102,129:479,137:355,82:3004,98:1451,109:1067,93:1797	5	-1.031343912836321	10.03263756	5.291073571805139	PBF_P4	143:301,84:2732,142:301,95:1630,112:937,116:849,163:153,161:157,126:498,83:2852,156:167,61:11504,129:479,137:355,72:4853,98:1451,91:1866	5	-0.3188550463420808	5.819670469999999	0.664311112606701	5	-1.3501989591784018	16.717264479999997	0.6643111126068106	94:1732,134:405	0	True	0
ecol-SAMD00515065	PBF_P1	88:2437,143:301,171:128,142:301,103:1181,68:6753,80:3411,50:22066,163:153,161:157,107:1122,53:18521,86:2514,126:498,73:4763,106:1153,117:749,170:134,156:167,148:205,180:102,129:479,137:355,82:3004,98:1451,109:1067,93:1797	5	-1.031343912836321	10.03263756	5.291073571805139	PBF_P5	143:301,126:498,137:355,112:937,156:167,84:2732,116:849,61:11504,163:153,161:157,107:1122,104:1180,81:3115,91:1866	5	-0.5370634361572142	4.74796759	0.6397965249969153	5	-1.5684073489935353	15.6455616	0.6397965249961999	94:1732,134:405	0	True	0
ecol-SAMD00515065	PBF_P1	88:2437,143:301,171:128,142:301,103:1181,68:6753,80:3411,50:22066,163:153,161:157,107:1122,53:18521,86:2514,126:498,73:4763,106:1153,117:749,170:134,156:167,148:205,180:102,129:479,137:355,82:3004,98:1451,109:1067,93:1797	5	-1.031343912836321	10.03263756	5.291073571805139	PBF_P6	112:937,116:849,97:1476,81:3115	5	-0.07054904098817347	1.70006174	0.8520207288757277	5	-1.1018929538244946	12.597655750000001	0.8473376630663552	94:1732,134:405	0	False	0
ecol-SAMD00515065	PBF_P1	88:2437,143:301,171:128,142:301,103:1181,68:6753,80:3411,50:22066,163:153,161:157,107:1122,53:18521,86:2514,126:498,73:4763,106:1153,117:749,170:134,156:167,148:205,180:102,129:479,137:355,82:3004,98:1451,109:1067,93:1797	5	-1.031343912836321	10.03263756	5.291073571805139	PBF_P7	143:301,126:498,137:355,156:167,142:301,62:9338,163:153,161:157,104:1180,91:1866,95:1630	5	-0.39493002958438506	3.282197790000001	0.6397965249969153	5	-1.426273942420706	14.672305200000002	0.6397965249961999	94:1732,116:849,134:405	0	True	0
ecol-SAMD00515065	PBF_P2	88:2437,143:301,171:128,142:301,140:337,103:1181,81:3115,50:22066,112:937,134:405,167:143,116:849,163:153,161:157,97:1476,53:18521,86:2514,126:498,83:2852,73:4763,106:1153,117:749,156:167,170:134,149:200,61:11504,62:9338,94:1732,148:205,180:102,129:479,111:985,137:355,133:425,162:155,98:1451,164:148,109:1067,93:1797,77:3796	5	-1.2269276769149005	12.699139100000002	0.664311112606701	PBF_P3	143:301,171:128,84:2732,142:301,95:1630,112:937,116:849,163:153,161:157,53:18521,86:2514,126:498,83:2852,170:134,156:167,61:11504,62:9338,148:205,180:102,129:479,111:985,137:355,98:1451,93:1797,77:3796,91:1866	5	-0.7250518426407373	7.450896709999999	0.664311112606701	5	-2.009339547802366	20.876380330000003	0.6643111126068106	80:3411,175:113	0	True	0
ecol-SAMD00515065	PBF_P2	88:2437,143:301,171:128,142:301,140:337,103:1181,81:3115,50:22066,112:937,134:405,167:143,116:849,163:153,161:157,97:1476,53:18521,86:2514,126:498,83:2852,73:4763,106:1153,117:749,156:167,170:134,149:200,61:11504,62:9338,94:1732,148:205,180:102,129:479,111:985,137:355,133:425,162:155,98:1451,164:148,109:1067,93:1797,77:3796	5	-1.2269276769149005	12.699139100000002	0.664311112606701	PBF_P4	143:301,84:2732,142:301,95:1630,112:937,116:849,163:153,161:157,126:498,83:2852,156:167,61:11504,129:479,137:355,72:4853,98:1451,91:1866	5	-0.3188550463420808	5.819670469999999	0.664311112606701	5	-1.6031427515037093	19.24515409	0.6643111126068106	80:3411,175:113	0	True	0
ecol-SAMD00515065	PBF_P2	88:2437,143:301,171:128,142:301,140:337,103:1181,81:3115,50:22066,112:937,134:405,167:143,116:849,163:153,161:157,97:1476,53:18521,86:2514,126:498,83:2852,73:4763,106:1153,117:749,156:167,170:134,149:200,61:11504,62:9338,94:1732,148:205,180:102,129:479,111:985,137:355,133:425,162:155,98:1451,164:148,109:1067,93:1797,77:3796	5	-1.2269276769149005	12.699139100000002	0.664311112606701	PBF_P5	143:301,126:498,137:355,112:937,156:167,84:2732,116:849,61:11504,163:153,161:157,107:1122,104:1180,81:3115,91:1866	5	-0.5370634361572142	4.74796759	0.6397965249969153	5	-1.8213511413188428	18.173451210000003	0.6397965249980189	80:3411,175:113	0	True	0
ecol-SAMD00515065	PBF_P2	88:2437,143:301,171:128,142:301,140:337,103:1181,81:3115,50:22066,112:937,134:405,167:143,116:849,163:153,161:157,97:1476,53:18521,86:2514,126:498,83:2852,73:4763,106:1153,117:749,156:167,170:134,149:200,61:11504,62:9338,94:1732,148:205,180:102,129:479,111:985,137:355,133:425,162:155,98:1451,164:148,109:1067,93:1797,77:3796	5	0	0	0	PBF_P6	112:937,116:849,97:1476,81:3115	5	0	0	0	0	0	0	0	[]	0	1	1
