SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN34360954	PBF_P1	Contig:1:773.658:Circ:4071	4	0.0	0.39	24.670613125858324	PBF_P2	Contig:91:69.7424:459,Contig:91:69.7424:3p:1:9:149,Contig:38:14.6827:9960,Contig:71:17.4273:1012,Contig:91:69.7424:3p:1:14:156,Contig:53:13.3567:3870,Contig:51:13.2366:3691,Contig:91:69.7424:3p:1:5:368	5	-0.21365310839204882	1.783	0.4278108238980356	0	0	0	0		1	False	0
ecol-SAMN34360954	PBF_P1	Contig:1:773.658:Circ:4071	4	0.0	0.39	24.670613125858324	PBF_P3	Contig:91:69.7424:459,Contig:91:69.7424:3p:1:9:149,Contig:88:14.7906:11199,Contig:91:69.7424:3p:1:14:156,Contig:68:12.0213:1240	4	-0.09713814813366534	1.331	0.3543356462815929	0	0	0	0		1	False	0
ecol-SAMN34360954	PBF_P1	Contig:1:773.658:Circ:4071	4	0.0	0.39	24.670613125858324	PBF_P4	Contig:6:13.7436:26287,Contig:81:15.4333:5006	5	-0.06207082742265205	0.7010000000000001	0.44770052546453937	0	0	0	0		1	False	0
ecol-SAMN34360954	PBF_P1	Contig:1:773.658:Circ:4071	4	0.0	0.39	24.670613125858324	PBF_P5	Contig:96:15.7547:31955	4	0.0	0.45299999999999996	0.4757473371403276	0	0	0	0		1	False	0
ecol-SAMN34360954	PBF_P1	Contig:1:773.658:Circ:4071	4	0.0	0.39	24.670613125858324	PBF_P6	Contig:47:13.3494:15310	4	0.0	0.44199999999999995	0.44035235646291226	0	0	0	0		1	False	0
ecol-SAMN34360954	PBF_P1	Contig:1:773.658:Circ:4071	4	0.0	0.39	24.670613125858324	PBF_P7	Contig:66:13.4987:2765	5	0.0	0.31499999999999995	0.4519551729189361	0	0	0	0		1	False	0
ecol-SAMN34360954	PBF_P1	Contig:1:773.658:Circ:4071	4	0.0	0.39	24.670613125858324	PBF_P8	Contig:34:13.1213:8349	4	0.0	0.22599999999999998	0.42386094399135604	0	0	0	0		1	False	0
ecol-SAMN34360954	PBF_P2	Contig:91:69.7424:459,Contig:91:69.7424:3p:1:9:149,Contig:38:14.6827:9960,Contig:71:17.4273:1012,Contig:91:69.7424:3p:1:14:156,Contig:53:13.3567:3870,Contig:51:13.2366:3691,Contig:91:69.7424:3p:1:5:368	5	-0.21365310839204882	1.783	0.4278108238980356	PBF_P3	Contig:91:69.7424:459,Contig:91:69.7424:3p:1:9:149,Contig:88:14.7906:11199,Contig:91:69.7424:3p:1:14:156,Contig:68:12.0213:1240	4	-0.09713814813366534	1.331	0.3543356462815929	5	-0.3957545081642904	3.114	0.35433564628146996		0	True	0
ecol-SAMN34360954	PBF_P2	Contig:91:69.7424:459,Contig:91:69.7424:3p:1:9:149,Contig:38:14.6827:9960,Contig:71:17.4273:1012,Contig:91:69.7424:3p:1:14:156,Contig:53:13.3567:3870,Contig:51:13.2366:3691,Contig:91:69.7424:3p:1:5:368	5	-0.21365310839204882	1.783	0.4278108238980356	PBF_P4	Contig:6:13.7436:26287,Contig:81:15.4333:5006	5	-0.06207082742265205	0.7010000000000001	0.44770052546453937	0	0	0	0		1	False	0
ecol-SAMN34360954	PBF_P2	Contig:91:69.7424:459,Contig:91:69.7424:3p:1:9:149,Contig:38:14.6827:9960,Contig:71:17.4273:1012,Contig:91:69.7424:3p:1:14:156,Contig:53:13.3567:3870,Contig:51:13.2366:3691,Contig:91:69.7424:3p:1:5:368	5	-0.21365310839204882	1.783	0.4278108238980356	PBF_P5	Contig:96:15.7547:31955	4	0.0	0.45299999999999996	0.4757473371403276	0	0	0	0		1	False	0
ecol-SAMN34360954	PBF_P2	Contig:91:69.7424:459,Contig:91:69.7424:3p:1:9:149,Contig:38:14.6827:9960,Contig:71:17.4273:1012,Contig:91:69.7424:3p:1:14:156,Contig:53:13.3567:3870,Contig:51:13.2366:3691,Contig:91:69.7424:3p:1:5:368	5	-0.21365310839204882	1.783	0.4278108238980356	PBF_P6	Contig:47:13.3494:15310	4	0.0	0.44199999999999995	0.44035235646291226	0	0	0	0		1	False	0
