SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN34360970	PBF_P1	68:4064	4	0.0	0.359	19.22323550189455	PBF_P2	65:4245	5	0.0	0.45699999999999996	9.679371909318606	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P1	68:4064	4	0.0	0.359	19.22323550189455	PBF_P3	58:5167	4	0.0	0.485	7.884850041744268	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P1	68:4064	4	0.0	0.359	19.22323550189455	PBF_P4	56:5614	5	0.0	0.45499999999999996	1.034824352963843	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P1	68:4064	4	0.0	0.359	19.22323550189455	PBF_P5	51:7782	5	0.0	0.18799999999999994	0.9727297540299275	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P1	68:4064	4	0.0	0.359	19.22323550189455	PBF_P6	60:4722	4	0.0	0.345	0.7700934429387966	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P1	68:4064	4	0.0	0.359	19.22323550189455	PBF_P7	85:1619,199:206,59:5121	4	-0.0014743762250702397	0.4139999999999999	0.6386696422837326	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P1	68:4064	4	0.0	0.359	19.22323550189455	PBF_P8	69:4026	4	0.0	0.128	0.8216797251300495	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P2	65:4245	5	0.0	0.45699999999999996	9.679371909318606	PBF_P3	58:5167	4	0.0	0.485	7.884850041744268	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P2	65:4245	5	0.0	0.45699999999999996	9.679371909318606	PBF_P4	56:5614	5	0.0	0.45499999999999996	1.034824352963843	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P2	65:4245	5	0.0	0.45699999999999996	9.679371909318606	PBF_P5	51:7782	5	0.0	0.18799999999999994	0.9727297540299275	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P2	65:4245	5	0.0	0.45699999999999996	9.679371909318606	PBF_P6	60:4722	4	0.0	0.345	0.7700934429387966	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P2	65:4245	5	0.0	0.45699999999999996	9.679371909318606	PBF_P7	85:1619,199:206,59:5121	4	-0.0014743762250702397	0.4139999999999999	0.6386696422837326	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P2	65:4245	5	0.0	0.45699999999999996	9.679371909318606	PBF_P8	69:4026	4	0.0	0.128	0.8216797251300495	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P3	58:5167	4	0.0	0.485	7.884850041744268	PBF_P4	56:5614	5	0.0	0.45499999999999996	1.034824352963843	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P3	58:5167	4	0.0	0.485	7.884850041744268	PBF_P5	51:7782	5	0.0	0.18799999999999994	0.9727297540299275	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P3	58:5167	4	0.0	0.485	7.884850041744268	PBF_P6	60:4722	4	0.0	0.345	0.7700934429387966	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P3	58:5167	4	0.0	0.485	7.884850041744268	PBF_P7	85:1619,199:206,59:5121	4	-0.0014743762250702397	0.4139999999999999	0.6386696422837326	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P3	58:5167	4	0.0	0.485	7.884850041744268	PBF_P8	69:4026	4	0.0	0.128	0.8216797251300495	0	0	0	0		1	False	0
ecol-SAMN34360970	PBF_P4	56:5614	5	0.0	0.45499999999999996	1.034824352963843	PBF_P5	51:7782	5	0.0	0.18799999999999994	0.9727297540299275	4	-0.35058096660426813	0.0229999999999998	0.6228421424439148	37:23457,49:10522,76:2532,98:894,99:888,139:458,199:206,252:153,273:134	0	False	0
ecol-SAMN34360970	PBF_P4	56:5614	5	0.0	0.45499999999999996	1.034824352963843	PBF_P6	60:4722	4	0.0	0.345	0.7700934429387966	5	-0.1725417110339843	1.2239999999999998	0.6228421424439148	99:888,139:458,199:206,252:153,273:134	0	False	0
ecol-SAMN34360970	PBF_P4	56:5614	5	0.0	0.45499999999999996	1.034824352963843	PBF_P7	85:1619,199:206,59:5121	4	-0.0014743762250702397	0.4139999999999999	0.6386696422837326	5	-0.13841134939494612	1.1129999999999998	0.6386696422832756	139:458,252:153	0	False	0
ecol-SAMN34360970	PBF_P4	56:5614	5	0.0	0.45499999999999996	1.034824352963843	PBF_P8	69:4026	4	0.0	0.128	0.8216797251300495	4	-0.2069610672941807	0.9009999999999999	0.6228421424439148	99:888,139:458,199:206,252:153,273:134,282:127	0	False	0
ecol-SAMN34360970	PBF_P5	51:7782	5	0.0	0.18799999999999994	0.9727297540299275	PBF_P6	60:4722	4	0.0	0.345	0.7700934429387966	5	-0.04624159014873333	0.3179999999999999	0.7700934429394692	76:2532	0	False	0
ecol-SAMN34360970	PBF_P5	51:7782	5	0.0	0.18799999999999994	0.9727297540299275	PBF_P7	85:1619,199:206,59:5121	4	-0.0014743762250702397	0.4139999999999999	0.6386696422837326	4	-0.1670151527790539	-0.3670000000000002	0.6228421424439148	37:23457,49:10522,76:2532,98:894,99:888,139:458,252:153,273:134	0	False	0
ecol-SAMN34360970	PBF_P5	51:7782	5	0.0	0.18799999999999994	0.9727297540299275	PBF_P8	69:4026	4	0.0	0.128	0.8216797251300495	4	-0.14567843900640712	-1.0270000000000001	0.8216797251297976	37:23457,49:10522,76:2532,98:894,273:134,282:127	0	False	0
ecol-SAMN34360970	PBF_P6	60:4722	4	0.0	0.345	0.7700934429387966	PBF_P7	85:1619,199:206,59:5121	4	-0.0014743762250702397	0.4139999999999999	0.6386696422837326	4	-0.02339525346896648	0.8339999999999999	0.6228421424439148	99:888,139:458,252:153,273:134	0	False	0
ecol-SAMN34360970	PBF_P6	60:4722	4	0.0	0.345	0.7700934429387966	PBF_P8	69:4026	4	0.0	0.128	0.8216797251300495	4	-0.0020585396963196945	0.174	0.7700934429394692	273:134,282:127	0	False	0
ecol-SAMN34360970	PBF_P7	85:1619,199:206,59:5121	4	-0.0014743762250702397	0.4139999999999999	0.6386696422837326	PBF_P8	69:4026	4	0.0	0.128	0.8216797251300495	4	-0.02339525346896648	0.5109999999999998	0.6228421424439148	99:888,139:458,252:153,273:134,282:127	0	False	0
