SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMN08133260	PBF_P1	125:356,130:323,200:116,206:110,48:19181,52:10471,59:4133,46:22202,194:124,127:346,202:113,65:2247,93:759,175:148,72:1867,90:819,70:1954,37:32429,67:2089,77:1366,30:52551,192:128,196:119,101:609,208:108,163:173,118:422,78:1343,38:29431,69:1958	5	-0.604498714659996	8.965721120000001	1.2680155703530993	PBF_P2	125:356,200:116,48:19181,52:10471,59:4133,46:22202,85:981,127:346,65:2247,93:759,175:148,72:1867,70:1954,37:32429,208:108,30:52551,192:128,101:609,40:26601,163:173,88:913,118:422,78:1343,38:29431,69:1958,66:2186	5	-0.6241185665610436	7.148870909999999	0.894381434132269	5	-1.3852713913032015	18.143378896999998	0.8943814341328107	29:61531,39:28595,75:1715,79:1125,84:1085,107:515,109:488,115:437,117:425,124:368,129:325,135:273,144:218,173:150,178:144,213:100	0	True	0
kpne-SAMN08133260	PBF_P1	125:356,130:323,200:116,206:110,48:19181,52:10471,59:4133,46:22202,194:124,127:346,202:113,65:2247,93:759,175:148,72:1867,90:819,70:1954,37:32429,67:2089,77:1366,30:52551,192:128,196:119,101:609,208:108,163:173,118:422,78:1343,38:29431,69:1958	5	-0.604498714659996	8.965721120000001	1.2680155703530993	PBF_P3	92:768,52:10471,212:101,159:179,31:45136,209:106,59:4133,64:2454,105:542,65:2247,93:759,95:698,60:3669,49:18987,62:2620,128:329,70:1954,205:111,71:1902,78:1343,204:113,38:29431,99:639,69:1958	5	-0.5931259385341194	6.13422555	1.3099695706297299	5	-1.3488019736200192	16.732172064000004	1.168235886898401	35:37931,39:28595,79:1125,84:1085,107:515,117:425,124:368,129:325,135:273,144:218,173:150,178:144,213:100	0	True	0
kpne-SAMN08133260	PBF_P1	125:356,130:323,200:116,206:110,48:19181,52:10471,59:4133,46:22202,194:124,127:346,202:113,65:2247,93:759,175:148,72:1867,90:819,70:1954,37:32429,67:2089,77:1366,30:52551,192:128,196:119,101:609,208:108,163:173,118:422,78:1343,38:29431,69:1958	5	-0.604498714659996	8.965721120000001	1.2680155703530993	PBF_P4	54:9294	5	0.0	0.49279463	2.7017872315200853	0	0	0	0		1	False	0
kpne-SAMN08133260	PBF_P1	125:356,130:323,200:116,206:110,48:19181,52:10471,59:4133,46:22202,194:124,127:346,202:113,65:2247,93:759,175:148,72:1867,90:819,70:1954,37:32429,67:2089,77:1366,30:52551,192:128,196:119,101:609,208:108,163:173,118:422,78:1343,38:29431,69:1958	5	-0.604498714659996	8.965721120000001	1.2680155703530993	PBF_P5	49:18987,130:323,194:124	5	-0.09896614177191893	0.8894532	1.378831266572282	5	-0.9065236096602272	12.3201053527	0.10015511075107497	21:98207,29:61531,31:45136,47:19798,75:1715,76:1445,79:1125,84:1085,92:768,107:515,109:488,115:437,117:425,124:368,128:329,129:325,135:273,144:218,173:150,178:144,204:113,209:106,212:101,213:100	0	True	0
kpne-SAMN08133260	PBF_P1	125:356,130:323,200:116,206:110,48:19181,52:10471,59:4133,46:22202,194:124,127:346,202:113,65:2247,93:759,175:148,72:1867,90:819,70:1954,37:32429,67:2089,77:1366,30:52551,192:128,196:119,101:609,208:108,163:173,118:422,78:1343,38:29431,69:1958	5	-0.604498714659996	8.965721120000001	1.2680155703530993	PBF_P6	125:356,200:116,48:19181,85:981,46:22202,127:346,175:148,72:1867,70:1954,37:32429,30:52551,192:128,101:609,40:26601,163:173,88:913,118:422,69:1958	5	-0.4493579222959974	5.31909339	0.894381434132269	5	-1.2105107470381555	16.313601377	0.8943814341328107	29:61531,39:28595,75:1715,79:1125,84:1085,107:515,109:488,115:437,117:425,124:368,129:325,135:273,144:218,173:150,178:144,213:100	0	True	0
kpne-SAMN08133260	PBF_P2	125:356,200:116,48:19181,52:10471,59:4133,46:22202,85:981,127:346,65:2247,93:759,175:148,72:1867,70:1954,37:32429,208:108,30:52551,192:128,101:609,40:26601,163:173,88:913,118:422,78:1343,38:29431,69:1958,66:2186	5	-0.6241185665610436	7.148870909999999	0.894381434132269	PBF_P3	92:768,52:10471,212:101,159:179,31:45136,209:106,59:4133,64:2454,105:542,65:2247,93:759,95:698,60:3669,49:18987,62:2620,128:329,70:1954,205:111,71:1902,78:1343,204:113,38:29431,99:639,69:1958	5	-0.5931259385341194	6.13422555	1.3099695706297299	5	-1.3684218255210667	14.915321854	0.8943814341328107	35:37931,39:28595,79:1125,84:1085,107:515,117:425,124:368,129:325,135:273,144:218,173:150,178:144,213:100	0	True	0
kpne-SAMN08133260	PBF_P2	125:356,200:116,48:19181,52:10471,59:4133,46:22202,85:981,127:346,65:2247,93:759,175:148,72:1867,70:1954,37:32429,208:108,30:52551,192:128,101:609,40:26601,163:173,88:913,118:422,78:1343,38:29431,69:1958,66:2186	5	-0.6241185665610436	7.148870909999999	0.894381434132269	PBF_P4	54:9294	5	0.0	0.49279463	2.7017872315200853	0	0	0	0		1	False	0
kpne-SAMN08133260	PBF_P2	125:356,200:116,48:19181,52:10471,59:4133,46:22202,85:981,127:346,65:2247,93:759,175:148,72:1867,70:1954,37:32429,208:108,30:52551,192:128,101:609,40:26601,163:173,88:913,118:422,78:1343,38:29431,69:1958,66:2186	5	-0.6241185665610436	7.148870909999999	0.894381434132269	PBF_P5	49:18987,130:323,194:124	5	-0.09896614177191893	0.8894532	1.378831266572282	5	-0.9261434615612747	10.503255142699999	0.10015511075107497	21:98207,29:61531,31:45136,47:19798,75:1715,76:1445,79:1125,84:1085,92:768,107:515,109:488,115:437,117:425,124:368,128:329,129:325,135:273,144:218,173:150,178:144,204:113,209:106,212:101,213:100	0	False	0
kpne-SAMN08133260	PBF_P2	125:356,200:116,48:19181,52:10471,59:4133,46:22202,85:981,127:346,65:2247,93:759,175:148,72:1867,70:1954,37:32429,208:108,30:52551,192:128,101:609,40:26601,163:173,88:913,118:422,78:1343,38:29431,69:1958,66:2186	5	0	0	0	PBF_P6	125:356,200:116,48:19181,85:981,46:22202,127:346,175:148,72:1867,70:1954,37:32429,30:52551,192:128,101:609,40:26601,163:173,88:913,118:422,69:1958	5	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMN08133260	PBF_P3	92:768,52:10471,212:101,159:179,31:45136,209:106,59:4133,64:2454,105:542,65:2247,93:759,95:698,60:3669,49:18987,62:2620,128:329,70:1954,205:111,71:1902,78:1343,204:113,38:29431,99:639,69:1958	5	-0.5931259385341194	6.13422555	1.3099695706297299	PBF_P4	54:9294	5	0.0	0.49279463	2.7017872315200853	0	0	0	0		1	False	0
