SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_1	31:45136,49:18987,60:3669,63:2600,66:2186,67:2089,71:1902,77:1366,90:819,91:784,92:768,93:759,95:698,98:645,99:639,101:609,121:377,128:329,175:148,192:128,194:124,200:116,209:106,212:101	5	-0.6739899423967066	3.5996369700000006	1.1562666719358217	5	-1.0008524812238793	9.00145577	1.1562666719364643	75:1715,115:437	0	True	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_2	54:9294	5	0.0	0.49279463	2.7017872315200853	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_1	62:2620	5	0.0	0.4817568	64.19362168784208	5	-0.5555917531015842	7.05005519	0.11174889841640834	49:18987,60:3669,77:1366,92:768,194:124,209:106	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_3	64:2454,205:111	4	-0.04430312541662579	0.99465416	14.066272797328539	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_4	79:1125,84:1085,107:515,117:425,124:368	5	-0.02521180619267077	1.63606967	12.055513841411607	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_2	105:542	4	0.0	0.47853917	53.78736983540477	5	-0.6345251415223156	7.04683756	0.11174889841640834	49:18987,60:3669,77:1366,92:768,194:124,209:106	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_3	110:470	5	0.0	0.07714312999999995	1.496275366041613	5	-0.32138574917091434	4.800698909999999	1.3691092493427277	103:594,114:446,187:133	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_4	111:470	5	0.0	0.06563819999999998	1.1397231717678673	5	-0.32138574917091434	4.789193979999999	1.1397231717674003	103:594,114:446,187:133	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_5	118:422	5	0.0	0.4035189	3.1267758699045625	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_6	125:356	5	0.0	0.42846787	8.24586535991622	5	-0.32138574917091434	5.38119657	1.748182141516736		0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_7	127:346	5	0.0	0.44211789999999995	8.524126143571303	5	-0.4318919384198276	6.244348399999999	1.748182141516736	75:1715,115:437,175:148	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_8	130:323	5	0.0	0.2842338	2.7274941215989252	5	-0.6529461501613694	6.3951503346999985	0.1886077575127274	12:129876,21:98207,49:18987,60:3669,75:1715,76:1445,92:768,98:645,109:488,115:437,121:377,169:153,175:148,194:124,209:106	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_9	135:273	5	0.0	0.27831870000000003	14.080499515896383	5	-0.42844493197251826	4.566330831	1.168235886898401	39:28595,129:325	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_10	144:218	4	0.0	0.470194	15.657195360509002	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_11	163:173	4	0.0	0.32923329999999995	3.9171540635064916	5	-0.5868539887033967	5.460793956999999	1.0657864546210476	6:258011,75:1715,88:913,109:488,115:437,175:148,200:116	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_12	178:144	5	0.0	0.34250027000000005	13.399000177833983	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_13	179:142	4	0.0	0.02812576	3.061545377304432	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_14	196:119	5	0.0	0.12376772999999996	1.4572506866367643	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_15	202:113	4	0.0	0.15186670000000002	1.2808294967298306	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_16	204:113	5	0.0	0.13525469999999995	1.4972386334446441	5	-0.5555917531015842	6.9187777399999995	0.11174889841822733	31:45136,49:18987,60:3669,77:1366,92:768,194:124,209:106,212:101	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_17	206:110	5	0.0	0.12004906000000004	3.48482977336047	5	-0.5258915574001584	5.187457380000001	0.8943814341328107	40:26601,75:1715,85:981,90:819,115:437,175:148,177:147	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_18	208:108	5	0.0	0.26759577	1.4874380050979077	5	-0.3494762040982389	3.133223018	1.1777500049392984	108:496,134:276,136:268,186:135,187:133,201:116	0	False	0
kpne-SAMN08133260	GP_0	30:52551,37:32429,38:29431,46:22202,48:19181,52:10471,59:4133,65:2247,69:1958,70:1954,73:1802,78:1343,93:759,159:179,192:128	5	-0.32138574917091434	4.9527287	1.748182141516331	GP_unb_19	213:100	5	0.0	0.3050012	10.126657313916498	5	-0.4318919384198276	5.319561196	1.2195360508994781	29:61531,75:1715,109:488,115:437,173:150,175:148	0	False	0
kpne-SAMN08133260	GP_1	31:45136,49:18987,60:3669,63:2600,66:2186,67:2089,71:1902,77:1366,90:819,91:784,92:768,93:759,95:698,98:645,99:639,101:609,121:377,128:329,175:148,192:128,194:124,200:116,209:106,212:101	5	-0.6739899423967066	3.5996369700000006	1.1562666719358217	GP_2	54:9294	5	0.0	0.49279463	2.7017872315200853	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_1	31:45136,49:18987,60:3669,63:2600,66:2186,67:2089,71:1902,77:1366,90:819,91:784,92:768,93:759,95:698,98:645,99:639,101:609,121:377,128:329,175:148,192:128,194:124,200:116,209:106,212:101	5	-0.6739899423967066	3.5996369700000006	1.1562666719358217	GP_unb_1	62:2620	5	0.0	0.4817568	64.19362168784208	5	-0.6739899423967066	4.081393770000001	1.1562666719364643		0	False	0
kpne-SAMN08133260	GP_1	31:45136,49:18987,60:3669,63:2600,66:2186,67:2089,71:1902,77:1366,90:819,91:784,92:768,93:759,95:698,98:645,99:639,101:609,121:377,128:329,175:148,192:128,194:124,200:116,209:106,212:101	5	-0.6739899423967066	3.5996369700000006	1.1562666719358217	GP_3	64:2454,205:111	4	-0.04430312541662579	0.99465416	14.066272797328539	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_1	31:45136,49:18987,60:3669,63:2600,66:2186,67:2089,71:1902,77:1366,90:819,91:784,92:768,93:759,95:698,98:645,99:639,101:609,121:377,128:329,175:148,192:128,194:124,200:116,209:106,212:101	5	-0.6739899423967066	3.5996369700000006	1.1562666719358217	GP_4	79:1125,84:1085,107:515,117:425,124:368	5	-0.02521180619267077	1.63606967	12.055513841411607	0	0	0	0		1	False	0
kpne-SAMN08133260	GP_1	31:45136,49:18987,60:3669,63:2600,66:2186,67:2089,71:1902,77:1366,90:819,91:784,92:768,93:759,95:698,98:645,99:639,101:609,121:377,128:329,175:148,192:128,194:124,200:116,209:106,212:101	5	-0.6739899423967066	3.5996369700000006	1.1562666719358217	GP_unb_2	105:542	4	0.0	0.47853917	53.78736983540477	5	-0.7529233308174381	4.078176140000001	1.1562666719364643		0	False	0
