SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
efae-SAMN28025465	PBF_P1	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:51:92.9865:687,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:63:298.722:652,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:74:159.269:3p:1:3:942,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:100:96.3411:19565,Contig:67:247.422:3p:1:10:389,Contig:43:259.831:2359,Contig:92:171.218:5879,Contig:97:300.569:948,Contig:100:96.3411:3p:1:26:555,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:85:46.8415:9081,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:118:82.7501:4038,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:118:82.7501:3p:1:3:250,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:91:285.495:1770,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	-0.011817900414903465	7.080068619117923	0.6882240248011497	PBF_P2	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:67:247.422:3p:1:10:389,Contig:91:285.495:1770,Contig:100:96.3411:3p:1:22:283,Contig:92:171.218:5879,Contig:100:96.3411:3p:1:26:555,Contig:97:300.569:948,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:11:1273.84:462,Contig:74:159.269:3p:1:4:942,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:63:298.722:652,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237,Contig:106:228.12:687	4	-0.011817900414903465	6.078593432999969	1.0927376395590551	4	-0.02363580082980693	13.20999006690198	0.6882240248014568	Contig:17:53.6946:1785	0	True	0
efae-SAMN28025465	PBF_P1	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:51:92.9865:687,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:63:298.722:652,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:74:159.269:3p:1:3:942,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:100:96.3411:19565,Contig:67:247.422:3p:1:10:389,Contig:43:259.831:2359,Contig:92:171.218:5879,Contig:97:300.569:948,Contig:100:96.3411:3p:1:26:555,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:85:46.8415:9081,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:118:82.7501:4038,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:118:82.7501:3p:1:3:250,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:91:285.495:1770,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	0	0	0	PBF_P3	Contig:69:220.075:3633,Contig:100:96.3411:3p:1:23:153	4	0	0	0	0	0	0	0	[]	0	1	1
efae-SAMN28025465	PBF_P1	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:51:92.9865:687,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:63:298.722:652,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:74:159.269:3p:1:3:942,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:100:96.3411:19565,Contig:67:247.422:3p:1:10:389,Contig:43:259.831:2359,Contig:92:171.218:5879,Contig:97:300.569:948,Contig:100:96.3411:3p:1:26:555,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:85:46.8415:9081,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:118:82.7501:4038,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:118:82.7501:3p:1:3:250,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:91:285.495:1770,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	-0.011817900414903465	7.080068619117923	0.6882240248011497	PBF_P4	Contig:103:82.03:6399,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:107:310.612:947,Contig:86:173.817:573,Contig:96:142.218:5p:1:2:355,Contig:116:66.9899:3p:1:7:202,Contig:95:1246.89:430,Contig:22:158.951:762,Contig:74:159.269:693,Contig:108:78.8687:5p:1:26:147,Contig:96:142.218:5p:1:6:302,Contig:116:66.9899:3p:1:37:202,Contig:74:159.269:3p:1:3:942,Contig:73:107.515:5850,Contig:67:247.422:3p:1:4:390,Contig:2:341.589:2774,Contig:108:78.8687:5p:1:24:119,Contig:108:78.8687:5p:1:8:492,Contig:26:112.618:1177,Contig:116:66.9899:3p:1:30:448,Contig:67:247.422:3p:1:10:389,Contig:92:171.218:5879,Contig:108:78.8687:1381,Contig:100:96.3411:3p:1:26:555,Contig:97:300.569:948,Contig:108:78.8687:5p:1:9:378,Contig:100:96.3411:3p:1:29:123,Contig:57:161.653:1574,Contig:41:149.94:1138,Contig:55:87.439:32608,Contig:116:66.9899:3p:1:66:107,Contig:116:66.9899:3p:1:28:164,Contig:76:107.405:5105,Contig:105:101.698:972,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:9:94.4144:42442,Contig:114:297.803:651,Contig:116:66.9899:3p:1:67:404,Contig:121:155.044:611,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:28:128.052:14691,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:80:103.346:16253,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	-0.03136637448270024	4.336468582217752	0.8485335241612288	4	-0.04318427489760371	11.467865216119762	0.6882240248014568	Contig:17:53.6946:1785	0	True	0
efae-SAMN28025465	PBF_P1	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:51:92.9865:687,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:63:298.722:652,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:74:159.269:3p:1:3:942,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:100:96.3411:19565,Contig:67:247.422:3p:1:10:389,Contig:43:259.831:2359,Contig:92:171.218:5879,Contig:97:300.569:948,Contig:100:96.3411:3p:1:26:555,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:85:46.8415:9081,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:118:82.7501:4038,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:118:82.7501:3p:1:3:250,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:91:285.495:1770,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	0	0	0	PBF_P5	Contig:2:341.589:2774	4	0	0	0	0	0	0	0	[]	0	1	1
efae-SAMN28025465	PBF_P1	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:51:92.9865:687,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:63:298.722:652,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:74:159.269:3p:1:3:942,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:100:96.3411:19565,Contig:67:247.422:3p:1:10:389,Contig:43:259.831:2359,Contig:92:171.218:5879,Contig:97:300.569:948,Contig:100:96.3411:3p:1:26:555,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:85:46.8415:9081,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:118:82.7501:4038,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:118:82.7501:3p:1:3:250,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:91:285.495:1770,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	-0.011817900414903465	7.080068619117923	0.6882240248011497	PBF_P6	Contig:28:128.052:14691,Contig:45:105.024:9609	4	0.0	0.892662181297695	1.6264951145442614	4	-0.011817900414903465	7.972730800415618	0.6882240248014568		0	False	0
efae-SAMN28025465	PBF_P1	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:51:92.9865:687,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:63:298.722:652,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:74:159.269:3p:1:3:942,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:100:96.3411:19565,Contig:67:247.422:3p:1:10:389,Contig:43:259.831:2359,Contig:92:171.218:5879,Contig:97:300.569:948,Contig:100:96.3411:3p:1:26:555,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:85:46.8415:9081,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:118:82.7501:4038,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:118:82.7501:3p:1:3:250,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:91:285.495:1770,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	-0.011817900414903465	7.080068619117923	0.6882240248011497	PBF_P7	Contig:46:100.093:6919,Contig:108:78.8687:5p:1:23:224	4	0.0	0.432753382527545	1.5729786993750872	4	-0.011817900414903465	7.0672190878869365	0.6882240248014568	Contig:16:61.5652:150734,Contig:17:53.6946:1785,Contig:108:78.8687:5p:1:8:492,Contig:108:78.8687:5p:1:9:378,Contig:108:78.8687:5p:1:24:119	0	False	0
efae-SAMN28025465	PBF_P1	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:51:92.9865:687,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:63:298.722:652,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:74:159.269:3p:1:3:942,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:100:96.3411:19565,Contig:67:247.422:3p:1:10:389,Contig:43:259.831:2359,Contig:92:171.218:5879,Contig:97:300.569:948,Contig:100:96.3411:3p:1:26:555,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:85:46.8415:9081,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:118:82.7501:4038,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:118:82.7501:3p:1:3:250,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:91:285.495:1770,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	-0.011817900414903465	7.080068619117923	0.6882240248011497	PBF_P8	Contig:45:105.024:3p:1:2:514,Contig:45:105.024:3p:1:14:253,Contig:87:166.157:2665	4	0.0	0.26737638928184104	1.6590934978761986	4	-0.011817900414903465	6.374935147342787	0.6882240248014568	Contig:14:67.8289:64382,Contig:75:63.1606:29940,Contig:45:105.024:3p:1:9:253,Contig:75:63.1606:5p:1:2:124	0	False	0
efae-SAMN28025465	PBF_P1	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:51:92.9865:687,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:63:298.722:652,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:74:159.269:3p:1:3:942,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:100:96.3411:19565,Contig:67:247.422:3p:1:10:389,Contig:43:259.831:2359,Contig:92:171.218:5879,Contig:97:300.569:948,Contig:100:96.3411:3p:1:26:555,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:85:46.8415:9081,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:118:82.7501:4038,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:118:82.7501:3p:1:3:250,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:91:285.495:1770,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	0	0	0	PBF_P9	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:100:96.3411:3p:1:29:123,Contig:100:96.3411:3p:1:26:555	4	0	0	0	0	0	0	0	[]	0	1	1
efae-SAMN28025465	PBF_P1	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:51:92.9865:687,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:63:298.722:652,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:74:159.269:3p:1:3:942,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:100:96.3411:19565,Contig:67:247.422:3p:1:10:389,Contig:43:259.831:2359,Contig:92:171.218:5879,Contig:97:300.569:948,Contig:100:96.3411:3p:1:26:555,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:85:46.8415:9081,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:118:82.7501:4038,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:118:82.7501:3p:1:3:250,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:91:285.495:1770,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	-0.011817900414903465	7.080068619117923	0.6882240248011497	PBF_P10	Contig:67:247.422:3p:1:2:389,Contig:116:66.9899:3p:1:64:231,Contig:108:78.8687:5p:1:25:335,Contig:15:74.3685:64389,Contig:95:1246.89:430,Contig:67:247.422:3p:1:4:390,Contig:108:78.8687:5p:1:24:119,Contig:108:78.8687:5p:1:8:492,Contig:92:171.218:5879,Contig:108:78.8687:1381,Contig:108:78.8687:5p:1:9:378,Contig:116:66.9899:3p:1:28:164,Contig:76:107.405:5105,Contig:105:101.698:972,Contig:116:66.9899:3p:1:67:404,Contig:11:1273.84:462,Contig:67:247.422:2977,Contig:116:66.9899:3p:1:24:237	4	-0.002539339189969153	0.9985271634837367	0.823295390906008	4	-0.014357239604872618	8.129923797385747	0.6882240248014568	Contig:17:53.6946:1785	0	True	0
efae-SAMN28025465	PBF_P1	Contig:93:237.227:5429,Contig:30:237.634:7219,Contig:67:247.422:3p:1:2:389,Contig:117:64.871:5p:1:3:646,Contig:107:310.612:947,Contig:54:112.017:839,Contig:96:142.218:5p:1:2:355,Contig:86:173.817:573,Contig:51:92.9865:687,Contig:39:292.81:876,Contig:77:130.089:854,Contig:61:217.357:7662,Contig:95:1246.89:430,Contig:100:96.3411:3p:1:23:153,Contig:74:159.269:693,Contig:22:158.951:762,Contig:63:298.722:652,Contig:116:66.9899:3p:1:37:202,Contig:68:106.13:610,Contig:74:159.269:3p:1:3:942,Contig:96:142.218:5p:1:6:302,Contig:73:107.515:5850,Contig:2:341.589:2774,Contig:26:112.618:1177,Contig:100:96.3411:19565,Contig:67:247.422:3p:1:10:389,Contig:43:259.831:2359,Contig:92:171.218:5879,Contig:97:300.569:948,Contig:100:96.3411:3p:1:26:555,Contig:80:103.346:16253,Contig:100:96.3411:3p:1:29:123,Contig:117:64.871:5p:1:20:323,Contig:57:161.653:1574,Contig:85:46.8415:9081,Contig:41:149.94:1138,Contig:69:220.075:3633,Contig:109:233.384:3875,Contig:76:107.405:5105,Contig:118:82.7501:4038,Contig:116:66.9899:3p:1:39:233,Contig:44:294.441:1367,Contig:114:297.803:651,Contig:121:155.044:611,Contig:9:94.4144:42442,Contig:118:82.7501:3p:1:3:250,Contig:11:1273.84:462,Contig:18:139.056:12288,Contig:21:153.009:8632,Contig:83:151.084:383,Contig:96:142.218:618,Contig:67:247.422:2977,Contig:91:285.495:1770,Contig:110:106.6:3287,Contig:9:94.4144:3p:1:4:786,Contig:116:66.9899:3p:1:24:237	4	-0.011817900414903465	7.080068619117923	0.6882240248011497	PBF_P11	Contig:89:119.339:2726	4	0.0	0.29313429495813503	1.0942942830968208	0	0	0	0		1	False	0
