SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN17807536	MOB_AD548	Contig:104:151.42:16619	4	0.0	-0.392716326	0.8411501834184267	MOB_AA374	Contig:114:182.283:8924,Contig:117:4017.99:1329,Contig:120:243.207:1008,Contig:12:146.517:11932,Contig:17:155.07:18325,Contig:18:121.832:3719,Contig:23:151.095:1523,Contig:25:154.26:6464,Contig:32:188.578:1834,Contig:38:158.824:6022,Contig:42:171.94:3093,Contig:56:322.167:1196,Contig:58:166.726:2016,Contig:63:372.5:2769,Contig:73:219.92:2807,Contig:75:196.132:4006,Contig:76:172.715:4237,Contig:77:436.053:1347,Contig:80:138.814:9141,Contig:91:152.939:2360,Contig:95:143.747:5257,Contig:9:180.272:5719	4	-1.102633139686215	-4.104455995	0.6760258118488218	4	-1.272241769838677	-0.8025131509999996	0.6760258118483762	Contig:116:402.756:1165,Contig:40:368.369:833,Contig:44:203.23:1224,Contig:89:1077.84:990,Contig:102:140.605:5p:1:16:461,Contig:104:151.42:3p:1:3:737,Contig:104:151.42:3p:1:13:349,Contig:104:151.42:3p:1:18:308,Contig:104:151.42:3p:1:19:348,Contig:104:151.42:3p:1:20:206,Contig:104:151.42:3p:1:21:207,Contig:104:151.42:3p:1:23:175,Contig:107:151.777:3p:1:10:137,Contig:107:151.777:3p:1:19:469,Contig:107:151.777:3p:1:20:435,Contig:107:151.777:3p:1:22:239,Contig:107:151.777:3p:1:24:537	0	False	0
ecol-SAMN17807536	MOB_AD548	Contig:104:151.42:16619	4	0.0	-0.392716326	0.8411501834184267	MOB_AB043	Contig:2:3985.82:Circ:1917	4	0.0	0.49988913999999995	21.247043740261795	0	0	0	0		1	False	0
ecol-SAMN17807536	MOB_AD548	Contig:104:151.42:16619	4	0.0	-0.392716326	0.8411501834184267	MOB_AA747	Contig:31:166.197:8363,Contig:61:121.765:101837	4	0.0	-0.9150649065	0.6912546072377309	4	-0.484039561531624	2.6874537075000005	0.19889163567131618	Contig:105:1023.01:283,Contig:114:182.283:8924,Contig:116:402.756:1165,Contig:117:4017.99:1329,Contig:120:243.207:1008,Contig:25:154.26:6464,Contig:40:368.369:833,Contig:42:171.94:3093,Contig:44:203.23:1224,Contig:56:322.167:1196,Contig:75:196.132:4006,Contig:86:164.628:366,Contig:89:1077.84:990,Contig:102:140.605:5p:1:4:361,Contig:102:140.605:5p:1:9:198,Contig:102:140.605:5p:1:16:461,Contig:103:201.581:3p:1:21:443,Contig:103:201.581:3p:1:36:127,Contig:103:201.581:3p:1:45:170,Contig:103:201.581:3p:1:47:432,Contig:104:151.42:3p:1:3:737,Contig:104:151.42:3p:1:8:206,Contig:104:151.42:3p:1:13:349,Contig:104:151.42:3p:1:17:308,Contig:104:151.42:3p:1:18:308,Contig:104:151.42:3p:1:19:348,Contig:104:151.42:3p:1:20:206,Contig:104:151.42:3p:1:21:207,Contig:104:151.42:3p:1:23:175,Contig:105:1023.01:3p:1:11:362,Contig:107:151.777:3p:1:10:137,Contig:107:151.777:3p:1:19:469,Contig:107:151.777:3p:1:20:435,Contig:107:151.777:3p:1:22:239,Contig:107:151.777:3p:1:24:537	0	False	0
ecol-SAMN17807536	MOB_AD548	Contig:104:151.42:16619	4	0.0	-0.392716326	0.8411501834184267	MOB_AB243	Contig:3:3413.73:Circ:2257	5	0.0	0.49989045	18.606982473784683	0	0	0	0		1	False	0
ecol-SAMN17807536	MOB_AD548	Contig:104:151.42:16619	4	0.0	-0.392716326	0.8411501834184267	MOB_AB695	Contig:6:2746.77:Circ:2137	4	0.0	0.49988259999999995	14.806465289878105	0	0	0	0		1	False	0
ecol-SAMN17807536	MOB_AD548	Contig:104:151.42:16619	4	0.0	-0.392716326	0.8411501834184267	MOB_AG658	Contig:7:158.034:6444	4	0.0	0.13224256	0.8680782483079199	4	-0.28390212287441796	4.978997854	0.19889163567131618	Contig:105:1023.01:283,Contig:116:402.756:1165,Contig:117:4017.99:1329,Contig:120:243.207:1008,Contig:25:154.26:6464,Contig:40:368.369:833,Contig:42:171.94:3093,Contig:44:203.23:1224,Contig:56:322.167:1196,Contig:75:196.132:4006,Contig:86:164.628:366,Contig:89:1077.84:990,Contig:102:140.605:5p:1:4:361,Contig:102:140.605:5p:1:9:198,Contig:102:140.605:5p:1:16:461,Contig:103:201.581:3p:1:21:443,Contig:104:151.42:3p:1:3:737,Contig:104:151.42:3p:1:8:206,Contig:104:151.42:3p:1:13:349,Contig:104:151.42:3p:1:17:308,Contig:104:151.42:3p:1:18:308,Contig:104:151.42:3p:1:19:348,Contig:104:151.42:3p:1:20:206,Contig:104:151.42:3p:1:21:207,Contig:104:151.42:3p:1:23:175,Contig:105:1023.01:3p:1:9:154,Contig:105:1023.01:3p:1:11:362,Contig:105:1023.01:3p:1:12:209,Contig:105:1023.01:5p:1:16:725,Contig:107:151.777:3p:1:10:137,Contig:107:151.777:3p:1:19:469,Contig:107:151.777:3p:1:20:435,Contig:107:151.777:3p:1:22:239,Contig:107:151.777:3p:1:24:537	0	False	0
ecol-SAMN17807536	MOB_AD548	Contig:104:151.42:16619	4	0.0	-0.392716326	0.8411501834184267	MOB_novel_bab4305df081434409122387abf2fa63	Contig:94:144.152:3801	5	0.0	-0.34566653	0.7763979073526445	4	-0.5205884384705893	4.175052604	0.20333574043936614	Contig:105:1023.01:283,Contig:116:402.756:1165,Contig:117:4017.99:1329,Contig:120:243.207:1008,Contig:25:154.26:6464,Contig:40:368.369:833,Contig:42:171.94:3093,Contig:44:203.23:1224,Contig:56:322.167:1196,Contig:75:196.132:4006,Contig:86:164.628:366,Contig:89:1077.84:990,Contig:102:140.605:5p:1:4:361,Contig:102:140.605:5p:1:9:198,Contig:102:140.605:5p:1:16:461,Contig:103:201.581:3p:1:21:443,Contig:104:151.42:3p:1:3:737,Contig:104:151.42:3p:1:8:206,Contig:104:151.42:3p:1:13:349,Contig:104:151.42:3p:1:17:308,Contig:104:151.42:3p:1:18:308,Contig:104:151.42:3p:1:19:348,Contig:104:151.42:3p:1:20:206,Contig:104:151.42:3p:1:21:207,Contig:104:151.42:3p:1:23:175,Contig:105:1023.01:3p:1:9:154,Contig:105:1023.01:3p:1:11:362,Contig:105:1023.01:5p:1:16:725,Contig:107:151.777:3p:1:10:137,Contig:107:151.777:3p:1:19:469,Contig:107:151.777:3p:1:20:435,Contig:107:151.777:3p:1:22:239,Contig:107:151.777:3p:1:24:537	0	False	0
ecol-SAMN17807536	MOB_AA374	Contig:114:182.283:8924,Contig:117:4017.99:1329,Contig:120:243.207:1008,Contig:12:146.517:11932,Contig:17:155.07:18325,Contig:18:121.832:3719,Contig:23:151.095:1523,Contig:25:154.26:6464,Contig:32:188.578:1834,Contig:38:158.824:6022,Contig:42:171.94:3093,Contig:56:322.167:1196,Contig:58:166.726:2016,Contig:63:372.5:2769,Contig:73:219.92:2807,Contig:75:196.132:4006,Contig:76:172.715:4237,Contig:77:436.053:1347,Contig:80:138.814:9141,Contig:91:152.939:2360,Contig:95:143.747:5257,Contig:9:180.272:5719	4	-1.102633139686215	-4.104455995	0.6760258118488218	MOB_AB043	Contig:2:3985.82:Circ:1917	4	0.0	0.49988913999999995	21.247043740261795	0	0	0	0		1	False	0
ecol-SAMN17807536	MOB_AA374	Contig:114:182.283:8924,Contig:117:4017.99:1329,Contig:120:243.207:1008,Contig:12:146.517:11932,Contig:17:155.07:18325,Contig:18:121.832:3719,Contig:23:151.095:1523,Contig:25:154.26:6464,Contig:32:188.578:1834,Contig:38:158.824:6022,Contig:42:171.94:3093,Contig:56:322.167:1196,Contig:58:166.726:2016,Contig:63:372.5:2769,Contig:73:219.92:2807,Contig:75:196.132:4006,Contig:76:172.715:4237,Contig:77:436.053:1347,Contig:80:138.814:9141,Contig:91:152.939:2360,Contig:95:143.747:5257,Contig:9:180.272:5719	4	-1.102633139686215	-4.104455995	0.6760258118488218	MOB_AA747	Contig:31:166.197:8363,Contig:61:121.765:101837	4	0.0	-0.9150649065	0.6912546072377309	4	-1.38992588053374	-1.5434907004999985	0.6760258118483762	Contig:116:402.756:1165,Contig:39:187.365:57059,Contig:40:368.369:833,Contig:44:203.23:1224,Contig:89:1077.84:990,Contig:102:140.605:5p:1:4:361,Contig:102:140.605:5p:1:9:198,Contig:102:140.605:5p:1:16:461,Contig:103:201.581:3p:1:21:443,Contig:104:151.42:3p:1:13:349,Contig:104:151.42:3p:1:18:308,Contig:104:151.42:3p:1:19:348,Contig:104:151.42:3p:1:20:206,Contig:104:151.42:3p:1:21:207,Contig:104:151.42:3p:1:23:175,Contig:107:151.777:3p:1:10:137,Contig:107:151.777:3p:1:19:469,Contig:107:151.777:3p:1:20:435,Contig:107:151.777:3p:1:22:239,Contig:107:151.777:3p:1:24:537	0	False	0
ecol-SAMN17807536	MOB_AA374	Contig:114:182.283:8924,Contig:117:4017.99:1329,Contig:120:243.207:1008,Contig:12:146.517:11932,Contig:17:155.07:18325,Contig:18:121.832:3719,Contig:23:151.095:1523,Contig:25:154.26:6464,Contig:32:188.578:1834,Contig:38:158.824:6022,Contig:42:171.94:3093,Contig:56:322.167:1196,Contig:58:166.726:2016,Contig:63:372.5:2769,Contig:73:219.92:2807,Contig:75:196.132:4006,Contig:76:172.715:4237,Contig:77:436.053:1347,Contig:80:138.814:9141,Contig:91:152.939:2360,Contig:95:143.747:5257,Contig:9:180.272:5719	4	-1.102633139686215	-4.104455995	0.6760258118488218	MOB_AB243	Contig:3:3413.73:Circ:2257	5	0.0	0.49989045	18.606982473784683	0	0	0	0		1	False	0
