SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
abau-SAMN36766187	PBF_P1	Contig:1:309.806:Circ:8731	4	0.0	0.4920940673908768	4.904486181992614	PBF_P2	Contig:48:56.2626:3p:1:2:154,Contig:41:54.1766:72718,Contig:48:56.2626:3p:1:8:1388,Contig:48:56.2626:134264,Contig:5:58.1392:1574,Contig:16:59.8178:3p:1:41:1180,Contig:48:56.2626:3p:1:16:208	4	-0.008363280889856883	1.5288386746749896	0.870061330331134	0	0	0	0		1	False	0
abau-SAMN36766187	PBF_P1	Contig:1:309.806:Circ:8731	4	0.0	0.4920940673908768	4.904486181992614	PBF_P3	Contig:48:56.2626:3p:1:8:1388,Contig:65:57.5247:17794	4	0.0	0.756413577437144	0.9774670045935827	0	0	0	0		1	False	0
abau-SAMN36766187	PBF_P1	Contig:1:309.806:Circ:8731	4	0.0	0.4920940673908768	4.904486181992614	PBF_P4	Contig:57:62.8882:3565	5	0.0	0.3567922273166495	0.9989456298873302	0	0	0	0		1	False	0
abau-SAMN36766187	PBF_P1	Contig:1:309.806:Circ:8731	4	0.0	0.4920940673908768	4.904486181992614	PBF_P5	Contig:59:59.508:148186,Contig:48:56.2626:3p:1:2:154,Contig:21:58.1783:3654,Contig:9:59.1193:21914,Contig:6:58.7435:2849,Contig:48:56.2626:3p:1:8:1388,Contig:16:59.8178:3p:1:41:1180,Contig:28:523.434:1087,Contig:52:124.969:571,Contig:19:120.268:2606,Contig:48:56.2626:3p:1:16:208	4	-0.008363280889856883	0.5075783255455544	0.9187416176203784	0	0	0	0		1	False	0
abau-SAMN36766187	PBF_P2	Contig:48:56.2626:3p:1:2:154,Contig:41:54.1766:72718,Contig:48:56.2626:3p:1:8:1388,Contig:48:56.2626:134264,Contig:5:58.1392:1574,Contig:16:59.8178:3p:1:41:1180,Contig:48:56.2626:3p:1:16:208	4	-0.008363280889856883	1.5288386746749896	0.870061330331134	PBF_P3	Contig:48:56.2626:3p:1:8:1388,Contig:65:57.5247:17794	4	0.0	0.756413577437144	0.9774670045935827	4	-0.008363280889856883	2.2852522521121337	0.8700613303317368		0	True	0
abau-SAMN36766187	PBF_P2	Contig:48:56.2626:3p:1:2:154,Contig:41:54.1766:72718,Contig:48:56.2626:3p:1:8:1388,Contig:48:56.2626:134264,Contig:5:58.1392:1574,Contig:16:59.8178:3p:1:41:1180,Contig:48:56.2626:3p:1:16:208	4	-0.008363280889856883	1.5288386746749896	0.870061330331134	PBF_P4	Contig:57:62.8882:3565	5	0.0	0.3567922273166495	0.9989456298873302	4	-0.02187604344465821	1.885630901991639	0.8700613303317368		0	False	0
abau-SAMN36766187	PBF_P2	Contig:48:56.2626:3p:1:2:154,Contig:41:54.1766:72718,Contig:48:56.2626:3p:1:8:1388,Contig:48:56.2626:134264,Contig:5:58.1392:1574,Contig:16:59.8178:3p:1:41:1180,Contig:48:56.2626:3p:1:16:208	4	-0.008363280889856883	1.5288386746749896	0.870061330331134	PBF_P5	Contig:59:59.508:148186,Contig:48:56.2626:3p:1:2:154,Contig:21:58.1783:3654,Contig:9:59.1193:21914,Contig:6:58.7435:2849,Contig:48:56.2626:3p:1:8:1388,Contig:16:59.8178:3p:1:41:1180,Contig:28:523.434:1087,Contig:52:124.969:571,Contig:19:120.268:2606,Contig:48:56.2626:3p:1:16:208	4	-0.008363280889856883	0.5075783255455544	0.9187416176203784	4	-0.016726561779713767	2.3494620980850667	0.8700613303317368	Contig:40:95.301:1273	0	True	0
abau-SAMN36766187	PBF_P3	Contig:48:56.2626:3p:1:8:1388,Contig:65:57.5247:17794	4	0.0	0.756413577437144	0.9774670045935827	PBF_P4	Contig:57:62.8882:3565	5	0.0	0.3567922273166495	0.9989456298873302	0	0	0	0		1	False	0
abau-SAMN36766187	PBF_P3	Contig:48:56.2626:3p:1:8:1388,Contig:65:57.5247:17794	4	0.0	0.756413577437144	0.9774670045935827	PBF_P5	Contig:59:59.508:148186,Contig:48:56.2626:3p:1:2:154,Contig:21:58.1783:3654,Contig:9:59.1193:21914,Contig:6:58.7435:2849,Contig:48:56.2626:3p:1:8:1388,Contig:16:59.8178:3p:1:41:1180,Contig:28:523.434:1087,Contig:52:124.969:571,Contig:19:120.268:2606,Contig:48:56.2626:3p:1:16:208	4	-0.008363280889856883	0.5075783255455544	0.9187416176203784	4	-0.008363280889856883	1.2639919029826983	0.9187416176209808		0	True	0
abau-SAMN36766187	PBF_P4	Contig:57:62.8882:3565	5	0.0	0.3567922273166495	0.9989456298873302	PBF_P5	Contig:59:59.508:148186,Contig:48:56.2626:3p:1:2:154,Contig:21:58.1783:3654,Contig:9:59.1193:21914,Contig:6:58.7435:2849,Contig:48:56.2626:3p:1:8:1388,Contig:16:59.8178:3p:1:41:1180,Contig:28:523.434:1087,Contig:52:124.969:571,Contig:19:120.268:2606,Contig:48:56.2626:3p:1:16:208	4	-0.008363280889856883	0.5075783255455544	0.9187416176203784	0	0	0	0		1	False	0
