SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN15488600	PBF_P1	73:7430	4	0.0	0.35643128919494405	44.68343771494291	PBF_P2	64:14051,110:820,95:1551	5	-0.004350658955619757	0.651639839981157	9.72942338845172	5	-0.5156408384836769	1.8170553384837742	0.7409887205412815	76:6291,94:1560,102:1232,105:1071,139:207,150:165,151:164,160:129	0	False	0
ecol-SAMN15488600	PBF_P1	73:7430	4	0.0	0.35643128919494405	44.68343771494291	PBF_P3	167:112,100:1353,113:774,148:167,143:199,134:235,105:1071,150:165,83:3858,168:105,132:236,166:112	4	-0.12285432566298085	0.75970315733254	7.235705079016395	4	-0.15142635361394716	1.116134446527484	5.072646936390811	120:482	0	False	0
ecol-SAMN15488600	PBF_P1	73:7430	4	0.0	0.35643128919494405	44.68343771494291	PBF_P4	133:236,78:4891,95:1551	5	0.0	0.724939536784809	5.399946837588834	5	-0.49405121167401794	1.4127077126678491	2.475298789788212	76:6291,94:1560,105:1071,107:1013,115:748,139:207,142:199,160:129	0	False	0
ecol-SAMN15488600	PBF_P1	73:7430	4	0.0	0.35643128919494405	44.68343771494291	PBF_P5	55:17645	4	0.0	0.21236175467919705	4.636494654547285	4	-0.028572027950966306	0.5687930438741411	4.636494654547278	120:482	0	False	0
ecol-SAMN15488600	PBF_P1	73:7430	4	0.0	0.35643128919494405	44.68343771494291	PBF_P6	160:129,94:1560,77:5832,76:6291,113:774,127:306,105:1071,150:165,139:207,168:105,166:112	4	-0.36159609866990283	0.885795519554049	0.804370600197726	4	-0.36159609866990283	1.2422268087489932	0.8043706001972168		0	False	0
ecol-SAMN15488600	PBF_P2	64:14051,110:820,95:1551	5	-0.004350658955619757	0.651639839981157	9.72942338845172	PBF_P3	167:112,100:1353,113:774,148:167,143:199,134:235,105:1071,150:165,83:3858,168:105,132:236,166:112	4	-0.12285432566298085	0.75970315733254	7.235705079016395	4	-0.5620189132218356	1.411342997313697	7.235705079016043		0	False	0
ecol-SAMN15488600	PBF_P2	64:14051,110:820,95:1551	5	-0.004350658955619757	0.651639839981157	9.72942338845172	PBF_P4	133:236,78:4891,95:1551	5	0.0	0.724939536784809	5.399946837588834	5	-0.004350658955619757	1.376579376765966	5.399946837589596		0	True	0
ecol-SAMN15488600	PBF_P2	64:14051,110:820,95:1551	5	-0.004350658955619757	0.651639839981157	9.72942338845172	PBF_P5	55:17645	4	0.0	0.21236175467919705	4.636494654547285	5	-0.3579024891666104	1.1154333747570808	1.0233765263437817	19:87426,76:6291,94:1560,105:1071,113:774,127:306,139:207,150:165,160:129	0	False	0
ecol-SAMN15488600	PBF_P2	64:14051,110:820,95:1551	5	-0.004350658955619757	0.651639839981157	9.72942338845172	PBF_P6	160:129,94:1560,77:5832,76:6291,113:774,127:306,105:1071,150:165,139:207,168:105,166:112	4	-0.36159609866990283	0.885795519554049	0.804370600197726	5	-0.4135703845321313	1.537435359535206	0.8043706001972168	126:329	0	False	0
ecol-SAMN15488600	PBF_P3	167:112,100:1353,113:774,148:167,143:199,134:235,105:1071,150:165,83:3858,168:105,132:236,166:112	4	-0.12285432566298085	0.75970315733254	7.235705079016395	PBF_P4	133:236,78:4891,95:1551	5	0.0	0.724939536784809	5.399946837588834	5	-0.6066880652694415	1.484642694117349	5.3807883082808985	126:329	0	False	0
ecol-SAMN15488600	PBF_P3	167:112,100:1353,113:774,148:167,143:199,134:235,105:1071,150:165,83:3858,168:105,132:236,166:112	4	-0.12285432566298085	0.75970315733254	7.235705079016395	PBF_P5	55:17645	4	0.0	0.21236175467919705	4.636494654547285	4	-0.12285432566298085	0.9720649120117371	4.636494654547278		0	False	0
ecol-SAMN15488600	PBF_P3	167:112,100:1353,113:774,148:167,143:199,134:235,105:1071,150:165,83:3858,168:105,132:236,166:112	4	-0.12285432566298085	0.75970315733254	7.235705079016395	PBF_P6	160:129,94:1560,77:5832,76:6291,113:774,127:306,105:1071,150:165,139:207,168:105,166:112	4	-0.36159609866990283	0.885795519554049	0.804370600197726	4	-0.48445042433288366	1.672718438344307	0.8043706001972168	91:2429	0	True	0
ecol-SAMN15488600	PBF_P4	133:236,78:4891,95:1551	5	0.0	0.724939536784809	5.399946837588834	PBF_P5	55:17645	4	0.0	0.21236175467919705	4.636494654547285	5	-0.42550673907936715	0.7433226067853951	1.9703060369283776	105:1071,107:1013,113:774,115:748,142:199	0	False	0
ecol-SAMN15488600	PBF_P4	133:236,78:4891,95:1551	5	0.0	0.724939536784809	5.399946837588834	PBF_P6	160:129,94:1560,77:5832,76:6291,113:774,127:306,105:1071,150:165,139:207,168:105,166:112	4	-0.36159609866990283	0.885795519554049	0.804370600197726	5	-0.40921972557651154	1.610735056338858	0.8043706002026738	126:329	0	False	0
ecol-SAMN15488600	PBF_P5	55:17645	4	0.0	0.21236175467919705	4.636494654547285	PBF_P6	160:129,94:1560,77:5832,76:6291,113:774,127:306,105:1071,150:165,139:207,168:105,166:112	4	-0.36159609866990283	0.885795519554049	0.804370600197726	4	-0.36159609866990283	1.098157274233246	0.8043706001972168		0	False	0
