SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
abau-SAMN12286998	PBF_P1	Contig:52:2217.77:3172,Contig:74:3222.71:946	4	0.0	0.9999705	21.21595647773569	PBF_P2	Contig:64:1741.02:5815	4	0.0	0.49998010000000004	16.814703166475116	4	0.0	1.4999506	16.814703166475738		0	False	0
abau-SAMN12286998	PBF_P1	Contig:52:2217.77:3172,Contig:74:3222.71:946	4	0.0	0.9999705	21.21595647773569	PBF_P3	Contig:58:99.1085:58546,Contig:84:286.239:3p:1:27:104,Contig:84:286.239:423,Contig:84:286.239:3p:1:16:102,Contig:84:286.239:3p:1:19:180	4	-0.011071812771857814	2.3591304600000003	0.9994651141650073	0	0	0	0		1	False	0
abau-SAMN12286998	PBF_P1	Contig:52:2217.77:3172,Contig:74:3222.71:946	4	0.0	0.9999705	21.21595647773569	PBF_P4	Contig:35:195.572:26729,Contig:104:100.491:3p:1:5:105	4	0.0	0.26522804	1.99518515091122	0	0	0	0		1	False	0
abau-SAMN12286998	PBF_P1	Contig:52:2217.77:3172,Contig:74:3222.71:946	4	0.0	0.9999705	21.21595647773569	PBF_P5	Contig:72:36.1354:4540	4	0.0	0.15610060000000003	0.3550216985186716	0	0	0	0		1	False	0
abau-SAMN12286998	PBF_P2	Contig:64:1741.02:5815	4	0.0	0.49998010000000004	16.814703166475116	PBF_P3	Contig:58:99.1085:58546,Contig:84:286.239:3p:1:27:104,Contig:84:286.239:423,Contig:84:286.239:3p:1:16:102,Contig:84:286.239:3p:1:19:180	4	-0.011071812771857814	2.3591304600000003	0.9994651141650073	0	0	0	0		1	False	0
abau-SAMN12286998	PBF_P2	Contig:64:1741.02:5815	4	0.0	0.49998010000000004	16.814703166475116	PBF_P4	Contig:35:195.572:26729,Contig:104:100.491:3p:1:5:105	4	0.0	0.26522804	1.99518515091122	0	0	0	0		1	False	0
abau-SAMN12286998	PBF_P2	Contig:64:1741.02:5815	4	0.0	0.49998010000000004	16.814703166475116	PBF_P5	Contig:72:36.1354:4540	4	0.0	0.15610060000000003	0.3550216985186716	0	0	0	0		1	False	0
abau-SAMN12286998	PBF_P3	Contig:58:99.1085:58546,Contig:84:286.239:3p:1:27:104,Contig:84:286.239:423,Contig:84:286.239:3p:1:16:102,Contig:84:286.239:3p:1:19:180	4	-0.011071812771857814	2.3591304600000003	0.9994651141650073	PBF_P4	Contig:35:195.572:26729,Contig:104:100.491:3p:1:5:105	4	0.0	0.26522804	1.99518515091122	4	-0.011071812771857814	1.6735456100000003	0.9875711054173735	Contig:17:96.6422:196533,Contig:17:96.6422:3p:1:2:169,Contig:17:96.6422:3p:1:11:104,Contig:17:96.6422:5p:1:3:131	0	False	0
abau-SAMN12286998	PBF_P3	Contig:58:99.1085:58546,Contig:84:286.239:3p:1:27:104,Contig:84:286.239:423,Contig:84:286.239:3p:1:16:102,Contig:84:286.239:3p:1:19:180	4	-0.011071812771857814	2.3591304600000003	0.9994651141650073	PBF_P5	Contig:72:36.1354:4540	4	0.0	0.15610060000000003	0.3550216985186716	0	0	0	0		1	False	0
abau-SAMN12286998	PBF_P4	Contig:35:195.572:26729,Contig:104:100.491:3p:1:5:105	4	0.0	0.26522804	1.99518515091122	PBF_P5	Contig:72:36.1354:4540	4	0.0	0.15610060000000003	0.3550216985186716	0	0	0	0		1	False	0
