SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
efae-SAMN36766196	MOB_AD269	104:4178,62:13908	3	-0.009654777073431237	0.5754	0.9403767729409015	MOB_AC731	105:4168,106:3958,108:3932,110:3589,116:2470,120:2382,123:2106,127:1678,133:1514,134:1514,136:1502,138:1477,139:1466,141:1419,142:1416,143:1390,145:1248,148:1099,59:14401,65:13351,66:13313,67:12659,89:6069,90:5881,91:5455,97:5124	4	-0.053049408503670015	4.049200000000001	0.8880126687110496	4	-0.1099255131187479	7.1276	0.8677960611585143	80:8299,83:6848,100:4523,121:2354,131:1572,135:1512,144:1309,149:1074,151:1040,153:978,154:948,164:704,166:674,170:623,173:602,175:548,177:533,179:523,183:498,187:480,193:453,202:348,203:334,210:283,224:231,225:229,228:212,232:206,235:199,244:163,252:142,260:123,261:120,265:115,267:111,271:108	0	False	0
efae-SAMN36766196	MOB_AD269	104:4178,62:13908	3	-0.009654777073431237	0.5754	0.9403767729409015	MOB_AB173	107:3933,137:1500,85:6404	4	0.0	0.4406000000000001	0.8056327199942658	4	-0.03187643707910387	5.9198	0.05758846458229527	39:25262,52:17109,72:11472,76:9705,80:8299,83:6848,86:6385,89:6069,97:5124,100:4523,108:3932,110:3589,116:2470,120:2382,125:1714,135:1512,138:1477,141:1419,144:1309,145:1248,148:1099,149:1074,151:1040,153:978,154:948,158:798,162:755,163:715,173:602,174:565,175:548,179:523,180:515,183:498,184:493,185:492,190:458,194:446,195:445,203:334,209:283,210:283,221:233,224:231,225:229,228:212,230:209,234:202,237:188,245:160,246:155,248:150,250:146,254:134,255:129,256:127,257:125,262:117,264:115,270:110	0	False	0
efae-SAMN36766196	MOB_AD269	104:4178,62:13908	3	-0.009654777073431237	0.5754	0.9403767729409015	MOB_AD909	111:3431,115:2495,149:1074,39:25262,72:11472,76:9705,80:8299,86:6385	4	-0.010476702325420445	1.8087999999999997	0.8083825058686742	4	-0.05414886904413593	6.477399999999997	0.0900020824537932	52:17109,83:6848,89:6069,97:5124,100:4523,108:3932,116:2470,120:2382,131:1572,134:1514,135:1512,138:1477,141:1419,144:1309,145:1248,148:1099,151:1040,153:978,154:948,162:755,163:715,166:674,170:623,173:602,174:565,176:534,177:533,179:523,180:515,181:502,183:498,187:480,190:458,193:453,194:446,195:445,203:334,208:286,210:283,221:233,224:231,225:229,230:209,232:206,234:202,235:199,237:188,246:155,255:129,261:120,265:115,270:110	0	False	0
efae-SAMN36766196	MOB_AD269	104:4178,62:13908	3	-0.009654777073431237	0.5754	0.9403767729409015	MOB_AB756	117:2461,121:2354,135:1512,144:1309,151:1040,83:6848	4	-0.0063172608409412245	1.2172	0.9083974449866233	4	-0.027036231635477748	5.600399999999998	0.05758846458229527	39:25262,76:9705,80:8299,86:6385,89:6069,91:5455,97:5124,100:4523,108:3932,120:2382,125:1714,138:1477,145:1248,148:1099,149:1074,153:978,154:948,158:798,166:674,170:623,173:602,174:565,177:533,179:523,180:515,183:498,187:480,190:458,195:445,203:334,210:283,224:231,225:229,228:212,232:206,237:188,245:160,246:155,248:150,250:146,254:134,255:129,261:120,262:117,265:115,270:110	0	False	0
efae-SAMN36766196	MOB_AD269	104:4178,62:13908	3	-0.009654777073431237	0.5754	0.9403767729409015	MOB_AA893	87:6174	4	0.0	0.22619999999999996	17.83533843644451	0	0	0	0		1	False	0
efae-SAMN36766196	MOB_AC731	105:4168,106:3958,108:3932,110:3589,116:2470,120:2382,123:2106,127:1678,133:1514,134:1514,136:1502,138:1477,139:1466,141:1419,142:1416,143:1390,145:1248,148:1099,59:14401,65:13351,66:13313,67:12659,89:6069,90:5881,91:5455,97:5124	4	-0.053049408503670015	4.049200000000001	0.8880126687110496	MOB_AB173	107:3933,137:1500,85:6404	4	0.0	0.4406000000000001	0.8056327199942658	4	-0.07883778941652772	6.910000000000002	0.8056327199938095	80:8299,83:6848,86:6385,100:4523,121:2354,125:1714,131:1572,135:1512,144:1309,149:1074,151:1040,153:978,154:948,162:755,163:715,164:704,166:674,170:623,175:548,176:534,177:533,179:523,183:498,187:480,193:453,194:446,202:348,203:334,208:286,210:283,221:233,224:231,225:229,229:210,232:206,233:202,244:163,245:160,248:150,250:146,252:142,260:123,261:120,262:117,265:115,267:111,271:108	0	False	0
efae-SAMN36766196	MOB_AC731	105:4168,106:3958,108:3932,110:3589,116:2470,120:2382,123:2106,127:1678,133:1514,134:1514,136:1502,138:1477,139:1466,141:1419,142:1416,143:1390,145:1248,148:1099,59:14401,65:13351,66:13313,67:12659,89:6069,90:5881,91:5455,97:5124	4	-0.053049408503670015	4.049200000000001	0.8880126687110496	MOB_AD909	111:3431,115:2495,149:1074,39:25262,72:11472,76:9705,80:8299,86:6385	4	-0.010476702325420445	1.8087999999999997	0.8083825058686742	4	-0.10141957097354151	7.888000000000002	0.8083825058693037	83:6848,121:2354,125:1714,131:1572,135:1512,144:1309,151:1040,153:978,154:948,156:852,159:780,164:704,166:674,170:623,175:548,177:533,179:523,183:498,187:480,193:453,203:334,210:283,224:231,225:229,232:206,260:123,261:120,265:115	0	False	0
efae-SAMN36766196	MOB_AC731	105:4168,106:3958,108:3932,110:3589,116:2470,120:2382,123:2106,127:1678,133:1514,134:1514,136:1502,138:1477,139:1466,141:1419,142:1416,143:1390,145:1248,148:1099,59:14401,65:13351,66:13313,67:12659,89:6069,90:5881,91:5455,97:5124	4	-0.053049408503670015	4.049200000000001	0.8880126687110496	MOB_AB756	117:2461,121:2354,135:1512,144:1309,151:1040,83:6848	4	-0.0063172608409412245	1.2172	0.9083974449866233	4	-0.05936666934461124	6.814399999999999	0.8880126687129364	80:8299,86:6385,100:4523,125:1714,149:1074,153:978,162:755,163:715,176:534,180:515,183:498,193:453,194:446,203:334,208:286,221:233,225:229,228:212,229:210,233:202,237:188,245:160,248:150,250:146,262:117	0	False	0
efae-SAMN36766196	MOB_AC731	105:4168,106:3958,108:3932,110:3589,116:2470,120:2382,123:2106,127:1678,133:1514,134:1514,136:1502,138:1477,139:1466,141:1419,142:1416,143:1390,145:1248,148:1099,59:14401,65:13351,66:13313,67:12659,89:6069,90:5881,91:5455,97:5124	4	-0.053049408503670015	4.049200000000001	0.8880126687110496	MOB_AA893	87:6174	4	0.0	0.22619999999999996	17.83533843644451	0	0	0	0		1	False	0
efae-SAMN36766196	MOB_AB173	107:3933,137:1500,85:6404	4	0.0	0.4406000000000001	0.8056327199942658	MOB_AD909	111:3431,115:2495,149:1074,39:25262,72:11472,76:9705,80:8299,86:6385	4	-0.010476702325420445	1.8087999999999997	0.8083825058686742	4	-0.05078390669978	6.206599999999996	0.09000208245379326	52:17109,66:13313,83:6848,89:6069,97:5124,100:4523,108:3932,120:2382,134:1514,135:1512,138:1477,141:1419,144:1309,145:1248,148:1099,151:1040,153:978,154:948,162:755,163:715,166:674,170:623,174:565,175:548,176:534,177:533,179:523,180:515,181:502,187:480,190:458,194:446,195:445,203:334,208:286,210:283,221:233,224:231,225:229,230:209,232:206,234:202,235:199,237:188,246:155,255:129,256:127,261:120,265:115,270:110	0	False	0
