SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
abau-SAMN27010270	PBF_P1	Contig:1:93.1918:Circ:8731	4	0.0	0.22719999999999996	1.8358813726424277	PBF_P2	Contig:153:1194.29:661,Contig:247:48.7533:8971,Contig:153:1194.29:5p:1:11:476	4	0.0	0.4142	1.0315834191927293	0	0	0	0		1	False	0
abau-SAMN27010270	PBF_P1	Contig:1:93.1918:Circ:8731	4	0.0	0.22719999999999996	1.8358813726424277	PBF_P3	Contig:502:50.4188:3842	4	0.0	0.16579999999999995	1.1354932634399293	0	0	0	0		1	False	0
abau-SAMN27010270	PBF_P1	Contig:1:93.1918:Circ:8731	4	0.0	0.22719999999999996	1.8358813726424277	PBF_P4	Contig:148:34.3912:2704	4	0.0	0.1764	0.7831449540318614	0	0	0	0		1	False	0
abau-SAMN27010270	PBF_P1	Contig:1:93.1918:Circ:8731	4	0.0	0.22719999999999996	1.8358813726424277	PBF_P5	Contig:493:15.0364:4688	4	0.0	0.22099999999999997	0.3368829506383386	0	0	0	0		1	False	0
abau-SAMN27010270	PBF_P1	Contig:1:93.1918:Circ:8731	4	0.0	0.22719999999999996	1.8358813726424277	PBF_P6	Contig:54:15.3843:3866	4	0.0	0.16400000000000003	0.3674407010447144	0	0	0	0		1	False	0
abau-SAMN27010270	PBF_P1	Contig:1:93.1918:Circ:8731	4	0.0	0.22719999999999996	1.8358813726424277	PBF_P7	Contig:520:15.7847:5144	4	0.0	0.14800000000000002	0.34657723456096384	0	0	0	0		1	False	0
abau-SAMN27010270	PBF_P1	Contig:1:93.1918:Circ:8731	4	0.0	0.22719999999999996	1.8358813726424277	PBF_P8	Contig:76:13.0602:4453	4	0.0	0.15900000000000003	0.292255656191583	0	0	0	0		1	False	0
abau-SAMN27010270	PBF_P1	Contig:1:93.1918:Circ:8731	4	0.0	0.22719999999999996	1.8358813726424277	PBF_P9	Contig:433:11.4307:3196	4	0.0	0.14739999999999998	0.26609596185153694	0	0	0	0		1	False	0
abau-SAMN27010270	PBF_P2	Contig:153:1194.29:661,Contig:247:48.7533:8971,Contig:153:1194.29:5p:1:11:476	4	0.0	0.4142	1.0315834191927293	PBF_P3	Contig:502:50.4188:3842	4	0.0	0.16579999999999995	1.1354932634399293	0	0	0	0		1	False	0
abau-SAMN27010270	PBF_P2	Contig:153:1194.29:661,Contig:247:48.7533:8971,Contig:153:1194.29:5p:1:11:476	4	0.0	0.4142	1.0315834191927293	PBF_P4	Contig:148:34.3912:2704	4	0.0	0.1764	0.7831449540318614	0	0	0	0		1	False	0
