SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN17214836	MOB_AB131	24:58518,26:42326,35:28722,38:25240,40:24452,49:13393,56:4541,61:3761,63:3378,69:2970,78:1400,80:1302,81:1278,82:1259,83:1258,85:1247,90:1046	4	-0.18731199672764712	1.2969999999999995	0.9001498253641118	MOB_AA002	29:40390,44:16630,70:2231,87:1201	4	-0.06488385961129625	1.892	0.5515429783505827	4	-0.6143569149637971	4.664999999999999	0.5515429783499712	52:7344,53:5873,54:5453,67:3070,88:1077,112:388,123:298,125:274,128:259,129:257	0	False	0
ecol-SAMN17214836	MOB_AB131	24:58518,26:42326,35:28722,38:25240,40:24452,49:13393,56:4541,61:3761,63:3378,69:2970,78:1400,80:1302,81:1278,82:1259,83:1258,85:1247,90:1046	4	-0.18731199672764712	1.2969999999999995	0.9001498253641118	MOB_AD306	30:31957	4	0.0	0.397	0.9529331419309346	4	-0.4593485473322299	3.9349999999999996	0.07237147689374979	44:16630,48:13773,54:5453,67:3070,87:1201,88:1077,91:976,112:388,123:298,128:259,129:257,155:175,185:128	0	False	0
ecol-SAMN17214836	MOB_AB131	24:58518,26:42326,35:28722,38:25240,40:24452,49:13393,56:4541,61:3761,63:3378,69:2970,78:1400,80:1302,81:1278,82:1259,83:1258,85:1247,90:1046	4	-0.18731199672764712	1.2969999999999995	0.9001498253641118	MOB_AA887	42:21949,43:17865,48:13773,58:3937,59:3841,74:1912,75:1767,77:1551,88:1077	5	-0.19087038407869597	2.8789999999999996	0.9326154033092928	5	-1.3323339687370546	5.132999999999999	0.9001498253637692	53:5873,67:3070,123:298,125:274,128:259,129:257	0	False	0
ecol-SAMN17214836	MOB_AB131	24:58518,26:42326,35:28722,38:25240,40:24452,49:13393,56:4541,61:3761,63:3378,69:2970,78:1400,80:1302,81:1278,82:1259,83:1258,85:1247,90:1046	4	-0.18731199672764712	1.2969999999999995	0.9001498253641118	MOB_AB158	45:15951,89:1048	4	-0.005017244188825154	0.721	0.9509678942590913	4	-0.4643657915210551	4.232999999999999	0.07237147689374979	44:16630,48:13773,54:5453,67:3070,87:1201,88:1077,91:976,93:907,112:388,123:298,128:259,129:257,155:175,185:128	0	False	0
ecol-SAMN17214836	MOB_AB131	24:58518,26:42326,35:28722,38:25240,40:24452,49:13393,56:4541,61:3761,63:3378,69:2970,78:1400,80:1302,81:1278,82:1259,83:1258,85:1247,90:1046	4	-0.18731199672764712	1.2969999999999995	0.9001498253641118	MOB_AB044	60:3763	4	0.0	0.07699999999999996	23.315956418808838	4	-0.5292300411159154	3.3579999999999997	0.07237147689374979	44:16630,48:13773,51:7452,54:5453,64:3305,67:3070,87:1201,88:1077,91:976,109:411,112:388,123:298,128:259,129:257,139:219,155:175,185:128	0	False	0
ecol-SAMN17214836	MOB_AB131	24:58518,26:42326,35:28722,38:25240,40:24452,49:13393,56:4541,61:3761,63:3378,69:2970,78:1400,80:1302,81:1278,82:1259,83:1258,85:1247,90:1046	4	-0.18731199672764712	1.2969999999999995	0.9001498253641118	MOB_AA531	66:3223	5	0.0	0.48	28.86759546636434	0	0	0	0		1	False	0
ecol-SAMN17214836	MOB_AA002	29:40390,44:16630,70:2231,87:1201	4	-0.06488385961129625	1.892	0.5515429783505827	MOB_AD306	30:31957	4	0.0	0.397	0.9529331419309346	4	-0.4481014777183879	4.451	0.05766485971980728	24:58518,26:42326,35:28722,48:13773,53:5873,56:4541,86:1221,88:1077,112:388,123:298,125:274,128:259,129:257,139:219	0	False	0
ecol-SAMN17214836	MOB_AA002	29:40390,44:16630,70:2231,87:1201	4	-0.06488385961129625	1.892	0.5515429783505827	MOB_AA887	42:21949,43:17865,48:13773,58:3937,59:3841,74:1912,75:1767,77:1551,88:1077	5	-0.19087038407869597	2.8789999999999996	0.9326154033092928	5	-0.614115231783334	5.727999999999998	0.5515429783499712	53:5873,67:3070,123:298,125:274,128:259,129:257	0	False	0
ecol-SAMN17214836	MOB_AA002	29:40390,44:16630,70:2231,87:1201	4	-0.06488385961129625	1.892	0.5515429783505827	MOB_AB158	45:15951,89:1048	4	-0.005017244188825154	0.721	0.9509678942590913	4	-0.4531187219072131	4.749	0.05766485971980728	24:58518,26:42326,35:28722,48:13773,53:5873,56:4541,86:1221,88:1077,93:907,112:388,123:298,125:274,128:259,129:257,139:219	0	False	0
ecol-SAMN17214836	MOB_AA002	29:40390,44:16630,70:2231,87:1201	4	-0.06488385961129625	1.892	0.5515429783505827	MOB_AB044	60:3763	4	0.0	0.07699999999999996	23.315956418808838	4	-0.4835249558140491	3.703	0.05893524229031755	24:58518,26:42326,48:13773,53:5873,56:4541,86:1221,88:1077,91:976,112:388,123:298,125:274,128:259,129:257,139:219,142:206	0	False	0
