SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
kpne-SAMEA3357157	PBF_P1	Contig:20:384.147:5p:1:36:166,Contig:40:90.3398:3056,Contig:20:384.147:5p:1:30:111,Contig:38:94.3887:9852,Contig:9:99.4659:7807,Contig:46:98.8163:23172,Contig:4:90.7808:5187,Contig:20:384.147:5p:1:53:166,Contig:25:132.854:4271,Contig:43:100.783:87430,Contig:20:384.147:5p:1:24:166,Contig:5:98.559:2176,Contig:14:94.8486:23782,Contig:20:384.147:5p:1:25:134,Contig:13:99.5315:53856,Contig:20:384.147:5p:1:44:166,Contig:20:384.147:1336,Contig:6:93.1153:655,Contig:33:186.552:2852,Contig:27:96.7679:5295	5	-0.8584946577179307	8.573177849999999	1.0374413357148364	PBF_P2	Contig:20:384.147:5p:1:36:166,Contig:20:384.147:5p:1:44:166,Contig:5:98.559:2176,Contig:15:92.5939:25234,Contig:20:384.147:5p:1:30:111,Contig:4:90.7808:5187,Contig:20:384.147:1336,Contig:38:94.3887:9852,Contig:20:384.147:5p:1:53:166,Contig:25:132.854:4271,Contig:33:186.552:2852,Contig:27:96.7679:5295,Contig:20:384.147:5p:1:25:134,Contig:46:98.8163:23172,Contig:20:384.147:5p:1:24:166	4	-0.40596317485827205	6.81840743	1.1291785346336185	4	-1.2806460234231476	16.35777395	1.0374413357149024	Contig:20:384.147:5p:1:14:166,Contig:20:384.147:5p:1:17:153	0	True	0
kpne-SAMEA3357157	PBF_P1	Contig:20:384.147:5p:1:36:166,Contig:40:90.3398:3056,Contig:20:384.147:5p:1:30:111,Contig:38:94.3887:9852,Contig:9:99.4659:7807,Contig:46:98.8163:23172,Contig:4:90.7808:5187,Contig:20:384.147:5p:1:53:166,Contig:25:132.854:4271,Contig:43:100.783:87430,Contig:20:384.147:5p:1:24:166,Contig:5:98.559:2176,Contig:14:94.8486:23782,Contig:20:384.147:5p:1:25:134,Contig:13:99.5315:53856,Contig:20:384.147:5p:1:44:166,Contig:20:384.147:1336,Contig:6:93.1153:655,Contig:33:186.552:2852,Contig:27:96.7679:5295	5	-0.8584946577179307	8.573177849999999	1.0374413357148364	PBF_P3	Contig:1:362.073:Circ:24412	4	0.0	0.49997800000000003	4.455726125222001	0	0	0	0		1	False	0
kpne-SAMEA3357157	PBF_P1	Contig:20:384.147:5p:1:36:166,Contig:40:90.3398:3056,Contig:20:384.147:5p:1:30:111,Contig:38:94.3887:9852,Contig:9:99.4659:7807,Contig:46:98.8163:23172,Contig:4:90.7808:5187,Contig:20:384.147:5p:1:53:166,Contig:25:132.854:4271,Contig:43:100.783:87430,Contig:20:384.147:5p:1:24:166,Contig:5:98.559:2176,Contig:14:94.8486:23782,Contig:20:384.147:5p:1:25:134,Contig:13:99.5315:53856,Contig:20:384.147:5p:1:44:166,Contig:20:384.147:1336,Contig:6:93.1153:655,Contig:33:186.552:2852,Contig:27:96.7679:5295	5	-0.8584946577179307	8.573177849999999	1.0374413357148364	PBF_P4	Contig:20:384.147:5p:1:36:166,Contig:15:92.5939:25234,Contig:20:384.147:5p:1:30:111,Contig:20:384.147:1336,Contig:38:94.3887:9852,Contig:20:384.147:5p:1:14:166,Contig:25:132.854:4271,Contig:20:384.147:5p:1:17:153,Contig:20:384.147:5p:1:25:134,Contig:20:384.147:5p:1:24:166	4	-0.3232110358485301	4.55290043	1.1291785346336185	4	-1.1960041528446872	13.56342888	1.0374413357149024	Contig:45:99.5757:1395	0	True	0
kpne-SAMEA3357157	PBF_P1	Contig:20:384.147:5p:1:36:166,Contig:40:90.3398:3056,Contig:20:384.147:5p:1:30:111,Contig:38:94.3887:9852,Contig:9:99.4659:7807,Contig:46:98.8163:23172,Contig:4:90.7808:5187,Contig:20:384.147:5p:1:53:166,Contig:25:132.854:4271,Contig:43:100.783:87430,Contig:20:384.147:5p:1:24:166,Contig:5:98.559:2176,Contig:14:94.8486:23782,Contig:20:384.147:5p:1:25:134,Contig:13:99.5315:53856,Contig:20:384.147:5p:1:44:166,Contig:20:384.147:1336,Contig:6:93.1153:655,Contig:33:186.552:2852,Contig:27:96.7679:5295	5	-0.8584946577179307	8.573177849999999	1.0374413357148364	PBF_P5	Contig:15:92.5939:25234,Contig:20:384.147:1336,Contig:20:384.147:5p:1:25:134,Contig:20:384.147:5p:1:24:166	4	-0.06857743725329801	1.6860704999999998	1.1291785346336185	4	-0.9432602858181736	11.22543702	1.0374413357149024	Contig:20:384.147:5p:1:14:166,Contig:20:384.147:5p:1:17:153	0	True	0
kpne-SAMEA3357157	PBF_P1	Contig:20:384.147:5p:1:36:166,Contig:40:90.3398:3056,Contig:20:384.147:5p:1:30:111,Contig:38:94.3887:9852,Contig:9:99.4659:7807,Contig:46:98.8163:23172,Contig:4:90.7808:5187,Contig:20:384.147:5p:1:53:166,Contig:25:132.854:4271,Contig:43:100.783:87430,Contig:20:384.147:5p:1:24:166,Contig:5:98.559:2176,Contig:14:94.8486:23782,Contig:20:384.147:5p:1:25:134,Contig:13:99.5315:53856,Contig:20:384.147:5p:1:44:166,Contig:20:384.147:1336,Contig:6:93.1153:655,Contig:33:186.552:2852,Contig:27:96.7679:5295	5	0	0	0	PBF_P6	Contig:20:384.147:5p:1:44:166,Contig:4:90.7808:5187,Contig:20:384.147:1336,Contig:20:384.147:5p:1:53:166,Contig:46:98.8163:23172	4	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMEA3357157	PBF_P2	Contig:20:384.147:5p:1:36:166,Contig:20:384.147:5p:1:44:166,Contig:5:98.559:2176,Contig:15:92.5939:25234,Contig:20:384.147:5p:1:30:111,Contig:4:90.7808:5187,Contig:20:384.147:1336,Contig:38:94.3887:9852,Contig:20:384.147:5p:1:53:166,Contig:25:132.854:4271,Contig:33:186.552:2852,Contig:27:96.7679:5295,Contig:20:384.147:5p:1:25:134,Contig:46:98.8163:23172,Contig:20:384.147:5p:1:24:166	4	-0.40596317485827205	6.81840743	1.1291785346336185	PBF_P3	Contig:1:362.073:Circ:24412	4	0.0	0.49997800000000003	4.455726125222001	0	0	0	0		1	False	0
kpne-SAMEA3357157	PBF_P2	Contig:20:384.147:5p:1:36:166,Contig:20:384.147:5p:1:44:166,Contig:5:98.559:2176,Contig:15:92.5939:25234,Contig:20:384.147:5p:1:30:111,Contig:4:90.7808:5187,Contig:20:384.147:1336,Contig:38:94.3887:9852,Contig:20:384.147:5p:1:53:166,Contig:25:132.854:4271,Contig:33:186.552:2852,Contig:27:96.7679:5295,Contig:20:384.147:5p:1:25:134,Contig:46:98.8163:23172,Contig:20:384.147:5p:1:24:166	4	-0.40596317485827205	6.81840743	1.1291785346336185	PBF_P4	Contig:20:384.147:5p:1:36:166,Contig:15:92.5939:25234,Contig:20:384.147:5p:1:30:111,Contig:20:384.147:1336,Contig:38:94.3887:9852,Contig:20:384.147:5p:1:14:166,Contig:25:132.854:4271,Contig:20:384.147:5p:1:17:153,Contig:20:384.147:5p:1:25:134,Contig:20:384.147:5p:1:24:166	4	-0.3232110358485301	4.55290043	1.1291785346336185	4	-0.7291742107068022	11.80865846	1.1291785346329561	Contig:45:99.5757:1395	0	True	0
kpne-SAMEA3357157	PBF_P2	Contig:20:384.147:5p:1:36:166,Contig:20:384.147:5p:1:44:166,Contig:5:98.559:2176,Contig:15:92.5939:25234,Contig:20:384.147:5p:1:30:111,Contig:4:90.7808:5187,Contig:20:384.147:1336,Contig:38:94.3887:9852,Contig:20:384.147:5p:1:53:166,Contig:25:132.854:4271,Contig:33:186.552:2852,Contig:27:96.7679:5295,Contig:20:384.147:5p:1:25:134,Contig:46:98.8163:23172,Contig:20:384.147:5p:1:24:166	4	0	0	0	PBF_P5	Contig:15:92.5939:25234,Contig:20:384.147:1336,Contig:20:384.147:5p:1:25:134,Contig:20:384.147:5p:1:24:166	4	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMEA3357157	PBF_P2	Contig:20:384.147:5p:1:36:166,Contig:20:384.147:5p:1:44:166,Contig:5:98.559:2176,Contig:15:92.5939:25234,Contig:20:384.147:5p:1:30:111,Contig:4:90.7808:5187,Contig:20:384.147:1336,Contig:38:94.3887:9852,Contig:20:384.147:5p:1:53:166,Contig:25:132.854:4271,Contig:33:186.552:2852,Contig:27:96.7679:5295,Contig:20:384.147:5p:1:25:134,Contig:46:98.8163:23172,Contig:20:384.147:5p:1:24:166	4	0	0	0	PBF_P6	Contig:20:384.147:5p:1:44:166,Contig:4:90.7808:5187,Contig:20:384.147:1336,Contig:20:384.147:5p:1:53:166,Contig:46:98.8163:23172	4	0	0	0	0	0	0	0	[]	0	1	1
kpne-SAMEA3357157	PBF_P3	Contig:1:362.073:Circ:24412	4	0.0	0.49997800000000003	4.455726125222001	PBF_P4	Contig:20:384.147:5p:1:36:166,Contig:15:92.5939:25234,Contig:20:384.147:5p:1:30:111,Contig:20:384.147:1336,Contig:38:94.3887:9852,Contig:20:384.147:5p:1:14:166,Contig:25:132.854:4271,Contig:20:384.147:5p:1:17:153,Contig:20:384.147:5p:1:25:134,Contig:20:384.147:5p:1:24:166	4	-0.3232110358485301	4.55290043	1.1291785346336185	0	0	0	0		1	False	0
