SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
abau-SAMN32801359	MOB_AC715	112:2593,132:1274,138:1039,80:9771,99:3900	4	0.0	-0.5034	1.035921017040844	MOB_AC163	114:2402,64:14639	4	0.0	-0.08199999999999996	3.111430889910739	4	-0.053064340334544324	-0.04880000000000001	1.0359210170408915	116:2236,144:882,150:750,152:666,172:295,195:172,196:172	0	False	0
abau-SAMN32801359	MOB_AC715	112:2593,132:1274,138:1039,80:9771,99:3900	4	0.0	-0.5034	1.035921017040844	MOB_AE272	116:2236,37:45456,57:18918	4	0.0	-0.6074	0.989037598052475	4	-0.013253778059458626	-0.7700000000000001	0.989037598052164	144:882,152:666,195:172,196:172	0	False	0
abau-SAMN32801359	MOB_AC715	112:2593,132:1274,138:1039,80:9771,99:3900	4	0.0	-0.5034	1.035921017040844	MOB_AE271	35:49001,65:14032,69:12855,84:7752	4	0.0	-1.2953999999999999	0.9381530971057614	4	-0.013253778059458626	-1.3192	0.9381530971058964	116:2236,144:882,152:666,172:295,195:172,196:172	0	False	0
abau-SAMN32801359	MOB_AC715	112:2593,132:1274,138:1039,80:9771,99:3900	4	0.0	-0.5034	1.035921017040844	MOB_AD096	75:10775	4	0.0	-0.20479999999999998	2.0606567487151746	4	-0.21769887361493623	0.20739999999999997	0.919616986746405	5:102081,104:3307,116:2236,144:882,152:666,156:612,172:295,187:206,195:172,196:172	0	False	0
abau-SAMN32801359	MOB_AC163	114:2402,64:14639	4	0.0	-0.08199999999999996	3.111430889910739	MOB_AE272	116:2236,37:45456,57:18918	4	0.0	-0.6074	0.989037598052475	4	-0.013253778059458626	-0.34860000000000013	0.989037598052164	144:882,152:666,195:172,196:172	0	False	0
abau-SAMN32801359	MOB_AC163	114:2402,64:14639	4	0.0	-0.08199999999999996	3.111430889910739	MOB_AE271	35:49001,65:14032,69:12855,84:7752	4	0.0	-1.2953999999999999	0.9381530971057614	4	-0.053064340334544324	-0.7393999999999997	0.9381530971058964	116:2236,138:1039,144:882,150:750,152:666,172:295,195:172,196:172	0	False	0
abau-SAMN32801359	MOB_AC163	114:2402,64:14639	4	0.0	-0.08199999999999996	3.111430889910739	MOB_AD096	75:10775	4	0.0	-0.20479999999999998	2.0606567487151746	4	-0.07019350966072946	0.6586000000000002	1.9484143900463096	88:5787,116:2236,138:1039,144:882,150:750,152:666,156:612,172:295,187:206,195:172,196:172	0	False	0
abau-SAMN32801359	MOB_AE272	116:2236,37:45456,57:18918	4	0.0	-0.6074	0.989037598052475	MOB_AE271	35:49001,65:14032,69:12855,84:7752	4	0.0	-1.2953999999999999	0.9381530971057614	4	-0.053064340334544324	-1.4736000000000002	0.9381530971058964	138:1039,144:882,150:750,152:666,172:295,195:172,196:172	0	False	0
abau-SAMN32801359	MOB_AE272	116:2236,37:45456,57:18918	4	0.0	-0.6074	0.989037598052475	MOB_AD096	75:10775	4	0.0	-0.20479999999999998	2.0606567487151746	4	-0.2214590094636479	0.21820000000000006	0.9113291858266166	88:5787,104:3307,138:1039,144:882,152:666,156:612,170:355,187:206,195:172,196:172	0	False	0
abau-SAMN32801359	MOB_AE271	35:49001,65:14032,69:12855,84:7752	4	0.0	-1.2953999999999999	0.9381530971057614	MOB_AD096	75:10775	4	0.0	-0.20479999999999998	2.0606567487151746	4	-0.2214590094636479	-0.33099999999999996	0.9113291858266166	88:5787,104:3307,116:2236,138:1039,144:882,152:666,156:612,170:355,172:295,187:206,195:172,196:172	0	False	0
